N_Fe N_B T d n_Fe n_Fe_SRH n_FeB n_FeB_SRH
5.000000E+10 4.500E+16 297 1.700E-4 1.274900592E+00 1.288901556E+00 1.226745676E+00 1.229943780E+00
5.861000E+10 4.500E+16 297 1.700E-4 1.276445433E+00 1.289043044E+00 1.227593128E+00 1.230364107E+00
6.869000E+10 4.500E+16 297 1.700E-4 1.277914881E+00 1.289207750E+00 1.228436046E+00 1.230838187E+00
8.051000E+10 4.500E+16 297 1.700E-4 1.279311169E+00 1.289399275E+00 1.229285993E+00 1.231370327E+00
9.437000E+10 4.500E+16 297 1.700E-4 1.280638367E+00 1.289621698E+00 1.230153501E+00 1.231964546E+00
1.106000E+11 4.500E+16 297 1.700E-4 1.281902512E+00 1.289879619E+00 1.231047920E+00 1.232624444E+00
1.296000E+11 4.500E+16 297 1.700E-4 1.283111572E+00 1.290178194E+00 1.231985556E+00 1.233369093E+00
1.520000E+11 4.500E+16 297 1.700E-4 1.284275319E+00 1.290523155E+00 1.232959460E+00 1.234169654E+00
1.781000E+11 4.500E+16 297 1.700E-4 1.285405105E+00 1.290920807E+00 1.233979582E+00 1.235042162E+00
2.088000E+11 4.500E+16 297 1.700E-4 1.286513570E+00 1.291378036E+00 1.235051544E+00 1.235988179E+00
2.447000E+11 4.500E+16 297 1.700E-4 1.287614354E+00 1.291902246E+00 1.236178634E+00 1.237007956E+00
2.868000E+11 4.500E+16 297 1.700E-4 1.288721764E+00 1.292501290E+00 1.237370602E+00 1.238109466E+00
3.362000E+11 4.500E+16 297 1.700E-4 1.289850453E+00 1.293183343E+00 1.238613037E+00 1.239273722E+00
3.940000E+11 4.500E+16 297 1.700E-4 1.291015084E+00 1.293956743E+00 1.239911031E+00 1.240504741E+00
4.618000E+11 4.500E+16 297 1.700E-4 1.292229979E+00 1.294829758E+00 1.241268888E+00 1.241805502E+00
5.413000E+11 4.500E+16 297 1.700E-4 1.293508750E+00 1.295810314E+00 1.242679637E+00 1.243166972E+00
