fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev 
001_309 001_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 1.211790846E-14 1.000000000E+20 1.231690441E+00 2.931759239E-15 4.005480839E-04 
001_309_SRH 001_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 9.990688386E-15 1.000000000E+20 1.236103077E+00 2.901402860E-15 4.860121207E-04 
002_309 002_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 1.357702995E-14 1.000000000E+20 1.232770535E+00 3.427194061E-15 4.192669663E-04 
002_309_SRH 002_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 1.147436979E-14 1.000000000E+20 1.236553262E+00 3.397370516E-15 4.959088839E-04 
003_309 003_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 1.521734867E-14 1.000000000E+20 1.233819242E+00 4.006928478E-15 4.385924640E-04 
003_309_SRH 003_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 1.314196502E-14 1.000000000E+20 1.237060274E+00 3.977684938E-15 5.073667924E-04 
004_309 004_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 1.705170198E-14 1.000000000E+20 1.234852155E+00 4.685216332E-15 4.588092443E-04 
004_309_SRH 004_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 1.500638655E-14 1.000000000E+20 1.237628182E+00 4.656603822E-15 5.206062123E-04 
005_309 005_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 1.909157786E-14 1.000000000E+20 1.235883018E+00 5.478719546E-15 4.802305720E-04 
005_309_SRH 005_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 1.707913690E-14 1.000000000E+20 1.238260603E+00 5.450792233E-15 5.358701543E-04 
006_309 006_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 2.134669460E-14 1.000000000E+20 1.236923592E+00 6.406923187E-15 5.031948174E-04 
006_309_SRH 006_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 1.936987502E-14 1.000000000E+20 1.238960377E+00 6.379737208E-15 5.534232255E-04 
007_309 007_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 2.382468773E-14 1.000000000E+20 1.237983649E+00 7.492624905E-15 5.280615115E-04 
007_309_SRH 007_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 2.188609285E-14 1.000000000E+20 1.239729478E+00 7.466237477E-15 5.735517965E-04 
008_309 008_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 2.653098315E-14 1.000000000E+20 1.239070846E+00 8.762512439E-15 5.552059972E-04 
008_309_SRH 008_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 2.463298175E-14 1.000000000E+20 1.240568751E+00 8.736980699E-15 5.965592544E-04 
009_309 009_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 2.946891040E-14 1.000000000E+20 1.240190801E+00 1.024784890E-14 5.850145383E-04 
009_309_SRH 009_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 2.761354469E-14 1.000000000E+20 1.241477846E+00 1.022322875E-14 6.227639788E-04 
010_309 010_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 3.264010956E-14 1.000000000E+20 1.241347131E+00 1.198527911E-14 6.178779693E-04 
010_309_SRH 010_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 3.082900934E-14 1.000000000E+20 1.242455188E+00 1.196162468E-14 6.524926665E-04 
011_309 011_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 3.604524451E-14 1.000000000E+20 1.242541570E+00 1.401778039E-14 6.541839279E-04 
011_309_SRH 011_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 3.427955402E-14 1.000000000E+20 1.243497950E+00 1.399514297E-14 6.860741137E-04 
012_309 012_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 3.968497892E-14 1.000000000E+20 1.243774217E+00 1.639578436E-14 6.943093199E-04 
012_309_SRH 012_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 3.796530477E-14 1.000000000E+20 1.244602296E+00 1.637421286E-14 7.238311384E-04 
013_309 013_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 4.356113649E-14 1.000000000E+20 1.245043830E+00 1.917848992E-14 7.386114816E-04 
013_309_SRH 013_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 4.188752044E-14 1.000000000E+20 1.245763538E+00 1.915803115E-14 7.660720836E-04 
014_309 014_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 4.767792092E-14 1.000000000E+20 1.246348183E+00 2.243540947E-14 7.874195229E-04 
014_309_SRH 014_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 4.604984172E-14 1.000000000E+20 1.246976455E+00 2.241610881E-14 8.130824185E-04 
015_309 015_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 5.204305458E-14 1.000000000E+20 1.247684474E+00 2.624817410E-14 8.410278283E-04 
015_309_SRH 015_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 5.045945777E-14 1.000000000E+20 1.248235637E+00 2.623007771E-14 8.651169416E-04 
016_309 016_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 5.666869496E-14 1.000000000E+20 1.249049670E+00 3.071265052E-14 8.996900489E-04 
016_309_SRH 016_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 5.512804956E-14 1.000000000E+20 1.249535816E+00 3.069580749E-14 9.223945683E-04 
017_309 017_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 6.157223887E-14 1.000000000E+20 1.250430885E+00 3.593944195E-14 9.635856100E-04 
017_309_SRH 017_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 6.007235637E-14 1.000000000E+20 1.250864025E+00 3.592400459E-14 9.850430273E-04 
