T file kT1 TDD TDD1 TDD11 TDD111 d N_B
333 001_333 34.817 5.000000E+10 5.000000E+10 5.000000E+10 5.000000E+10 1.700E-4 7.000E+15
333 002_333 34.817 5.861000E+10 5.861000E+10 5.861000E+10 5.861000E+10 1.700E-4 7.000E+15
333 003_333 34.817 6.869000E+10 6.869000E+10 6.869000E+10 6.869000E+10 1.700E-4 7.000E+15
333 004_333 34.817 8.051000E+10 8.051000E+10 8.051000E+10 8.051000E+10 1.700E-4 7.000E+15
333 005_333 34.817 9.437000E+10 9.437000E+10 9.437000E+10 9.437000E+10 1.700E-4 7.000E+15
333 006_333 34.817 1.106000E+11 1.106000E+11 1.106000E+11 1.106000E+11 1.700E-4 7.000E+15
333 007_333 34.817 1.296000E+11 1.296000E+11 1.296000E+11 1.296000E+11 1.700E-4 7.000E+15
333 008_333 34.817 1.520000E+11 1.520000E+11 1.520000E+11 1.520000E+11 1.700E-4 7.000E+15
333 009_333 34.817 1.781000E+11 1.781000E+11 1.781000E+11 1.781000E+11 1.700E-4 7.000E+15
333 010_333 34.817 2.088000E+11 2.088000E+11 2.088000E+11 2.088000E+11 1.700E-4 7.000E+15
333 011_333 34.817 2.447000E+11 2.447000E+11 2.447000E+11 2.447000E+11 1.700E-4 7.000E+15
333 012_333 34.817 2.868000E+11 2.868000E+11 2.868000E+11 2.868000E+11 1.700E-4 7.000E+15
333 013_333 34.817 3.362000E+11 3.362000E+11 3.362000E+11 3.362000E+11 1.700E-4 7.000E+15
333 014_333 34.817 3.940000E+11 3.940000E+11 3.940000E+11 3.940000E+11 1.700E-4 7.000E+15
333 015_333 34.817 4.618000E+11 4.618000E+11 4.618000E+11 4.618000E+11 1.700E-4 7.000E+15
333 016_333 34.817 5.413000E+11 5.413000E+11 5.413000E+11 5.413000E+11 1.700E-4 7.000E+15
333 017_333 34.817 6.345000E+11 6.345000E+11 6.345000E+11 6.345000E+11 1.700E-4 7.000E+15
333 018_333 34.817 7.437000E+11 7.437000E+11 7.437000E+11 7.437000E+11 1.700E-4 7.000E+15
333 019_333 34.817 8.717000E+11 8.717000E+11 8.717000E+11 8.717000E+11 1.700E-4 7.000E+15
333 020_333 34.817 1.022000E+12 1.022000E+12 1.022000E+12 1.022000E+12 1.700E-4 7.000E+15
333 021_333 34.817 1.198000E+12 1.198000E+12 1.198000E+12 1.198000E+12 1.700E-4 7.000E+15
333 022_333 34.817 1.404000E+12 1.404000E+12 1.404000E+12 1.404000E+12 1.700E-4 7.000E+15
333 023_333 34.817 1.645000E+12 1.645000E+12 1.645000E+12 1.645000E+12 1.700E-4 7.000E+15
333 024_333 34.817 1.928000E+12 1.928000E+12 1.928000E+12 1.928000E+12 1.700E-4 7.000E+15
333 025_333 34.817 2.260000E+12 2.260000E+12 2.260000E+12 2.260000E+12 1.700E-4 7.000E+15
333 026_333 34.817 2.649000E+12 2.649000E+12 2.649000E+12 2.649000E+12 1.700E-4 7.000E+15
333 027_333 34.817 3.105000E+12 3.105000E+12 3.105000E+12 3.105000E+12 1.700E-4 7.000E+15
333 028_333 34.817 3.639000E+12 3.639000E+12 3.639000E+12 3.639000E+12 1.700E-4 7.000E+15
333 029_333 34.817 4.266000E+12 4.266000E+12 4.266000E+12 4.266000E+12 1.700E-4 7.000E+15
333 030_333 34.817 5.000000E+12 5.000000E+12 5.000000E+12 5.000000E+12 1.700E-4 7.000E+15
