fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev 
001_309 001_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 5.329109926E-15 1.000000000E+20 1.280734255E+00 3.416553948E-15 8.681333316E-04 
001_309_SRH 001_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 2.952615724E-15 1.000000000E+20 1.291510856E+00 3.405091847E-15 1.451038458E-03 
002_309 002_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 5.798803568E-15 1.000000000E+20 1.282100571E+00 4.000976467E-15 9.288200402E-04 
002_309_SRH 002_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 3.434035846E-15 1.000000000E+20 1.291657132E+00 3.991143894E-15 1.460369887E-03 
003_309 003_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 6.340421685E-15 1.000000000E+20 1.283369625E+00 4.686255378E-15 9.886812064E-04 
003_309_SRH 003_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 3.989031449E-15 1.000000000E+20 1.291826853E+00 4.678073909E-15 1.471241159E-03 
004_309 004_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 6.963358967E-15 1.000000000E+20 1.284553671E+00 5.489760155E-15 1.047553608E-03 
004_309_SRH 004_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 4.627196466E-15 1.000000000E+20 1.292023466E+00 5.483253187E-15 1.483893626E-03 
005_309 005_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 7.677718272E-15 1.000000000E+20 1.285664785E+00 6.431851670E-15 1.105417383E-03 
005_309_SRH 005_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 5.358843522E-15 1.000000000E+20 1.292250821E+00 6.427048391E-15 1.498602347E-03 
006_309 006_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 8.494199336E-15 1.000000000E+20 1.286715144E+00 7.536400571E-15 1.162398663E-03 
006_309_SRH 006_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 6.194887430E-15 1.000000000E+20 1.292513182E+00 7.533339865E-15 1.515678103E-03 
007_309 007_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 9.423928838E-15 1.000000000E+20 1.287717082E+00 8.831396313E-15 1.218765313E-03 
007_309_SRH 007_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 7.146668470E-15 1.000000000E+20 1.292815226E+00 8.830130880E-15 1.535471285E-03 
008_309 008_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 1.047822641E-14 1.000000000E+20 1.288683147E+00 1.034966344E-14 1.274916739E-03 
008_309_SRH 008_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 8.225708994E-15 1.000000000E+20 1.293162040E+00 1.035026387E-14 1.558373403E-03 
009_309 009_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 1.166830488E-14 1.000000000E+20 1.289626051E+00 1.212970404E-14 1.331370442E-03 
009_309_SRH 009_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 9.443402509E-15 1.000000000E+20 1.293559096E+00 1.213226275E-14 1.584818788E-03 
010_309 010_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 1.300491200E-14 1.000000000E+20 1.290558575E+00 1.421668967E-14 1.388745392E-03 
010_309_SRH 010_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 1.081064178E-14 1.000000000E+20 1.294012169E+00 1.422132444E-14 1.615284129E-03 
011_309 011_309.dat 309 37.522 1.000000000E+00 0.000000000E+00 1.449793124E-14 1.000000000E+20 1.291493444E+00 1.666362910E-14 1.447744037E-03 
011_309_SRH 011_309_srh.dat 309 37.522 1.000000000E+00 0.000000000E+00 1.233740501E-14 1.000000000E+20 1.294527285E+00 1.667048659E-14 1.650287173E-03 
