N_Fe N_B T d n_FeB n_FeB_SRH
5.000000E+10 4.500E+16 321 2.000E-4 1.228674332E+00 1.235395949E+00
5.861000E+10 4.500E+16 321 2.000E-4 1.230419089E+00 1.236153986E+00
6.869000E+10 4.500E+16 321 2.000E-4 1.232113465E+00 1.237000392E+00
8.051000E+10 4.500E+16 321 2.000E-4 1.233779686E+00 1.237939320E+00
9.437000E+10 4.500E+16 321 2.000E-4 1.235436382E+00 1.238973407E+00
1.106000E+11 4.500E+16 321 2.000E-4 1.237098434E+00 1.240103511E+00
1.296000E+11 4.500E+16 321 2.000E-4 1.238776822E+00 1.241328304E+00
1.520000E+11 4.500E+16 321 2.000E-4 1.240478711E+00 1.242644166E+00
1.781000E+11 4.500E+16 321 2.000E-4 1.242207348E+00 1.244044992E+00
2.088000E+11 4.500E+16 321 2.000E-4 1.243962520E+00 1.245522365E+00
2.447000E+11 4.500E+16 321 2.000E-4 1.245740927E+00 1.247065877E+00
2.868000E+11 4.500E+16 321 2.000E-4 1.247536781E+00 1.248663528E+00
3.362000E+11 4.500E+16 321 2.000E-4 1.249342538E+00 1.250302395E+00
3.940000E+11 4.500E+16 321 2.000E-4 1.251149779E+00 1.251969338E+00
4.618000E+11 4.500E+16 321 2.000E-4 1.252949942E+00 1.253651756E+00
5.413000E+11 4.500E+16 321 2.000E-4 1.254735075E+00 1.255338164E+00
6.345000E+11 4.500E+16 321 2.000E-4 1.256498433E+00 1.257018811E+00
7.437000E+11 4.500E+16 321 2.000E-4 1.258234863E+00 1.258685941E+00
8.717000E+11 4.500E+16 321 2.000E-4 1.259941061E+00 1.260334029E+00
1.022000E+12 4.500E+16 321 2.000E-4 1.261615554E+00 1.261959755E+00
1.198000E+12 4.500E+16 321 2.000E-4 1.263258635E+00 1.263561826E+00
1.404000E+12 4.500E+16 321 2.000E-4 1.264872130E+00 1.265140741E+00
1.645000E+12 4.500E+16 321 2.000E-4 1.266459107E+00 1.266698460E+00
1.928000E+12 4.500E+16 321 2.000E-4 1.268023583E+00 1.268238098E+00
2.260000E+12 4.500E+16 321 2.000E-4 1.269570233E+00 1.269763560E+00
2.649000E+12 4.500E+16 321 2.000E-4 1.271104136E+00 1.271279317E+00
3.105000E+12 4.500E+16 321 2.000E-4 1.272630558E+00 1.272790102E+00
3.639000E+12 4.500E+16 321 2.000E-4 1.274154766E+00 1.274300775E+00
4.266000E+12 4.500E+16 321 2.000E-4 1.275681952E+00 1.275816168E+00
5.000000E+12 4.500E+16 321 2.000E-4 1.277217116E+00 1.277340985E+00
