T file kT1 TDD TDD1 d N_B
321 001_321 36.119 5.000000E+10 5.000000E+10 2.000E-4 4.500E+16
321 002_321 36.119 5.861000E+10 5.861000E+10 2.000E-4 4.500E+16
321 003_321 36.119 6.869000E+10 6.869000E+10 2.000E-4 4.500E+16
321 004_321 36.119 8.051000E+10 8.051000E+10 2.000E-4 4.500E+16
321 005_321 36.119 9.437000E+10 9.437000E+10 2.000E-4 4.500E+16
321 006_321 36.119 1.106000E+11 1.106000E+11 2.000E-4 4.500E+16
321 007_321 36.119 1.296000E+11 1.296000E+11 2.000E-4 4.500E+16
321 008_321 36.119 1.520000E+11 1.520000E+11 2.000E-4 4.500E+16
321 009_321 36.119 1.781000E+11 1.781000E+11 2.000E-4 4.500E+16
321 010_321 36.119 2.088000E+11 2.088000E+11 2.000E-4 4.500E+16
321 011_321 36.119 2.447000E+11 2.447000E+11 2.000E-4 4.500E+16
321 012_321 36.119 2.868000E+11 2.868000E+11 2.000E-4 4.500E+16
321 013_321 36.119 3.362000E+11 3.362000E+11 2.000E-4 4.500E+16
321 014_321 36.119 3.940000E+11 3.940000E+11 2.000E-4 4.500E+16
321 015_321 36.119 4.618000E+11 4.618000E+11 2.000E-4 4.500E+16
321 016_321 36.119 5.413000E+11 5.413000E+11 2.000E-4 4.500E+16
321 017_321 36.119 6.345000E+11 6.345000E+11 2.000E-4 4.500E+16
321 018_321 36.119 7.437000E+11 7.437000E+11 2.000E-4 4.500E+16
321 019_321 36.119 8.717000E+11 8.717000E+11 2.000E-4 4.500E+16
321 020_321 36.119 1.022000E+12 1.022000E+12 2.000E-4 4.500E+16
321 021_321 36.119 1.198000E+12 1.198000E+12 2.000E-4 4.500E+16
321 022_321 36.119 1.404000E+12 1.404000E+12 2.000E-4 4.500E+16
321 023_321 36.119 1.645000E+12 1.645000E+12 2.000E-4 4.500E+16
321 024_321 36.119 1.928000E+12 1.928000E+12 2.000E-4 4.500E+16
321 025_321 36.119 2.260000E+12 2.260000E+12 2.000E-4 4.500E+16
321 026_321 36.119 2.649000E+12 2.649000E+12 2.000E-4 4.500E+16
321 027_321 36.119 3.105000E+12 3.105000E+12 2.000E-4 4.500E+16
321 028_321 36.119 3.639000E+12 3.639000E+12 2.000E-4 4.500E+16
321 029_321 36.119 4.266000E+12 4.266000E+12 2.000E-4 4.500E+16
321 030_321 36.119 5.000000E+12 5.000000E+12 2.000E-4 4.500E+16
