N_Fe N_B T d n_Fe n_Fe_SRH
5.000000E+10 7.000E+15 333 2.000E-4 1.153895294E+00 1.155318199E+00
5.861000E+10 7.000E+15 333 2.000E-4 1.155491977E+00 1.156708079E+00
6.869000E+10 7.000E+15 333 2.000E-4 1.157260385E+00 1.158300300E+00
8.051000E+10 7.000E+15 333 2.000E-4 1.159227594E+00 1.160117432E+00
9.437000E+10 7.000E+15 333 2.000E-4 1.161420218E+00 1.162182291E+00
1.106000E+11 7.000E+15 333 2.000E-4 1.163863581E+00 1.164516933E+00
1.296000E+11 7.000E+15 333 2.000E-4 1.166580637E+00 1.167141534E+00
1.520000E+11 7.000E+15 333 2.000E-4 1.169590535E+00 1.170072793E+00
1.781000E+11 7.000E+15 333 2.000E-4 1.172906871E+00 1.173322363E+00
2.088000E+11 7.000E+15 333 2.000E-4 1.176535683E+00 1.176894498E+00
2.447000E+11 7.000E+15 333 2.000E-4 1.180473610E+00 1.180784331E+00
2.868000E+11 7.000E+15 333 2.000E-4 1.184705828E+00 1.184975778E+00
3.362000E+11 7.000E+15 333 2.000E-4 1.189204709E+00 1.189440086E+00
3.940000E+11 7.000E+15 333 2.000E-4 1.193929250E+00 1.194135273E+00
4.618000E+11 7.000E+15 333 2.000E-4 1.198825507E+00 1.199006604E+00
5.413000E+11 7.000E+15 333 2.000E-4 1.203828780E+00 1.203988623E+00
6.345000E+11 7.000E+15 333 2.000E-4 1.208866953E+00 1.209008612E+00
7.437000E+11 7.000E+15 333 2.000E-4 1.213865368E+00 1.213991372E+00
8.717000E+11 7.000E+15 333 2.000E-4 1.218752382E+00 1.218864817E+00
1.022000E+12 7.000E+15 333 2.000E-4 1.223464842E+00 1.223565433E+00
1.198000E+12 7.000E+15 333 2.000E-4 1.227952731E+00 1.228042882E+00
1.404000E+12 7.000E+15 333 2.000E-4 1.232181970E+00 1.232262845E+00
1.645000E+12 7.000E+15 333 2.000E-4 1.236135243E+00 1.236207857E+00
1.928000E+12 7.000E+15 333 2.000E-4 1.239810723E+00 1.239875935E+00
2.260000E+12 7.000E+15 333 2.000E-4 1.243219131E+00 1.243277706E+00
2.649000E+12 7.000E+15 333 2.000E-4 1.246380018E+00 1.246432644E+00
3.105000E+12 7.000E+15 333 2.000E-4 1.249317881E+00 1.249365204E+00
3.639000E+12 7.000E+15 333 2.000E-4 1.252058849E+00 1.252101436E+00
4.266000E+12 7.000E+15 333 2.000E-4 1.254628214E+00 1.254666603E+00
5.000000E+12 7.000E+15 333 2.000E-4 1.257048972E+00 1.257083645E+00
