T file kT1 TDD TDD1 d N_B
292 001_292 39.706 1.100000E+11 1.100000E+11 2.200E-4 8.000E+16
292 002_292 39.706 1.302000E+11 1.302000E+11 2.200E-4 8.000E+16
292 003_292 39.706 1.540000E+11 1.540000E+11 2.200E-4 8.000E+16
292 004_292 39.706 1.822000E+11 1.822000E+11 2.200E-4 8.000E+16
292 005_292 39.706 2.156000E+11 2.156000E+11 2.200E-4 8.000E+16
292 006_292 39.706 2.551000E+11 2.551000E+11 2.200E-4 8.000E+16
292 007_292 39.706 3.018000E+11 3.018000E+11 2.200E-4 8.000E+16
292 008_292 39.706 3.571000E+11 3.571000E+11 2.200E-4 8.000E+16
292 009_292 39.706 4.226000E+11 4.226000E+11 2.200E-4 8.000E+16
292 010_292 39.706 5.000000E+11 5.000000E+11 2.200E-4 8.000E+16
