fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev 
001_292 001_292.dat 292 39.706 1.000000000E+00 0.000000000E+00 3.989891704E-16 1.000000000E+20 1.289160614E+00 1.018490548E-15 3.041581282E-03 
001_292_SRH 001_292_srh.dat 292 39.706 1.000000000E+00 0.000000000E+00 2.227370238E-16 1.000000000E+20 1.303417555E+00 1.031776651E-15 4.407678550E-03 
002_292 002_292.dat 292 39.706 1.000000000E+00 0.000000000E+00 4.310537965E-16 1.000000000E+20 1.291258178E+00 1.207064164E-15 3.235944961E-03 
002_292_SRH 002_292_srh.dat 292 39.706 1.000000000E+00 0.000000000E+00 2.575240168E-16 1.000000000E+20 1.304022963E+00 1.221579647E-15 4.467367234E-03 
003_292 003_292.dat 292 39.706 1.000000000E+00 0.000000000E+00 4.672662779E-16 1.000000000E+20 1.293324815E+00 1.430666525E-15 3.430011371E-03 
003_292_SRH 003_292_srh.dat 292 39.706 1.000000000E+00 0.000000000E+00 2.967413265E-16 1.000000000E+20 1.304719901E+00 1.446444660E-15 4.536220675E-03 
004_292 004_292.dat 292 39.706 1.000000000E+00 0.000000000E+00 5.078889916E-16 1.000000000E+20 1.295371174E+00 1.695818035E-15 3.624400310E-03 
004_292_SRH 004_292_srh.dat 292 39.706 1.000000000E+00 0.000000000E+00 3.406608170E-16 1.000000000E+20 1.305518807E+00 1.712898836E-15 4.615327448E-03 
005_292 005_292.dat 292 39.706 1.000000000E+00 0.000000000E+00 5.531319349E-16 1.000000000E+20 1.297410509E+00 2.010266383E-15 3.820086702E-03 
005_292_SRH 005_292_srh.dat 292 39.706 1.000000000E+00 0.000000000E+00 3.894952282E-16 1.000000000E+20 1.306430239E+00 2.028699623E-15 4.705802505E-03 
006_292 006_292.dat 292 39.706 1.000000000E+00 0.000000000E+00 6.031389776E-16 1.000000000E+20 1.299457977E+00 2.383222145E-15 4.018320465E-03 
006_292_SRH 006_292_srh.dat 292 39.706 1.000000000E+00 0.000000000E+00 4.433827064E-16 1.000000000E+20 1.307464523E+00 2.403070155E-15 4.808753211E-03 
007_292 007_292.dat 292 39.706 1.000000000E+00 0.000000000E+00 6.579778308E-16 1.000000000E+20 1.301529757E+00 2.825639791E-15 4.220528515E-03 
007_292_SRH 007_292_srh.dat 292 39.706 1.000000000E+00 0.000000000E+00 5.023753809E-16 1.000000000E+20 1.308631329E+00 2.846979946E-15 4.925237975E-03 
008_292 008_292.dat 292 39.706 1.000000000E+00 0.000000000E+00 7.176360215E-16 1.000000000E+20 1.303642059E+00 3.350552358E-15 4.428207039E-03 
008_292_SRH 008_292_srh.dat 292 39.706 1.000000000E+00 0.000000000E+00 5.664345231E-16 1.000000000E+20 1.309939171E+00 3.373479125E-15 5.056215084E-03 
009_292 009_292.dat 292 39.706 1.000000000E+00 0.000000000E+00 7.820248642E-16 1.000000000E+20 1.305810129E+00 3.973469684E-15 4.642810782E-03 
009_292_SRH 009_292_srh.dat 292 39.706 1.000000000E+00 0.000000000E+00 6.354345140E-16 1.000000000E+20 1.311394885E+00 3.998096242E-15 5.202487985E-03 
010_292 010_292.dat 292 39.706 1.000000000E+00 0.000000000E+00 8.509924279E-16 1.000000000E+20 1.308047314E+00 4.712851557E-15 4.865647368E-03 
010_292_SRH 010_292_srh.dat 292 39.706 1.000000000E+00 0.000000000E+00 7.091767349E-16 1.000000000E+20 1.313003103E+00 4.739310944E-15 5.364648443E-03 
