fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev 
001_292 001_292.dat 292 39.706 1.000000000E+00 0.000000000E+00 1.316156435E-15 1.000000000E+20 1.229896205E+00 8.316230710E-16 1.226649645E-03 
001_292_SRH 001_292_srh.dat 292 39.706 1.000000000E+00 0.000000000E+00 1.184009626E-15 1.000000000E+20 1.231721834E+00 8.302210100E-16 1.345154133E-03 
002_292 002_292.dat 292 39.706 1.000000000E+00 0.000000000E+00 1.431446947E-15 1.000000000E+20 1.231391463E+00 9.825352134E-16 1.320619729E-03 
002_292_SRH 002_292_srh.dat 292 39.706 1.000000000E+00 0.000000000E+00 1.303861191E-15 1.000000000E+20 1.233007500E+00 9.812918527E-16 1.431106094E-03 
003_292 003_292.dat 292 39.706 1.000000000E+00 0.000000000E+00 1.554309805E-15 1.000000000E+20 1.232920906E+00 1.161060240E-15 1.422362618E-03 
003_292_SRH 003_292_srh.dat 292 39.706 1.000000000E+00 0.000000000E+00 1.431132584E-15 1.000000000E+20 1.234359537E+00 1.159985058E-15 1.525660958E-03 
004_292 004_292.dat 292 39.706 1.000000000E+00 0.000000000E+00 1.685277321E-15 1.000000000E+20 1.234486889E+00 1.372297531E-15 1.532203248E-03 
004_292_SRH 004_292_srh.dat 292 39.706 1.000000000E+00 0.000000000E+00 1.566314737E-15 1.000000000E+20 1.235774988E+00 1.371401282E-15 1.629024938E-03 
005_292 005_292.dat 292 39.706 1.000000000E+00 0.000000000E+00 1.825022091E-15 1.000000000E+20 1.236091277E+00 1.622295450E-15 1.650380576E-03 
005_292_SRH 005_292_srh.dat 292 39.706 1.000000000E+00 0.000000000E+00 1.710049321E-15 1.000000000E+20 1.237251152E+00 1.621590552E-15 1.741331668E-03 
006_292 006_292.dat 292 39.706 1.000000000E+00 0.000000000E+00 1.974346328E-15 1.000000000E+20 1.237735707E+00 1.918228543E-15 1.777059392E-03 
006_292_SRH 006_292_srh.dat 292 39.706 1.000000000E+00 0.000000000E+00 1.863118486E-15 1.000000000E+20 1.238785820E+00 1.917729547E-15 1.862653450E-03 
007_292 007_292.dat 292 39.706 1.000000000E+00 0.000000000E+00 2.134162919E-15 1.000000000E+20 1.239421773E+00 2.268607279E-15 1.912345879E-03 
007_292_SRH 007_292_srh.dat 292 39.706 1.000000000E+00 0.000000000E+00 2.026425367E-15 1.000000000E+20 1.240377352E+00 2.268331301E-15 1.993018243E-03 
008_292 008_292.dat 292 39.706 1.000000000E+00 0.000000000E+00 2.305471660E-15 1.000000000E+20 1.241151156E+00 2.683527631E-15 2.056306837E-03 
008_292_SRH 008_292_srh.dat 292 39.706 1.000000000E+00 0.000000000E+00 2.200969159E-15 1.000000000E+20 1.242024746E+00 2.683494849E-15 2.132427011E-03 
009_292 009_292.dat 292 39.706 1.000000000E+00 0.000000000E+00 2.489335921E-15 1.000000000E+20 1.242925712E+00 3.174967950E-15 2.208985913E-03 
009_292_SRH 009_292_srh.dat 292 39.706 1.000000000E+00 0.000000000E+00 2.387820152E-15 1.000000000E+20 1.243727646E+00 3.175202028E-15 2.280869021E-03 
010_292 010_292.dat 292 39.706 1.000000000E+00 0.000000000E+00 2.686862690E-15 1.000000000E+20 1.244747459E+00 3.757142080E-15 2.370416978E-03 
010_292_SRH 010_292_srh.dat 292 39.706 1.000000000E+00 0.000000000E+00 2.588097943E-15 1.000000000E+20 1.245486265E+00 3.757670679E-15 2.438333814E-03 
