T file kT1 TDD TDD1 TDD11 TDD111 d N_B
302 001_302 38.391 1.100000E+11 1.100000E+11 1.100000E+11 1.100000E+11 2.200E-4 8.000E+16
302 002_302 38.391 1.302000E+11 1.302000E+11 1.302000E+11 1.302000E+11 2.200E-4 8.000E+16
302 003_302 38.391 1.540000E+11 1.540000E+11 1.540000E+11 1.540000E+11 2.200E-4 8.000E+16
302 004_302 38.391 1.822000E+11 1.822000E+11 1.822000E+11 1.822000E+11 2.200E-4 8.000E+16
302 005_302 38.391 2.156000E+11 2.156000E+11 2.156000E+11 2.156000E+11 2.200E-4 8.000E+16
302 006_302 38.391 2.551000E+11 2.551000E+11 2.551000E+11 2.551000E+11 2.200E-4 8.000E+16
302 007_302 38.391 3.018000E+11 3.018000E+11 3.018000E+11 3.018000E+11 2.200E-4 8.000E+16
302 008_302 38.391 3.571000E+11 3.571000E+11 3.571000E+11 3.571000E+11 2.200E-4 8.000E+16
302 009_302 38.391 4.226000E+11 4.226000E+11 4.226000E+11 4.226000E+11 2.200E-4 8.000E+16
302 010_302 38.391 5.000000E+11 5.000000E+11 5.000000E+11 5.000000E+11 2.200E-4 8.000E+16
