N_Fe N_B T d n_Fe n_Fe_SRH
1.100000E+12 2.500E+15 302 2.200E-4 1.223731983E+00 1.223765493E+00
1.302000E+12 2.500E+15 302 2.200E-4 1.225099597E+00 1.225129476E+00
1.540000E+12 2.500E+15 302 2.200E-4 1.226487499E+00 1.226514302E+00
1.822000E+12 2.500E+15 302 2.200E-4 1.227895735E+00 1.227919924E+00
2.156000E+12 2.500E+15 302 2.200E-4 1.229325477E+00 1.229347437E+00
2.551000E+12 2.500E+15 302 2.200E-4 1.230778499E+00 1.230798551E+00
3.018000E+12 2.500E+15 302 2.200E-4 1.232256745E+00 1.232275149E+00
3.571000E+12 2.500E+15 302 2.200E-4 1.233761993E+00 1.233778970E+00
4.226000E+12 2.500E+15 302 2.200E-4 1.235295753E+00 1.235311486E+00
5.000000E+12 2.500E+15 302 2.200E-4 1.236859211E+00 1.236873849E+00
