N_Fe N_B T d n_FeB n_FeB_SRH
1.100000E+12 8.000E+16 302 2.200E-4 1.258106137E+00 1.258546830E+00
1.302000E+12 8.000E+16 302 2.200E-4 1.259895605E+00 1.260303527E+00
1.540000E+12 8.000E+16 302 2.200E-4 1.261725744E+00 1.262104380E+00
1.822000E+12 8.000E+16 302 2.200E-4 1.263594967E+00 1.263947468E+00
2.156000E+12 8.000E+16 302 2.200E-4 1.265516754E+00 1.265845727E+00
2.551000E+12 8.000E+16 302 2.200E-4 1.267483814E+00 1.267788978E+00
3.018000E+12 8.000E+16 302 2.200E-4 1.269515610E+00 1.269800717E+00
3.571000E+12 8.000E+16 302 2.200E-4 1.271596702E+00 1.271863891E+00
4.226000E+12 8.000E+16 302 2.200E-4 1.273744575E+00 1.273994932E+00
5.000000E+12 8.000E+16 302 2.200E-4 1.275958177E+00 1.276192787E+00
