N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 1.400E+15 320 1.500E-4 1.168153179E+00 1.171219210E+00
1.468000E+10 1.400E+15 320 1.500E-4 1.169171390E+00 1.171289803E+00
2.154000E+10 1.400E+15 320 1.500E-4 1.169934278E+00 1.171393012E+00
3.162000E+10 1.400E+15 320 1.500E-4 1.170541533E+00 1.171543678E+00
4.642000E+10 1.400E+15 320 1.500E-4 1.171075513E+00 1.171763033E+00
6.813000E+10 1.400E+15 320 1.500E-4 1.171609783E+00 1.172081216E+00
1.000000E+11 1.400E+15 320 1.500E-4 1.172216855E+00 1.172540259E+00
1.468000E+11 1.400E+15 320 1.500E-4 1.172975116E+00 1.173197307E+00
2.154000E+11 1.400E+15 320 1.500E-4 1.173974033E+00 1.174127117E+00
3.162000E+11 1.400E+15 320 1.500E-4 1.175315790E+00 1.175421745E+00
4.642000E+11 1.400E+15 320 1.500E-4 1.177109640E+00 1.177183517E+00
6.813000E+11 1.400E+15 320 1.500E-4 1.179454130E+00 1.179506189E+00
1.000000E+12 1.400E+15 320 1.500E-4 1.182403250E+00 1.182440513E+00
1.468000E+12 1.400E+15 320 1.500E-4 1.185921854E+00 1.185949087E+00
2.154000E+12 1.400E+15 320 1.500E-4 1.189853484E+00 1.189873905E+00
3.162000E+12 1.400E+15 320 1.500E-4 1.193939496E+00 1.193955232E+00
4.642000E+12 1.400E+15 320 1.500E-4 1.197909736E+00 1.197922195E+00
6.813000E+12 1.400E+15 320 1.500E-4 1.201593389E+00 1.201603475E+00
1.000000E+13 1.400E+15 320 1.500E-4 1.204973100E+00 1.204981441E+00
