fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev 
001_325 001_325.dat 325 35.674 1.000000000E+00 0.000000000E+00 6.672844841E-14 1.000000000E+20 1.120707427E+00 1.723378326E-14 5.087655838E-04 
001_325_SRH 001_325_srh.dat 325 35.674 1.000000000E+00 0.000000000E+00 5.232024723E-14 1.000000000E+20 1.122319049E+00 1.691045495E-14 6.402963849E-04 
002_325 002_325.dat 325 35.674 1.000000000E+00 0.000000000E+00 9.115446349E-14 1.000000000E+20 1.121385940E+00 2.512970754E-14 5.437065807E-04 
002_325_SRH 002_325_srh.dat 325 35.674 1.000000000E+00 0.000000000E+00 7.674820208E-14 1.000000000E+20 1.122468713E+00 2.480847025E-14 6.394926829E-04 
003_325 003_325.dat 325 35.674 1.000000000E+00 0.000000000E+00 1.269505805E-13 1.000000000E+20 1.121957426E+00 3.670619257E-14 5.698806818E-04 
003_325_SRH 003_325_srh.dat 325 35.674 1.000000000E+00 0.000000000E+00 1.125488811E-13 1.000000000E+20 1.122687585E+00 3.638672238E-14 6.383177633E-04 
004_325 004_325.dat 325 35.674 1.000000000E+00 0.000000000E+00 1.793732079E-13 1.000000000E+20 1.122512684E+00 5.366842075E-14 5.884161825E-04 
004_325_SRH 004_325_srh.dat 325 35.674 1.000000000E+00 0.000000000E+00 1.649795121E-13 1.000000000E+20 1.123007141E+00 5.335055088E-14 6.366037607E-04 
005_325 005_325.dat 325 35.674 1.000000000E+00 0.000000000E+00 2.560654453E-13 1.000000000E+20 1.123136206E+00 7.850138795E-14 6.005540740E-04 
005_325_SRH 005_325_srh.dat 325 35.674 1.000000000E+00 0.000000000E+00 2.416844345E-13 1.000000000E+20 1.123472543E+00 7.818512592E-14 6.341106048E-04 
006_325 006_325.dat 325 35.674 1.000000000E+00 0.000000000E+00 3.680910817E-13 1.000000000E+20 1.123917996E+00 1.148157790E-13 6.073283908E-04 
006_325_SRH 006_325_srh.dat 325 35.674 1.000000000E+00 0.000000000E+00 3.537292948E-13 1.000000000E+20 1.124147891E+00 1.145013206E-13 6.304991467E-04 
007_325 007_325.dat 325 35.674 1.000000000E+00 0.000000000E+00 5.313593549E-13 1.000000000E+20 1.124964690E+00 1.678372626E-13 6.094093513E-04 
007_325_SRH 007_325_srh.dat 325 35.674 1.000000000E+00 0.000000000E+00 5.170260658E-13 1.000000000E+20 1.125122748E+00 1.675249993E-13 6.253005882E-04 
008_325 008_325.dat 325 35.674 1.000000000E+00 0.000000000E+00 7.685209224E-13 1.000000000E+20 1.126409682E+00 2.450916308E-13 6.070523083E-04 
008_325_SRH 008_325_srh.dat 325 35.674 1.000000000E+00 0.000000000E+00 7.542293172E-13 1.000000000E+20 1.126519163E+00 2.447821671E-13 6.178872320E-04 
009_325 009_325.dat 325 35.674 1.000000000E+00 0.000000000E+00 1.111347620E-12 1.000000000E+20 1.128420641E+00 3.573566094E-13 6.001165617E-04 
009_325_SRH 009_325_srh.dat 325 35.674 1.000000000E+00 0.000000000E+00 1.097116365E-12 1.000000000E+20 1.128497260E+00 3.570507665E-13 6.074620621E-04 
010_325 010_325.dat 325 35.674 1.000000000E+00 0.000000000E+00 1.603415736E-12 1.000000000E+20 1.131200305E+00 5.199857191E-13 5.881584261E-04 
010_325_SRH 010_325_srh.dat 325 35.674 1.000000000E+00 0.000000000E+00 1.589270925E-12 1.000000000E+20 1.131254710E+00 5.196844679E-13 5.931078579E-04 
011_325 011_325.dat 325 35.674 1.000000000E+00 0.000000000E+00 2.302495063E-12 1.000000000E+20 1.134972128E+00 7.547863255E-13 5.706616367E-04 
011_325_SRH 011_325_srh.dat 325 35.674 1.000000000E+00 0.000000000E+00 2.288472379E-12 1.000000000E+20 1.135011561E+00 7.544907077E-13 5.739735945E-04 
012_325 012_325.dat 325 35.674 1.000000000E+00 0.000000000E+00 3.281317167E-12 1.000000000E+20 1.139938340E+00 1.092800409E-12 5.475353604E-04 
012_325_SRH 012_325_srh.dat 325 35.674 1.000000000E+00 0.000000000E+00 3.267463857E-12 1.000000000E+20 1.139967759E+00 1.092511259E-12 5.497345116E-04 
013_325 013_325.dat 325 35.674 1.000000000E+00 0.000000000E+00 4.624499564E-12 1.000000000E+20 1.146199453E+00 1.578631808E-12 5.200452311E-04 
013_325_SRH 013_325_srh.dat 325 35.674 1.000000000E+00 0.000000000E+00 4.610874985E-12 1.000000000E+20 1.146222217E+00 1.578349506E-12 5.214950628E-04 
014_325 014_325.dat 325 35.674 1.000000000E+00 0.000000000E+00 6.419107955E-12 1.000000000E+20 1.153642543E+00 2.277334111E-12 4.922177483E-04 
014_325_SRH 014_325_srh.dat 325 35.674 1.000000000E+00 0.000000000E+00 6.405781368E-12 1.000000000E+20 1.153660917E+00 2.277058358E-12 4.931721005E-04 
015_325 015_325.dat 325 35.674 1.000000000E+00 0.000000000E+00 8.738336891E-12 1.000000000E+20 1.161850002E+00 3.285105677E-12 4.720922534E-04 
015_325_SRH 015_325_srh.dat 325 35.674 1.000000000E+00 0.000000000E+00 8.725380515E-12 1.000000000E+20 1.161865430E+00 3.284835378E-12 4.727301620E-04 
016_325 016_325.dat 325 35.674 1.000000000E+00 0.000000000E+00 1.162356290E-11 1.000000000E+20 1.170130522E+00 4.744977333E-12 4.708140201E-04 
016_325_SRH 016_325_srh.dat 325 35.674 1.000000000E+00 0.000000000E+00 1.161104008E-11 1.000000000E+20 1.170143857E+00 4.744710682E-12 4.712621185E-04 
017_325 017_325.dat 325 35.674 1.000000000E+00 0.000000000E+00 1.507716068E-11 1.000000000E+20 1.177732989E+00 6.868856054E-12 4.979837971E-04 
017_325_SRH 017_325_srh.dat 325 35.674 1.000000000E+00 0.000000000E+00 1.506511141E-11 1.000000000E+20 1.177744672E+00 6.868590861E-12 4.983271336E-04 
018_325 018_325.dat 325 35.674 1.000000000E+00 0.000000000E+00 1.907885393E-11 1.000000000E+20 1.184163445E+00 9.968411128E-12 5.565212306E-04 
018_325_SRH 018_325_srh.dat 325 35.674 1.000000000E+00 0.000000000E+00 1.906728364E-11 1.000000000E+20 1.184173685E+00 9.968144881E-12 5.568097322E-04 
019_325 019_325.dat 325 35.674 1.000000000E+00 0.000000000E+00 2.362384862E-11 1.000000000E+20 1.189349222E+00 1.450004624E-11 6.438495817E-04 
019_325_SRH 019_325_srh.dat 325 35.674 1.000000000E+00 0.000000000E+00 2.361272607E-11 1.000000000E+20 1.189358155E+00 1.449977628E-11 6.441078349E-04 
