fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev 
001_305 001_305.dat 305 38.014 1.000000000E+00 0.000000000E+00 7.451880425E-15 1.000000000E+20 1.148243136E+00 2.500991376E-15 6.437915586E-04 
001_305_SRH 001_305_srh.dat 305 38.014 1.000000000E+00 0.000000000E+00 6.647362189E-15 1.000000000E+20 1.149171026E+00 2.484129184E-15 7.172127154E-04 
002_305 002_305.dat 305 38.014 1.000000000E+00 0.000000000E+00 1.054161180E-14 1.000000000E+20 1.148940093E+00 3.659977240E-15 6.624113610E-04 
002_305_SRH 002_305_srh.dat 305 38.014 1.000000000E+00 0.000000000E+00 9.737738690E-15 1.000000000E+20 1.149570614E+00 3.643198380E-15 7.139961735E-04 
003_305 003_305.dat 305 38.014 1.000000000E+00 0.000000000E+00 1.505463748E-14 1.000000000E+20 1.149721445E+00 5.357814325E-15 6.735024629E-04 
003_305_SRH 003_305_srh.dat 305 38.014 1.000000000E+00 0.000000000E+00 1.425173841E-14 1.000000000E+20 1.150150583E+00 5.341135181E-15 7.093448715E-04 
004_305 004_305.dat 305 38.014 1.000000000E+00 0.000000000E+00 2.163171236E-14 1.000000000E+20 1.150695409E+00 7.842968295E-15 6.779798166E-04 
004_305_SRH 004_305_srh.dat 305 38.014 1.000000000E+00 0.000000000E+00 2.083025471E-14 1.000000000E+20 1.150988018E+00 7.826417191E-15 7.026665695E-04 
005_305 005_305.dat 305 38.014 1.000000000E+00 0.000000000E+00 3.118522240E-14 1.000000000E+20 1.151988195E+00 1.147648943E-14 6.763007614E-04 
005_305_SRH 005_305_srh.dat 305 38.014 1.000000000E+00 0.000000000E+00 3.038587203E-14 1.000000000E+20 1.152188169E+00 1.146010856E-14 6.931796775E-04 
006_305 006_305.dat 305 38.014 1.000000000E+00 0.000000000E+00 4.499560463E-14 1.000000000E+20 1.153752435E+00 1.678142328E-14 6.684551533E-04 
006_305_SRH 006_305_srh.dat 305 38.014 1.000000000E+00 0.000000000E+00 4.419930521E-14 1.000000000E+20 1.153889546E+00 1.676527109E-14 6.799184760E-04 
007_305 007_305.dat 305 38.014 1.000000000E+00 0.000000000E+00 6.482136074E-14 1.000000000E+20 1.156169625E+00 2.451320437E-14 6.541002387E-04 
007_305_SRH 007_305_srh.dat 305 38.014 1.000000000E+00 0.000000000E+00 6.402943298E-14 1.000000000E+20 1.156264085E+00 2.449735598E-14 6.618338294E-04 
008_305 008_305.dat 305 38.014 1.000000000E+00 0.000000000E+00 9.300070001E-14 1.000000000E+20 1.159439862E+00 3.576067507E-14 6.329288448E-04 
008_305_SRH 008_305_srh.dat 305 38.014 1.000000000E+00 0.000000000E+00 9.221495582E-14 1.000000000E+20 1.159505446E+00 3.574521978E-14 6.381101873E-04 
009_305 009_305.dat 305 38.014 1.000000000E+00 0.000000000E+00 1.324953383E-13 1.000000000E+20 1.163748753E+00 5.209376809E-14 6.054583976E-04 
009_305_SRH 009_305_srh.dat 305 38.014 1.000000000E+00 0.000000000E+00 1.317181860E-13 1.000000000E+20 1.163794869E+00 5.207880189E-14 6.089069240E-04 
010_305 010_305.dat 305 38.014 1.000000000E+00 0.000000000E+00 1.867915245E-13 1.000000000E+20 1.169202538E+00 7.578506918E-14 5.744900882E-04 
010_305_SRH 010_305_srh.dat 305 38.014 1.000000000E+00 0.000000000E+00 1.860260102E-13 1.000000000E+20 1.169235577E+00 7.577068350E-14 5.767765360E-04 
011_305 011_305.dat 305 38.014 1.000000000E+00 0.000000000E+00 2.595565649E-13 1.000000000E+20 1.175736856E+00 1.101484408E-13 5.472098125E-04 
011_305_SRH 011_305_srh.dat 305 38.014 1.000000000E+00 0.000000000E+00 2.588062836E-13 1.000000000E+20 1.175761178E+00 1.101347101E-13 5.487342524E-04 
012_305 012_305.dat 305 38.014 1.000000000E+00 0.000000000E+00 3.540143750E-13 1.000000000E+20 1.183040250E+00 1.600541951E-13 5.365665025E-04 
012_305_SRH 012_305_srh.dat 305 38.014 1.000000000E+00 0.000000000E+00 3.532831370E-13 1.000000000E+20 1.183058753E+00 1.600411689E-13 5.376114498E-04 
013_305 013_305.dat 305 38.014 1.000000000E+00 0.000000000E+00 4.722183950E-13 1.000000000E+20 1.190571452E+00 2.326924678E-13 5.582440741E-04 
