N_Fe N_B T d n_Fe n_Fe_SRH
1.000000E+10 8.000E+16 340 2.100E-4 1.214926547E+00 1.327308354E+00
2.154000E+10 8.000E+16 340 2.100E-4 1.263466501E+00 1.327689261E+00
3.162000E+10 8.000E+16 340 2.100E-4 1.281165435E+00 1.328013811E+00
1.468000E+11 8.000E+16 340 2.100E-4 1.319829443E+00 1.331273461E+00
2.154000E+11 8.000E+16 340 2.100E-4 1.325066188E+00 1.332901646E+00
4.642000E+11 8.000E+16 340 2.100E-4 1.333894417E+00 1.337507358E+00
1.000000E+12 8.000E+16 340 2.100E-4 1.342067961E+00 1.343756425E+00
2.154000E+12 8.000E+16 340 2.100E-4 1.350098624E+00 1.350952746E+00
3.162000E+12 8.000E+16 340 2.100E-4 1.354058179E+00 1.354694904E+00
4.642000E+12 8.000E+16 340 2.100E-4 1.358000074E+00 1.358490668E+00
6.813000E+12 8.000E+16 340 2.100E-4 1.361963777E+00 1.362353011E+00
1.000000E+13 8.000E+16 340 2.100E-4 1.365998096E+00 1.366314250E+00
