N_Fe N_B T d n_Fe n_Fe_SRH n_FeB n_FeB_SRH
1.000000E+10 1.400E+15 290 1.500E-4 1.206280223E+00 1.208356501E+00 1.195914722E+00 1.200535788E+00
1.468000E+10 1.400E+15 290 1.500E-4 1.206949142E+00 1.208399381E+00 1.197240866E+00 1.200551072E+00
2.154000E+10 1.400E+15 290 1.500E-4 1.207455289E+00 1.208461948E+00 1.198233570E+00 1.200573439E+00
3.162000E+10 1.400E+15 290 1.500E-4 1.207857169E+00 1.208553063E+00 1.198968303E+00 1.200606193E+00
4.642000E+10 1.400E+15 290 1.500E-4 1.208205329E+00 1.208685311E+00 1.199515365E+00 1.200654157E+00
6.813000E+10 1.400E+15 290 1.500E-4 1.208545461E+00 1.208876326E+00 1.199935917E+00 1.200724345E+00
1.000000E+11 1.400E+15 290 1.500E-4 1.208921987E+00 1.209150308E+00 1.200282227E+00 1.200826935E+00
1.468000E+11 1.400E+15 290 1.500E-4 1.209381409E+00 1.209539419E+00 1.200600354E+00 1.200976605E+00
2.154000E+11 1.400E+15 290 1.500E-4 1.209974707E+00 1.210084622E+00 1.200934025E+00 1.201194368E+00
3.162000E+11 1.400E+15 290 1.500E-4 1.210757804E+00 1.210834869E+00 1.201362665E+00 1.201544332E+00
4.642000E+11 1.400E+15 290 1.500E-4 1.211789215E+00 1.211843873E+00 1.201873257E+00 1.202000057E+00
6.813000E+11 1.400E+15 290 1.500E-4 1.213124782E+00 1.213164165E+00 1.202560013E+00 1.202649456E+00
1.000000E+12 1.400E+15 290 1.500E-4 1.214811575E+00 1.214840543E+00 1.203501044E+00 1.203564954E+00
1.468000E+12 1.400E+15 290 1.500E-4 1.216884756E+00 1.216906617E+00 1.204789365E+00 1.204835817E+00
2.154000E+12 1.400E+15 290 1.500E-4 1.219369265E+00 1.219386237E+00 1.206518133E+00 1.206552612E+00
3.162000E+12 1.400E+15 290 1.500E-4 1.222281342E+00 1.222294909E+00 1.208819995E+00 1.208846254E+00
4.642000E+12 1.400E+15 290 1.500E-4 1.225622362E+00 1.225633500E+00 1.211741898E+00 1.211762430E+00
6.813000E+12 1.400E+15 290 1.500E-4 1.229367213E+00 1.229376550E+00 1.215324146E+00 1.215340618E+00
1.000000E+13 1.400E+15 290 1.500E-4 1.233460110E+00 1.233468039E+00 1.219554096E+00 1.219567600E+00
1.000000E+10 1.400E+15 295 1.500E-4 1.201027944E+00 1.202877237E+00 1.196723445E+00 1.200960976E+00
1.468000E+10 1.400E+15 295 1.500E-4 1.201660777E+00 1.202945701E+00 1.197946033E+00 1.200974227E+00
2.154000E+10 1.400E+15 295 1.500E-4 1.202157003E+00 1.203045484E+00 1.198856557E+00 1.200993626E+00
3.162000E+10 1.400E+15 295 1.500E-4 1.202578075E+00 1.203190497E+00 1.199527798E+00 1.201022044E+00
4.642000E+10 1.400E+15 295 1.500E-4 1.202978865E+00 1.203400289E+00 1.200025614E+00 1.201063662E+00
6.813000E+10 1.400E+15 295 1.500E-4 1.203411934E+00 1.203701843E+00 1.200406386E+00 1.201124569E+00
1.000000E+11 1.400E+15 295 1.500E-4 1.203931631E+00 1.204131283E+00 1.200717746E+00 1.201213597E+00
1.468000E+11 1.400E+15 295 1.500E-4 1.204596976E+00 1.204734855E+00 1.201001227E+00 1.201343487E+00
2.154000E+11 1.400E+15 295 1.500E-4 1.205472146E+00 1.205567824E+00 1.201295868E+00 1.201532486E+00
3.162000E+11 1.400E+15 295 1.500E-4 1.206622464E+00 1.206689360E+00 1.201682057E+00 1.201847015E+00
4.642000E+11 1.400E+15 295 1.500E-4 1.208104539E+00 1.208151842E+00 1.202124961E+00 1.202240056E+00
6.813000E+11 1.400E+15 295 1.500E-4 1.209951629E+00 1.209985611E+00 1.202719102E+00 1.202800112E+00
1.000000E+12 1.400E+15 295 1.500E-4 1.212161267E+00 1.212186197E+00 1.203532569E+00 1.203590300E+00
1.468000E+12 1.400E+15 295 1.500E-4 1.214697234E+00 1.214716004E+00 1.204647316E+00 1.204689152E+00
2.154000E+12 1.400E+15 295 1.500E-4 1.217512050E+00 1.217526601E+00 1.206156019E+00 1.206186988E+00
3.162000E+12 1.400E+15 295 1.500E-4 1.220576147E+00 1.220587770E+00 1.208152297E+00 1.208175817E+00
4.642000E+12 1.400E+15 295 1.500E-4 1.223887003E+00 1.223896545E+00 1.210739424E+00 1.210757804E+00
6.813000E+12 1.400E+15 295 1.500E-4 1.227450158E+00 1.227458171E+00 1.213909875E+00 1.213924636E+00
1.000000E+13 1.400E+15 295 1.500E-4 1.231254659E+00 1.231261494E+00 1.217698770E+00 1.217710914E+00
1.000000E+10 1.400E+15 300 1.500E-4 1.188177919E+00 1.189766679E+00 1.197485410E+00 1.201406231E+00
1.468000E+10 1.400E+15 300 1.500E-4 1.188796796E+00 1.189893068E+00 1.198629579E+00 1.201418422E+00
2.154000E+10 1.400E+15 300 1.500E-4 1.189322949E+00 1.190077157E+00 1.199474582E+00 1.201436276E+00
3.162000E+10 1.400E+15 300 1.500E-4 1.189826417E+00 1.190344331E+00 1.200094021E+00 1.201462427E+00
4.642000E+10 1.400E+15 300 1.500E-4 1.190374758E+00 1.190730134E+00 1.200551725E+00 1.201500718E+00
6.813000E+10 1.400E+15 300 1.500E-4 1.191039195E+00 1.191283086E+00 1.200901042E+00 1.201556722E+00
1.000000E+11 1.400E+15 300 1.500E-4 1.191899560E+00 1.192067187E+00 1.201186353E+00 1.201638520E+00
1.468000E+11 1.400E+15 300 1.500E-4 1.193046685E+00 1.193162227E+00 1.201445971E+00 1.201757725E+00
2.154000E+11 1.400E+15 300 1.500E-4 1.194579052E+00 1.194659092E+00 1.201715647E+00 1.201930893E+00
3.162000E+11 1.400E+15 300 1.500E-4 1.196589971E+00 1.196645860E+00 1.202032196E+00 1.202181308E+00
4.642000E+11 1.400E+15 300 1.500E-4 1.199141869E+00 1.199181383E+00 1.202437236E+00 1.202541097E+00
6.813000E+11 1.400E+15 300 1.500E-4 1.202231277E+00 1.202259705E+00 1.202980518E+00 1.203053477E+00
1.000000E+12 1.400E+15 300 1.500E-4 1.205761746E+00 1.205782677E+00 1.203742507E+00 1.203794787E+00
1.468000E+12 1.400E+15 300 1.500E-4 1.209554664E+00 1.209570504E+00 1.204738333E+00 1.204776006E+00
2.154000E+12 1.400E+15 300 1.500E-4 1.213414309E+00 1.213426662E+00 1.206079720E+00 1.206107432E+00
3.162000E+12 1.400E+15 300 1.500E-4 1.217214645E+00 1.217224554E+00 1.207876413E+00 1.207897383E+00
4.642000E+12 1.400E+15 300 1.500E-4 1.220939135E+00 1.220947286E+00 1.210175082E+00 1.210191408E+00
6.813000E+12 1.400E+15 300 1.500E-4 1.224644364E+00 1.224651219E+00 1.213014788E+00 1.213027878E+00
1.000000E+13 1.400E+15 300 1.500E-4 1.228393043E+00 1.228398901E+00 1.216390040E+00 1.216400819E+00
1.000000E+10 1.400E+15 305 1.500E-4 1.160139616E+00 1.161254812E+00 1.197779800E+00 1.201547892E+00
1.468000E+10 1.400E+15 305 1.500E-4 1.160737981E+00 1.161497808E+00 1.198895447E+00 1.201560720E+00
2.154000E+10 1.400E+15 305 1.500E-4 1.161333668E+00 1.161851688E+00 1.199712226E+00 1.201579505E+00
3.162000E+10 1.400E+15 305 1.500E-4 1.162011678E+00 1.162365173E+00 1.200308222E+00 1.201607009E+00
4.642000E+10 1.400E+15 305 1.500E-4 1.162864769E+00 1.163106323E+00 1.200748449E+00 1.201647231E+00
6.813000E+10 1.400E+15 305 1.500E-4 1.164002480E+00 1.164167888E+00 1.201086020E+00 1.201705965E+00
1.000000E+11 1.400E+15 305 1.500E-4 1.165557970E+00 1.165671586E+00 1.201364635E+00 1.201791536E+00
