T file kT1 TDD TDD1 d N_B
300 001_300 38.647 1.300000E+10 1.300000E+10 1.800E-4 1.000E+17
300 002_300 38.647 2.471000E+10 2.471000E+10 1.800E-4 1.000E+17
300 003_300 38.647 4.696000E+10 4.696000E+10 1.800E-4 1.000E+17
300 004_300 38.647 8.927000E+10 8.927000E+10 1.800E-4 1.000E+17
300 005_300 38.647 1.697000E+11 1.697000E+11 1.800E-4 1.000E+17
300 006_300 38.647 3.225000E+11 3.225000E+11 1.800E-4 1.000E+17
300 007_300 38.647 6.130000E+11 6.130000E+11 1.800E-4 1.000E+17
300 008_300 38.647 1.165000E+12 1.165000E+12 1.800E-4 1.000E+17
300 009_300 38.647 2.214000E+12 2.214000E+12 1.800E-4 1.000E+17
300 010_300 38.647 4.209000E+12 4.209000E+12 1.800E-4 1.000E+17
300 011_300 38.647 8.000000E+12 8.000000E+12 1.800E-4 1.000E+17
