T file kT1 TDD TDD1 TDD11 TDD111 d N_B
325 001_325 35.674 1.300000E+10 1.300000E+10 1.300000E+10 1.300000E+10 1.800E-4 1.000E+17
325 002_325 35.674 2.471000E+10 2.471000E+10 2.471000E+10 2.471000E+10 1.800E-4 1.000E+17
325 003_325 35.674 4.696000E+10 4.696000E+10 4.696000E+10 4.696000E+10 1.800E-4 1.000E+17
325 004_325 35.674 8.927000E+10 8.927000E+10 8.927000E+10 8.927000E+10 1.800E-4 1.000E+17
325 005_325 35.674 1.697000E+11 1.697000E+11 1.697000E+11 1.697000E+11 1.800E-4 1.000E+17
325 006_325 35.674 3.225000E+11 3.225000E+11 3.225000E+11 3.225000E+11 1.800E-4 1.000E+17
325 007_325 35.674 6.130000E+11 6.130000E+11 6.130000E+11 6.130000E+11 1.800E-4 1.000E+17
325 008_325 35.674 1.165000E+12 1.165000E+12 1.165000E+12 1.165000E+12 1.800E-4 1.000E+17
325 009_325 35.674 2.214000E+12 2.214000E+12 2.214000E+12 2.214000E+12 1.800E-4 1.000E+17
325 010_325 35.674 4.209000E+12 4.209000E+12 4.209000E+12 4.209000E+12 1.800E-4 1.000E+17
325 011_325 35.674 8.000000E+12 8.000000E+12 8.000000E+12 8.000000E+12 1.800E-4 1.000E+17
