fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev 
001_335 001_335.dat 335 34.61 1.000000000E+00 0.000000000E+00 1.270929592E-13 1.000000000E+20 1.246318401E+00 8.866756514E-15 3.408239076E-05 
001_335_SRH 001_335_srh.dat 335 34.61 1.000000000E+00 0.000000000E+00 1.526924362E-14 1.000000000E+20 1.338031443E+00 7.532041804E-15 4.707445907E-04 
002_335 002_335.dat 335 34.61 1.000000000E+00 0.000000000E+00 1.398822112E-13 1.000000000E+20 1.281811552E+00 1.552459013E-14 7.755014400E-05 
002_335_SRH 002_335_srh.dat 335 34.61 1.000000000E+00 0.000000000E+00 2.875161445E-14 1.000000000E+20 1.338255575E+00 1.431400130E-14 4.752102497E-04 
003_335 003_335.dat 335 34.61 1.000000000E+00 0.000000000E+00 1.634927110E-13 1.000000000E+20 1.305425165E+00 2.830203135E-14 1.449842107E-04 
003_335_SRH 003_335_srh.dat 335 34.61 1.000000000E+00 0.000000000E+00 5.370146750E-14 1.000000000E+20 1.338670913E+00 2.719910984E-14 4.836274875E-04 
004_335 004_335.dat 335 34.61 1.000000000E+00 0.000000000E+00 2.062174726E-13 1.000000000E+20 1.320385998E+00 5.266363529E-14 2.329749310E-04 
004_335_SRH 004_335_srh.dat 335 34.61 1.000000000E+00 0.000000000E+00 9.884875327E-14 1.000000000E+20 1.339424377E+00 5.167212271E-14 4.993770018E-04 
005_335 005_335.dat 335 34.61 1.000000000E+00 0.000000000E+00 2.806771469E-13 1.000000000E+20 1.330077342E+00 9.899598659E-14 3.338341058E-04 
005_335_SRH 005_335_srh.dat 335 34.61 1.000000000E+00 0.000000000E+00 1.774396070E-13 1.000000000E+20 1.340741728E+00 9.813401008E-14 5.284545372E-04 
006_335 006_335.dat 335 34.61 1.000000000E+00 0.000000000E+00 4.028091412E-13 1.000000000E+20 1.337034607E+00 1.870016270E-13 4.450335490E-04 
006_335_SRH 006_335_srh.dat 335 34.61 1.000000000E+00 0.000000000E+00 3.060490030E-13 1.000000000E+20 1.342911615E+00 1.863022044E-13 5.808837823E-04 
007_335 007_335.dat 335 34.61 1.000000000E+00 0.000000000E+00 5.870296050E-13 1.000000000E+20 1.342953921E+00 3.540871442E-13 5.772591465E-04 
007_335_SRH 007_335_srh.dat 335 34.61 1.000000000E+00 0.000000000E+00 4.992300058E-13 1.000000000E+20 1.346191418E+00 3.536016157E-13 6.717284340E-04 
008_335 008_335.dat 335 34.61 1.000000000E+00 0.000000000E+00 8.410126066E-13 1.000000000E+20 1.348818649E+00 6.715194868E-13 7.519417426E-04 
008_335_SRH 008_335_srh.dat 335 34.61 1.000000000E+00 0.000000000E+00 7.637009450E-13 1.000000000E+20 1.350656507E+00 6.713189642E-13 8.197186189E-04 
009_335 009_335.dat 335 34.61 1.000000000E+00 0.000000000E+00 1.170977807E-12 1.000000000E+20 1.355034327E+00 1.275639741E-12 9.906976023E-04 
009_335_SRH 009_335_srh.dat 335 34.61 1.000000000E+00 0.000000000E+00 1.103846502E-12 1.000000000E+20 1.356147466E+00 1.275821519E-12 1.041474782E-03 
010_335 010_335.dat 335 34.61 1.000000000E+00 0.000000000E+00 1.597231072E-12 1.000000000E+20 1.361684034E+00 2.427863895E-12 1.305217902E-03 
010_335_SRH 010_335_srh.dat 335 34.61 1.000000000E+00 0.000000000E+00 1.538461629E-12 1.000000000E+20 1.362414194E+00 2.428574305E-12 1.344527756E-03 
011_335 011_335.dat 335 34.61 1.000000000E+00 0.000000000E+00 2.160148478E-12 1.000000000E+20 1.368789796E+00 4.629754821E-12 1.696833776E-03 
011_335_SRH 011_335_srh.dat 335 34.61 1.000000000E+00 0.000000000E+00 2.107550851E-12 1.000000000E+20 1.369301200E+00 4.631226805E-12 1.727711338E-03 
