N_Fe N_B T d n_FeB n_FeB_SRH
1.300000E+10 1.778E+15 290 1.800E-4 1.195151178E+00 1.198506885E+00
2.471000E+10 1.778E+15 290 1.800E-4 1.196691117E+00 1.198565127E+00
4.696000E+10 1.778E+15 290 1.800E-4 1.197651384E+00 1.198675236E+00
8.927000E+10 1.778E+15 290 1.800E-4 1.198328458E+00 1.198882744E+00
1.697000E+11 1.778E+15 290 1.800E-4 1.198970453E+00 1.199271057E+00
3.225000E+11 1.778E+15 290 1.800E-4 1.199822875E+00 1.199988090E+00
6.130000E+11 1.778E+15 290 1.800E-4 1.201199664E+00 1.201293565E+00
1.165000E+12 1.778E+15 290 1.800E-4 1.203475984E+00 1.203531730E+00
2.214000E+12 1.778E+15 290 1.800E-4 1.207106640E+00 1.207141999E+00
4.209000E+12 1.778E+15 290 1.800E-4 1.212450291E+00 1.212474512E+00
8.000000E+12 1.778E+15 290 1.800E-4 1.219503003E+00 1.219520625E+00
