N_Fe N_B T d n_Fe n_Fe_SRH
1.300000E+10 5.623E+15 315 1.800E-4 1.225147439E+00 1.230783994E+00
2.471000E+10 5.623E+15 315 1.800E-4 1.228055248E+00 1.231111746E+00
4.696000E+10 5.623E+15 315 1.800E-4 1.230076373E+00 1.231715095E+00
8.927000E+10 5.623E+15 315 1.800E-4 1.231922602E+00 1.232795980E+00
1.697000E+11 5.623E+15 315 1.800E-4 1.234176053E+00 1.234641424E+00
3.225000E+11 5.623E+15 315 1.800E-4 1.237301205E+00 1.237551195E+00
6.130000E+11 5.623E+15 315 1.800E-4 1.241494745E+00 1.241632143E+00
1.165000E+12 5.623E+15 315 1.800E-4 1.246532405E+00 1.246611417E+00
2.214000E+12 5.623E+15 315 1.800E-4 1.251987490E+00 1.252036224E+00
4.209000E+12 5.623E+15 315 1.800E-4 1.257654801E+00 1.257687550E+00
8.000000E+12 5.623E+15 315 1.800E-4 1.263568657E+00 1.263592487E+00
