fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev 
001_300 001_300.dat 300 38.647 1.000000000E+00 0.000000000E+00 9.872278671E-15 1.000000000E+20 1.214803936E+00 5.062138774E-15 9.733976699E-04 
001_300_SRH 001_300_srh.dat 300 38.647 1.000000000E+00 0.000000000E+00 9.452049312E-15 1.000000000E+20 1.215531638E+00 5.056180576E-15 1.012137821E-03 
002_300 002_300.dat 300 38.647 1.000000000E+00 0.000000000E+00 1.609276038E-14 1.000000000E+20 1.216970835E+00 9.393453619E-15 1.095668531E-03 
002_300_SRH 002_300_srh.dat 300 38.647 1.000000000E+00 0.000000000E+00 1.569341642E-14 1.000000000E+20 1.217392949E+00 9.388172993E-15 1.120117452E-03 
003_300 003_300.dat 300 38.647 1.000000000E+00 0.000000000E+00 2.494329558E-14 1.000000000E+20 1.219952592E+00 1.742400719E-14 1.285123759E-03 
003_300_SRH 003_300_srh.dat 300 38.647 1.000000000E+00 0.000000000E+00 2.457106754E-14 1.000000000E+20 1.220206475E+00 1.741963322E-14 1.301697034E-03 
004_300 004_300.dat 300 38.647 1.000000000E+00 0.000000000E+00 3.645349900E-14 1.000000000E+20 1.223949367E+00 3.232668613E-14 1.575525588E-03 
004_300_SRH 004_300_srh.dat 300 38.647 1.000000000E+00 0.000000000E+00 3.611096130E-14 1.000000000E+20 1.224111028E+00 3.232348846E-14 1.587742465E-03 
005_300 005_300.dat 300 38.647 1.000000000E+00 0.000000000E+00 5.066812854E-14 1.000000000E+20 1.228990268E+00 6.004682228E-14 1.991464644E-03 
005_300_SRH 005_300_srh.dat 300 38.647 1.000000000E+00 0.000000000E+00 5.035257495E-14 1.000000000E+20 1.229102162E+00 6.004536828E-14 2.001118063E-03 
006_300 006_300.dat 300 38.647 1.000000000E+00 0.000000000E+00 6.826960796E-14 1.000000000E+20 1.234977191E+00 1.117580997E-13 2.539341057E-03 
006_300_SRH 006_300_srh.dat 300 38.647 1.000000000E+00 0.000000000E+00 6.797501931E-14 1.000000000E+20 1.235060484E+00 1.117593718E-13 2.547271030E-03 
007_300 007_300.dat 300 38.647 1.000000000E+00 0.000000000E+00 9.059183264E-14 1.000000000E+20 1.241813793E+00 2.084644685E-13 3.211009515E-03 
007_300_SRH 007_300_srh.dat 300 38.647 1.000000000E+00 0.000000000E+00 9.031212309E-14 1.000000000E+20 1.241878693E+00 2.084701958E-13 3.217580023E-03 
