N_Fe N_B T d n_Fe n_Fe_SRH n_FeB n_FeB_SRH
1.300000E+10 1.000E+16 290 1.800E-4 1.237146785E+00 1.247104755E+00 1.207026970E+00 1.213165189E+00
2.471000E+10 1.000E+16 290 1.800E-4 1.241164129E+00 1.247247905E+00 1.209779220E+00 1.213355463E+00
4.696000E+10 1.000E+16 290 1.800E-4 1.243976783E+00 1.247516941E+00 1.211687948E+00 1.213710918E+00
8.927000E+10 1.000E+16 290 1.800E-4 1.246014605E+00 1.248018328E+00 1.213255870E+00 1.214392504E+00
1.697000E+11 1.000E+16 290 1.800E-4 1.247809921E+00 1.248937670E+00 1.214950942E+00 1.215594973E+00
3.225000E+11 1.000E+16 290 1.800E-4 1.249930230E+00 1.250575599E+00 1.217265165E+00 1.217643535E+00
6.130000E+11 1.000E+16 290 1.800E-4 1.252973681E+00 1.253357913E+00 1.220694381E+00 1.220928782E+00
1.165000E+12 1.000E+16 290 1.800E-4 1.257510273E+00 1.257753070E+00 1.225649984E+00 1.225806689E+00
2.214000E+12 1.000E+16 290 1.800E-4 1.263881937E+00 1.264045899E+00 1.232252131E+00 1.232364560E+00
4.209000E+12 1.000E+16 290 1.800E-4 1.271977533E+00 1.272094247E+00 1.240273767E+00 1.240358103E+00
8.000000E+12 1.000E+16 290 1.800E-4 1.281295880E+00 1.281381190E+00 1.249346444E+00 1.249410728E+00
1.300000E+10 1.000E+16 295 1.800E-4 1.239280934E+00 1.248354895E+00 1.209319497E+00 1.215519341E+00
2.471000E+10 1.000E+16 295 1.800E-4 1.243014922E+00 1.248485131E+00 1.212109783E+00 1.215687637E+00
4.696000E+10 1.000E+16 295 1.800E-4 1.245571603E+00 1.248729790E+00 1.213992528E+00 1.216002078E+00
8.927000E+10 1.000E+16 295 1.800E-4 1.247406897E+00 1.249185230E+00 1.215464937E+00 1.216581581E+00
1.697000E+11 1.000E+16 295 1.800E-4 1.249022018E+00 1.250018691E+00 1.217016066E+00 1.217645800E+00
3.225000E+11 1.000E+16 295 1.800E-4 1.250931441E+00 1.251499407E+00 1.219098764E+00 1.219464327E+00
6.130000E+11 1.000E+16 295 1.800E-4 1.253670059E+00 1.254006890E+00 1.222141795E+00 1.222363473E+00
1.165000E+12 1.000E+16 295 1.800E-4 1.257749838E+00 1.257962342E+00 1.226548676E+00 1.226694528E+00
2.214000E+12 1.000E+16 295 1.800E-4 1.263499653E+00 1.263643692E+00 1.232457843E+00 1.232561106E+00
4.209000E+12 1.000E+16 295 1.800E-4 1.270876047E+00 1.270979649E+00 1.239720232E+00 1.239797726E+00
8.000000E+12 1.000E+16 295 1.800E-4 1.279495113E+00 1.279572028E+00 1.248064203E+00 1.248123790E+00
1.300000E+10 1.000E+16 300 1.800E-4 1.241630095E+00 1.250223828E+00 1.211693861E+00 1.218184867E+00
2.471000E+10 1.000E+16 300 1.800E-4 1.245260755E+00 1.250347542E+00 1.214636665E+00 1.218338704E+00
4.696000E+10 1.000E+16 300 1.800E-4 1.247676477E+00 1.250579608E+00 1.216564879E+00 1.218626060E+00
8.927000E+10 1.000E+16 300 1.800E-4 1.249388856E+00 1.251010314E+00 1.218020023E+00 1.219155250E+00
1.697000E+11 1.000E+16 300 1.800E-4 1.250892349E+00 1.251794429E+00 1.219477210E+00 1.220105394E+00
3.225000E+11 1.000E+16 300 1.800E-4 1.252666422E+00 1.253176188E+00 1.221384995E+00 1.221740965E+00
6.130000E+11 1.000E+16 300 1.800E-4 1.255191302E+00 1.255490675E+00 1.224179862E+00 1.224394042E+00
1.165000E+12 1.000E+16 300 1.800E-4 1.258913404E+00 1.259100554E+00 1.228167213E+00 1.228304648E+00
2.214000E+12 1.000E+16 300 1.800E-4 1.264122225E+00 1.264248535E+00 1.233496103E+00 1.233591268E+00
4.209000E+12 1.000E+16 300 1.800E-4 1.270809842E+00 1.270901043E+00 1.240077627E+00 1.240148541E+00
8.000000E+12 1.000E+16 300 1.800E-4 1.278693753E+00 1.278762232E+00 1.247688337E+00 1.247743055E+00
1.300000E+10 1.000E+16 305 1.800E-4 1.243456469E+00 1.251986584E+00 1.213374402E+00 1.220303131E+00
2.471000E+10 1.000E+16 305 1.800E-4 1.247169096E+00 1.252113097E+00 1.216558586E+00 1.220453014E+00
4.696000E+10 1.000E+16 305 1.800E-4 1.249567564E+00 1.252349742E+00 1.218587937E+00 1.220732714E+00
8.927000E+10 1.000E+16 305 1.800E-4 1.251248881E+00 1.252786564E+00 1.220077456E+00 1.221246730E+00
1.697000E+11 1.000E+16 305 1.800E-4 1.252727449E+00 1.253574340E+00 1.221527272E+00 1.222166056E+00
3.225000E+11 1.000E+16 305 1.800E-4 1.254468786E+00 1.254941529E+00 1.223382561E+00 1.223737829E+00
6.130000E+11 1.000E+16 305 1.800E-4 1.256909201E+00 1.257182485E+00 1.226043516E+00 1.226249282E+00
1.165000E+12 1.000E+16 305 1.800E-4 1.260422503E+00 1.260590350E+00 1.229788830E+00 1.229917845E+00
2.214000E+12 1.000E+16 305 1.800E-4 1.265232428E+00 1.265344101E+00 1.234713716E+00 1.234801033E+00
4.209000E+12 1.000E+16 305 1.800E-4 1.271332527E+00 1.271412724E+00 1.240718937E+00 1.240782724E+00
8.000000E+12 1.000E+16 305 1.800E-4 1.278519030E+00 1.278579533E+00 1.247626600E+00 1.247675796E+00
1.300000E+10 1.000E+16 310 1.800E-4 1.244665628E+00 1.253539359E+00 1.215158421E+00 1.222938007E+00
2.471000E+10 1.000E+16 310 1.800E-4 1.248645516E+00 1.253682869E+00 1.218759545E+00 1.223085787E+00
4.696000E+10 1.000E+16 310 1.800E-4 1.251156876E+00 1.253950145E+00 1.220998750E+00 1.223361472E+00
8.927000E+10 1.000E+16 310 1.800E-4 1.252913474E+00 1.254439645E+00 1.222590246E+00 1.223867692E+00
1.697000E+11 1.000E+16 310 1.800E-4 1.254479239E+00 1.255310123E+00 1.224081346E+00 1.224771548E+00
3.225000E+11 1.000E+16 310 1.800E-4 1.256329238E+00 1.256786243E+00 1.225934113E+00 1.226311370E+00
6.130000E+11 1.000E+16 310 1.800E-4 1.258865034E+00 1.259123923E+00 1.228541686E+00 1.228754351E+00
1.165000E+12 1.000E+16 310 1.800E-4 1.262374419E+00 1.262529460E+00 1.232158322E+00 1.232285519E+00
2.214000E+12 1.000E+16 310 1.800E-4 1.266983900E+00 1.267084502E+00 1.236822842E+00 1.236905811E+00
4.209000E+12 1.000E+16 310 1.800E-4 1.272654886E+00 1.272725928E+00 1.242407997E+00 1.242467220E+00
8.000000E+12 1.000E+16 310 1.800E-4 1.279239377E+00 1.279292727E+00 1.248777378E+00 1.248822458E+00
1.300000E+10 1.000E+16 315 1.800E-4 1.244269573E+00 1.253848381E+00 1.216331495E+00 1.225264340E+00
2.471000E+10 1.000E+16 315 1.800E-4 1.248689620E+00 1.254031925E+00 1.220487705E+00 1.225414637E+00
4.696000E+10 1.000E+16 315 1.800E-4 1.251448653E+00 1.254372053E+00 1.223022205E+00 1.225694987E+00
8.927000E+10 1.000E+16 315 1.800E-4 1.253409026E+00 1.254989161E+00 1.224774061E+00 1.226209575E+00
1.697000E+11 1.000E+16 315 1.800E-4 1.255217548E+00 1.256068199E+00 1.226358715E+00 1.227127459E+00
3.225000E+11 1.000E+16 315 1.800E-4 1.257384901E+00 1.257845876E+00 1.228273210E+00 1.228687407E+00
6.130000E+11 1.000E+16 315 1.800E-4 1.260281338E+00 1.260536944E+00 1.230920175E+00 1.231148134E+00
1.165000E+12 1.000E+16 315 1.800E-4 1.264078894E+00 1.264227587E+00 1.234531211E+00 1.234662720E+00
2.214000E+12 1.000E+16 315 1.800E-4 1.268762372E+00 1.268855715E+00 1.239088885E+00 1.239170982E+00
4.209000E+12 1.000E+16 315 1.800E-4 1.274230284E+00 1.274294353E+00 1.244410417E+00 1.244466771E+00
8.000000E+12 1.000E+16 315 1.800E-4 1.280375077E+00 1.280422433E+00 1.250348071E+00 1.250389920E+00
1.300000E+10 1.000E+16 320 1.800E-4 1.241276448E+00 1.251805192E+00 1.216449127E+00 1.226740706E+00
2.471000E+10 1.000E+16 320 1.800E-4 1.246274615E+00 1.252068647E+00 1.221264130E+00 1.226903123E+00
4.696000E+10 1.000E+16 320 1.800E-4 1.249417352E+00 1.252554555E+00 1.090416220E+00 1.227205914E+00
8.927000E+10 1.000E+16 320 1.800E-4 1.251747541E+00 1.253428176E+00 1.226136275E+00 1.227761175E+00
1.697000E+11 1.000E+16 320 1.800E-4 1.254034227E+00 1.254930443E+00 1.227885577E+00 1.228749669E+00
3.225000E+11 1.000E+16 320 1.800E-4 1.256853461E+00 1.257333019E+00 1.229962657E+00 1.230422978E+00
6.130000E+11 1.000E+16 320 1.800E-4 1.260534270E+00 1.260795263E+00 1.232793037E+00 1.233041446E+00
1.165000E+12 1.000E+16 320 1.800E-4 1.265066951E+00 1.265214689E+00 1.236585096E+00 1.236723835E+00
2.214000E+12 1.000E+16 320 1.800E-4 1.270218000E+00 1.270307489E+00 1.241243036E+00 1.241325896E+00
4.209000E+12 1.000E+16 320 1.800E-4 1.275793781E+00 1.275852972E+00 1.246492073E+00 1.246546353E+00
8.000000E+12 1.000E+16 320 1.800E-4 1.281730667E+00 1.281773224E+00 1.252144500E+00 1.252183395E+00
1.300000E+10 1.000E+16 325 1.800E-4 1.233866017E+00 1.245397733E+00 1.216065505E+00 1.228094311E+00
2.471000E+10 1.000E+16 325 1.800E-4 1.239520347E+00 1.245809501E+00 1.221691800E+00 1.228267668E+00
4.696000E+10 1.000E+16 325 1.800E-4 1.243186291E+00 1.246566115E+00 1.225052204E+00 1.228590943E+00
8.927000E+10 1.000E+16 325 1.800E-4 1.246117779E+00 1.247916855E+00 1.227298461E+00 1.229183846E+00
1.697000E+11 1.000E+16 325 1.800E-4 1.249255705E+00 1.250208839E+00 1.229240725E+00 1.230239708E+00
3.225000E+11 1.000E+16 325 1.800E-4 1.253278735E+00 1.253784532E+00 1.231498387E+00 1.232027115E+00
6.130000E+11 1.000E+16 325 1.800E-4 1.258442639E+00 1.258714650E+00 1.234538747E+00 1.234820488E+00
1.165000E+12 1.000E+16 325 1.800E-4 1.264425077E+00 1.264576209E+00 1.238573007E+00 1.238726680E+00
2.214000E+12 1.000E+16 325 1.800E-4 1.270636394E+00 1.270725301E+00 1.243447428E+00 1.243535786E+00
4.209000E+12 1.000E+16 325 1.800E-4 1.276761463E+00 1.276818085E+00 1.248786982E+00 1.248842228E+00
8.000000E+12 1.000E+16 325 1.800E-4 1.282819140E+00 1.282858419E+00 1.254330821E+00 1.254368737E+00
1.300000E+10 1.000E+16 330 1.800E-4 1.219232457E+00 1.231408400E+00 1.214661051E+00 1.228657021E+00
2.471000E+10 1.000E+16 330 1.800E-4 1.225482980E+00 1.232084037E+00 1.221194070E+00 1.228846124E+00
4.696000E+10 1.000E+16 330 1.800E-4 1.229793214E+00 1.233322730E+00 1.225083403E+00 1.229198739E+00
8.927000E+10 1.000E+16 330 1.800E-4 1.233653109E+00 1.235524590E+00 1.227654702E+00 1.229845431E+00
1.697000E+11 1.000E+16 330 1.800E-4 1.238240591E+00 1.239229117E+00 1.229837587E+00 1.230996789E+00
3.225000E+11 1.000E+16 330 1.800E-4 1.244388510E+00 1.244911948E+00 1.232333246E+00 1.232945071E+00
6.130000E+11 1.000E+16 330 1.800E-4 1.252212774E+00 1.252493886E+00 1.235662309E+00 1.235986176E+00
1.165000E+12 1.000E+16 330 1.800E-4 1.260832337E+00 1.260988040E+00 1.240048278E+00 1.240222321E+00
2.214000E+12 1.000E+16 330 1.800E-4 1.269043500E+00 1.269133924E+00 1.245283087E+00 1.245380408E+00
4.209000E+12 1.000E+16 330 1.800E-4 1.276368319E+00 1.276424294E+00 1.250879437E+00 1.250937846E+00
8.000000E+12 1.000E+16 330 1.800E-4 1.283007318E+00 1.283044750E+00 1.256477546E+00 1.256515897E+00
1.300000E+10 1.000E+16 335 1.800E-4 1.192908316E+00 1.204657590E+00 1.211259485E+00 1.227236952E+00
2.471000E+10 1.000E+16 335 1.800E-4 1.199439890E+00 1.205776655E+00 1.218705919E+00 1.227456155E+00
4.696000E+10 1.000E+16 335 1.800E-4 1.204451842E+00 1.207827138E+00 1.223155427E+00 1.227864523E+00
8.927000E+10 1.000E+16 335 1.800E-4 1.209680059E+00 1.211467298E+00 1.226103953E+00 1.228612121E+00
1.697000E+11 1.000E+16 335 1.800E-4 1.216626687E+00 1.217572666E+00 1.228610853E+00 1.229938982E+00
3.225000E+11 1.000E+16 335 1.800E-4 1.226361966E+00 1.226866829E+00 1.231471511E+00 1.232172988E+00
6.130000E+11 1.000E+16 335 1.800E-4 1.238761904E+00 1.239037614E+00 1.235263380E+00 1.235634453E+00
1.165000E+12 1.000E+16 335 1.800E-4 1.251968435E+00 1.252124776E+00 1.240208771E+00 1.240407130E+00
2.214000E+12 1.000E+16 335 1.800E-4 1.263695049E+00 1.263787348E+00 1.246021409E+00 1.246130627E+00
4.209000E+12 1.000E+16 335 1.800E-4 1.273218384E+00 1.273275215E+00 1.252079405E+00 1.252143090E+00
8.000000E+12 1.000E+16 335 1.800E-4 1.281113749E+00 1.281150807E+00 1.257906584E+00 1.257946833E+00
1.300000E+10 1.000E+16 340 1.800E-4 1.149040570E+00 1.158211829E+00 1.206419939E+00 1.224401297E+00
2.471000E+10 1.000E+16 340 1.800E-4 1.155115926E+00 1.160009062E+00 1.214773474E+00 1.224659939E+00
4.696000E+10 1.000E+16 340 1.800E-4 1.160715931E+00 1.163306359E+00 1.219806846E+00 1.225140954E+00
8.927000E+10 1.000E+16 340 1.800E-4 1.167798826E+00 1.169172020E+00 1.223170969E+00 1.226018932E+00
1.697000E+11 1.000E+16 340 1.800E-4 1.178302701E+00 1.179038445E+00 1.226056275E+00 1.227569226E+00
3.225000E+11 1.000E+16 340 1.800E-4 1.193689007E+00 1.194094096E+00 1.229355081E+00 1.230157937E+00
6.130000E+11 1.000E+16 340 1.800E-4 1.213516643E+00 1.213751334E+00 1.233695247E+00 1.234122569E+00
1.165000E+12 1.000E+16 340 1.800E-4 1.234338303E+00 1.234482594E+00 1.239284494E+00 1.239514101E+00
2.214000E+12 1.000E+16 340 1.800E-4 1.251970974E+00 1.252062503E+00 1.245759310E+00 1.245885626E+00
4.209000E+12 1.000E+16 340 1.800E-4 1.265236793E+00 1.265295227E+00 1.252380234E+00 1.252453038E+00
8.000000E+12 1.000E+16 340 1.800E-4 1.275398135E+00 1.275436277E+00 1.258554065E+00 1.258599008E+00
1.300000E+10 1.000E+17 290 1.800E-4 1.261752472E+00 1.313777360E+00 1.219187302E+00 1.231246635E+00
2.471000E+10 1.000E+17 290 1.800E-4 1.272316511E+00 1.314108760E+00 1.225808966E+00 1.232870010E+00
4.696000E+10 1.000E+17 290 1.800E-4 1.282693543E+00 1.314726655E+00 1.231314438E+00 1.235461032E+00
8.927000E+10 1.000E+17 290 1.800E-4 1.292933915E+00 1.315861320E+00 1.236733348E+00 1.239249710E+00
1.697000E+11 1.000E+17 290 1.800E-4 1.302563666E+00 1.317887196E+00 1.242668925E+00 1.244295584E+00
3.225000E+11 1.000E+17 290 1.800E-4 1.311578904E+00 1.321334390E+00 1.249370042E+00 1.250499470E+00
6.130000E+11 1.000E+17 290 1.800E-4 1.320683615E+00 1.326772239E+00 1.256911116E+00 1.257739341E+00
1.165000E+12 1.000E+17 290 1.800E-4 1.330674682E+00 1.334490819E+00 1.265304747E+00 1.265928396E+00
2.214000E+12 1.000E+17 290 1.800E-4 1.341741162E+00 1.344170078E+00 1.274574253E+00 1.275047916E+00
4.209000E+12 1.000E+17 290 1.800E-4 1.353413846E+00 1.354982593E+00 1.284702327E+00 1.285060820E+00
8.000000E+12 1.000E+17 290 1.800E-4 1.365084945E+00 1.366106419E+00 1.295579109E+00 1.295847933E+00
1.300000E+10 1.000E+17 295 1.800E-4 1.264879706E+00 1.313471045E+00 1.219987059E+00 1.233916660E+00
2.471000E+10 1.000E+17 295 1.800E-4 1.275696036E+00 1.313771794E+00 1.227617022E+00 1.235531267E+00
4.696000E+10 1.000E+17 295 1.800E-4 1.285450376E+00 1.314333250E+00 1.233615179E+00 1.238090127E+00
8.927000E+10 1.000E+17 295 1.800E-4 1.294715580E+00 1.315366298E+00 1.239190157E+00 1.241780407E+00
1.697000E+11 1.000E+17 295 1.800E-4 1.303363608E+00 1.317217112E+00 1.245001431E+00 1.246592954E+00
3.225000E+11 1.000E+17 295 1.800E-4 1.311508568E+00 1.320385246E+00 1.251313627E+00 1.252373980E+00
6.130000E+11 1.000E+17 295 1.800E-4 1.319840401E+00 1.325431278E+00 1.258241212E+00 1.258999608E+00
1.165000E+12 1.000E+17 295 1.800E-4 1.329147370E+00 1.332694691E+00 1.265863609E+00 1.266434395E+00
2.214000E+12 1.000E+17 295 1.800E-4 1.339673821E+00 1.341965726E+00 1.274306428E+00 1.274741507E+00
4.209000E+12 1.000E+17 295 1.800E-4 1.351020002E+00 1.352524900E+00 1.283612983E+00 1.283945840E+00
8.000000E+12 1.000E+17 295 1.800E-4 1.362602562E+00 1.363599252E+00 1.293767437E+00 1.294019917E+00
1.300000E+10 1.000E+17 300 1.800E-4 1.267660567E+00 1.314417297E+00 1.219874905E+00 1.236454900E+00
2.471000E+10 1.000E+17 300 1.800E-4 1.279382309E+00 1.314687897E+00 1.228898247E+00 1.238126790E+00
4.696000E+10 1.000E+17 300 1.800E-4 1.288977809E+00 1.315193520E+00 1.235702841E+00 1.240766777E+00
8.927000E+10 1.000E+17 300 1.800E-4 1.297550791E+00 1.316125164E+00 1.241726720E+00 1.244534128E+00
1.697000E+11 1.000E+17 300 1.800E-4 1.305359720E+00 1.317798608E+00 1.247710929E+00 1.249343986E+00
3.225000E+11 1.000E+17 300 1.800E-4 1.312685898E+00 1.320676423E+00 1.253918519E+00 1.254949305E+00
6.130000E+11 1.000E+17 300 1.800E-4 1.320232683E+00 1.325296342E+00 1.260463519E+00 1.261172947E+00
1.165000E+12 1.000E+17 300 1.800E-4 1.328782377E+00 1.332027645E+00 1.267499542E+00 1.268020788E+00
2.214000E+12 1.000E+17 300 1.800E-4 1.338634243E+00 1.340759884E+00 1.275204937E+00 1.275602274E+00
4.209000E+12 1.000E+17 300 1.800E-4 1.349473335E+00 1.350891507E+00 1.283721979E+00 1.284027389E+00
8.000000E+12 1.000E+17 300 1.800E-4 1.360765233E+00 1.361720421E+00 1.293109994E+00 1.293344904E+00
1.300000E+10 1.000E+17 305 1.800E-4 1.269711445E+00 1.316553112E+00 1.218044510E+00 1.237886303E+00
2.471000E+10 1.000E+17 305 1.800E-4 1.283030290E+00 1.316796474E+00 1.228836018E+00 1.239739944E+00
4.696000E+10 1.000E+17 305 1.800E-4 1.292985555E+00 1.317251401E+00 1.236801566E+00 1.242653561E+00
8.927000E+10 1.000E+17 305 1.800E-4 1.301216287E+00 1.318090203E+00 1.243632455E+00 1.246762645E+00
1.697000E+11 1.000E+17 305 1.800E-4 1.308399819E+00 1.319598875E+00 1.250154011E+00 1.251882349E+00
3.225000E+11 1.000E+17 305 1.800E-4 1.315027874E+00 1.322200266E+00 1.256596827E+00 1.257623209E+00
6.130000E+11 1.000E+17 305 1.800E-4 1.321845918E+00 1.326398220E+00 1.263047115E+00 1.263716486E+00
1.165000E+12 1.000E+17 305 1.800E-4 1.329634511E+00 1.332570870E+00 1.269692403E+00 1.270166512E+00
2.214000E+12 1.000E+17 305 1.800E-4 1.338742854E+00 1.340687966E+00 1.276788385E+00 1.277143106E+00
4.209000E+12 1.000E+17 305 1.800E-4 1.348948559E+00 1.350265522E+00 1.284560469E+00 1.284832443E+00
8.000000E+12 1.000E+17 305 1.800E-4 1.359786944E+00 1.360688581E+00 1.293166737E+00 1.293378524E+00
1.300000E+10 1.000E+17 310 1.800E-4 1.270375515E+00 1.319346886E+00 1.215038703E+00 1.239110214E+00
2.471000E+10 1.000E+17 310 1.800E-4 1.285975070E+00 1.319567560E+00 1.227910062E+00 1.241122376E+00
4.696000E+10 1.000E+17 310 1.800E-4 1.296826619E+00 1.319980026E+00 1.237276624E+00 1.244302266E+00
8.927000E+10 1.000E+17 310 1.800E-4 1.305095399E+00 1.320740307E+00 1.245121495E+00 1.248800542E+00
1.697000E+11 1.000E+17 310 1.800E-4 1.311904915E+00 1.322107249E+00 1.252410541E+00 1.254390667E+00
3.225000E+11 1.000E+17 310 1.800E-4 1.317996919E+00 1.324464205E+00 1.259367626E+00 1.260487251E+00
6.130000E+11 1.000E+17 310 1.800E-4 1.324188160E+00 1.328273039E+00 1.266027244E+00 1.266709773E+00
