N_Fe N_B T d Jsc_Fe Eta_Fe Voc_Fe FF_Fe Jsc_FeB Eta_FeB Voc_FeB FF_FeB Jsc_e Eta_e Voc_e FF_e
1.300000E+10 4.500E+15 293 2.000E-4 3.691513E+1 1.905190E+1 6.211460E-1 8.308850E+1 3.690341E+1 1.902140E+1 6.199590E-1 8.314040E+1 -3.1758583E-02 -1.6034572E-01 -1.9146427E-01 6.2424525E-02
1.693000E+10 4.500E+15 293 2.000E-4 3.690241E+1 1.903840E+1 6.211070E-1 8.306320E+1 3.688759E+1 1.899930E+1 6.195580E-1 8.313350E+1 -4.0176113E-02 -2.0579706E-01 -2.5001695E-01 8.4562782E-02
2.206000E+10 4.500E+15 293 2.000E-4 3.688591E+1 1.902080E+1 6.210560E-1 8.303040E+1 3.686710E+1 1.897110E+1 6.190480E-1 8.312450E+1 -5.1021100E-02 -2.6197743E-01 -3.2436903E-01 1.1320369E-01
2.874000E+10 4.500E+15 293 2.000E-4 3.686450E+1 1.899800E+1 6.209900E-1 8.298800E+1 3.684063E+1 1.893510E+1 6.184040E-1 8.311280E+1 -6.4792594E-02 -3.3218731E-01 -4.1817323E-01 1.5015738E-01
3.743000E+10 4.500E+15 293 2.000E-4 3.683679E+1 1.896850E+1 6.209030E-1 8.293320E+1 3.680648E+1 1.888940E+1 6.175970E-1 8.309770E+1 -8.2349630E-02 -4.1875337E-01 -5.3530053E-01 1.9795975E-01
4.876000E+10 4.500E+15 293 2.000E-4 3.680096E+1 1.893050E+1 6.207900E-1 8.286280E+1 3.676258E+1 1.883190E+1 6.165950E-1 8.307820E+1 -1.0439964E-01 -5.2357967E-01 -6.8034934E-01 2.5927379E-01
6.352000E+10 4.500E+15 293 2.000E-4 3.675476E+1 1.888170E+1 6.206410E-1 8.277250E+1 3.670635E+1 1.876000E+1 6.153670E-1 8.305320E+1 -1.3188454E-01 -6.4872068E-01 -8.5704953E-01 3.3797614E-01
8.274000E+10 4.500E+15 293 2.000E-4 3.669535E+1 1.881910E+1 6.204480E-1 8.265750E+1 3.663467E+1 1.867100E+1 6.138800E-1 8.302190E+1 -1.6563545E-01 -7.9320872E-01 -1.0699159E+00 4.3892033E-01
1.078000E+11 4.500E+15 293 2.000E-4 3.661927E+1 1.873940E+1 6.201940E-1 8.251200E+1 3.654385E+1 1.856220E+1 6.121080E-1 8.298280E+1 -2.0638220E-01 -9.5462822E-01 -1.3210087E+00 5.6734649E-01
1.404000E+11 4.500E+15 293 2.000E-4 3.652231E+1 1.863850E+1 6.198540E-1 8.233080E+1 3.642968E+1 1.843080E+1 6.100290E-1 8.293530E+1 -2.5427069E-01 -1.1269180E+00 -1.6105792E+00 7.2888143E-01
1.829000E+11 4.500E+15 293 2.000E-4 3.639957E+1 1.851240E+1 6.193960E-1 8.211030E+1 3.628750E+1 1.827450E+1 6.075320E-1 8.289310E+1 -3.0883913E-01 -1.3018140E+00 -1.9528189E+00 9.4434881E-01
2.382000E+11 4.500E+15 293 2.000E-4 3.624548E+1 1.835590E+1 6.187930E-1 8.184220E+1 3.611251E+1 1.809130E+1 6.047550E-1 8.283840E+1 -3.6821035E-01 -1.4625815E+00 -2.3212706E+00 1.2025824E+00
3.103000E+11 4.500E+15 293 2.000E-4 3.605411E+1 1.816520E+1 6.180000E-1 8.152640E+1 3.590017E+1 1.788030E+1 6.017270E-1 8.277110E+1 -4.2880020E-01 -1.5933737E+00 -2.7043826E+00 1.5037857E+00
