N_Fe N_B T d Jsc_Fe Eta_Fe Voc_Fe FF_Fe Jsc_FeB Eta_FeB Voc_FeB FF_FeB Jsc_e Eta_e Voc_e FF_e
1.000000E+10 8.000E+16 290 1.800E-4 3.518863E+1 1.847010E+1 6.275340E-1 8.364300E+1 3.490603E+1 1.830180E+1 6.269380E-1 8.363150E+1 -8.0960224E-01 -9.1958168E-01 -9.5065222E-02 -1.3750800E-02
1.468000E+10 8.000E+16 290 1.800E-4 3.517077E+1 1.845940E+1 6.274960E-1 8.364210E+1 3.477143E+1 1.822140E+1 6.266430E-1 8.362550E+1 -1.1484716E+00 -1.3061565E+00 -1.3612216E-01 -1.9850404E-02
2.154000E+10 8.000E+16 290 1.800E-4 3.514473E+1 1.844380E+1 6.274400E-1 8.364080E+1 3.458515E+1 1.811010E+1 6.262360E-1 8.361690E+1 -1.6179777E+00 -1.8426182E+00 -1.9225979E-01 -2.8582739E-02
3.162000E+10 8.000E+16 290 1.800E-4 3.510693E+1 1.842120E+1 6.273600E-1 8.363890E+1 3.433322E+1 1.795980E+1 6.256840E-1 8.360500E+1 -2.2535317E+00 -2.5690709E+00 -2.6786685E-01 -4.0547814E-02
4.642000E+10 8.000E+16 290 1.800E-4 3.505231E+1 1.838850E+1 6.272440E-1 8.363610E+1 3.400255E+1 1.776270E+1 6.249580E-1 8.358870E+1 -3.0872979E+00 -3.5231130E+00 -3.6578458E-01 -5.6706229E-02
6.813000E+10 8.000E+16 290 1.800E-4 3.497394E+1 1.834170E+1 6.270770E-1 8.363210E+1 3.358413E+1 1.751370E+1 6.240330E-1 8.356710E+1 -4.1382939E+00 -4.7277274E+00 -4.8779472E-01 -7.7781806E-02
1.000000E+11 8.000E+16 290 1.800E-4 3.486263E+1 1.827510E+1 6.268400E-1 8.362640E+1 3.307636E+1 1.721170E+1 6.228960E-1 8.353920E+1 -5.4004431E+00 -6.1783554E+00 -6.3317151E-01 -1.0438213E-01
1.468000E+11 8.000E+16 290 1.800E-4 3.470672E+1 1.818200E+1 6.265060E-1 8.361840E+1 3.248630E+1 1.686100E+1 6.215470E-1 8.350440E+1 -6.8349427E+00 -7.8346480E+00 -7.9784795E-01 -1.3651975E-01
2.154000E+11 8.000E+16 290 1.800E-4 3.449253E+1 1.805410E+1 6.260460E-1 8.360730E+1 3.182718E+1 1.646920E+1 6.199870E-1 8.346280E+1 -8.3744460E+00 -9.6234183E+00 -9.7727856E-01 -1.7313102E-01
3.162000E+11 8.000E+16 290 1.800E-4 3.420572E+1 1.788300E+1 6.254260E-1 8.359210E+1 3.111299E+1 1.604430E+1 6.181130E-1 8.342820E+1 -9.9403175E+00 -1.1460145E+01 -1.1831170E+00 -1.9645635E-01
4.642000E+11 8.000E+16 290 1.800E-4 3.383405E+1 1.766150E+1 6.246150E-1 8.357200E+1 3.035344E+1 1.559180E+1 6.160400E-1 8.338360E+1 -1.1466938E+01 -1.3274285E+01 -1.3919551E+00 -2.2594371E-01
6.813000E+11 8.000E+16 290 1.800E-4 3.337106E+1 1.738580E+1 6.235900E-1 8.354600E+1 2.955266E+1 1.511410E+1 6.137580E-1 8.332770E+1 -1.2920664E+01 -1.5030336E+01 -1.6019343E+00 -2.6197771E-01
1.000000E+12 8.000E+16 290 1.800E-4 3.281901E+1 1.705740E+1 6.223440E-1 8.351340E+1 2.871120E+1 1.461170E+1 6.112470E-1 8.325950E+1 -1.4307343E+01 -1.6737957E+01 -1.8154690E+00 -3.0495019E-01
1.468000E+12 8.000E+16 290 1.800E-4 3.218879E+1 1.668260E+1 6.208800E-1 8.347380E+1 2.782894E+1 1.408510E+1 6.083910E-1 8.319190E+1 -1.5666605E+01 -1.8441474E+01 -2.0527917E+00 -3.3885510E-01
2.154000E+12 8.000E+16 290 1.800E-4 3.149567E+1 1.627010E+1 6.191510E-1 8.343400E+1 2.690672E+1 1.353540E+1 6.052270E-1 8.311750E+1 -1.7055033E+01 -2.0204058E+01 -2.3006244E+00 -3.8078624E-01
3.162000E+12 8.000E+16 290 1.800E-4 3.075306E+1 1.582770E+1 6.171610E-1 8.339310E+1 2.594670E+1 1.296470E+1 6.018400E-1 8.302310E+1 -1.8523974E+01 -2.2083041E+01 -2.5456932E+00 -4.4565910E-01
4.642000E+12 8.000E+16 290 1.800E-4 2.996855E+1 1.535960E+1 6.149670E-1 8.334150E+1 2.495222E+1 1.237580E+1 5.980970E-1 8.292600E+1 -2.0103742E+01 -2.4109957E+01 -2.8206127E+00 -5.0104913E-01
6.813000E+12 8.000E+16 290 1.800E-4 2.914427E+1 1.486710E+1 6.125520E-1 8.327790E+1 2.392767E+1 1.177210E+1 5.940490E-1 8.281910E+1 -2.1801538E+01 -2.6290976E+01 -3.1147262E+00 -5.5397849E-01
1.000000E+13 8.000E+16 290 1.800E-4 2.827992E+1 1.435040E+1 6.098850E-1 8.320290E+1 2.287841E+1 1.115760E+1 5.898020E-1 8.268750E+1 -2.3609639E+01 -2.8615473E+01 -3.4050410E+00 -6.2331066E-01
1.468000E+13 8.000E+16 290 1.800E-4 2.737545E+1 1.381020E+1 6.068020E-1 8.313630E+1 2.181067E+1 1.053690E+1 5.851270E-1 8.256460E+1 -2.5514026E+01 -3.1065114E+01 -3.7043240E+00 -6.9242751E-01
