N_Fe N_B T d Jsc_Fe Eta_Fe Voc_Fe FF_Fe Jsc_FeB Eta_FeB Voc_FeB FF_FeB Jsc_e Eta_e Voc_e FF_e
1.200000E+10 1.000E+15 290 2.800E-4 3.765728E+1 1.940980E+1 6.275450E-1 8.213500E+1 3.765467E+1 1.931810E+1 6.252610E-1 8.205090E+1 -6.9314112E-03 -4.7468436E-01 -3.6528746E-01 -1.0249735E-01
1.919000E+10 1.000E+15 290 2.800E-4 3.763949E+1 1.939340E+1 6.275020E-1 8.210980E+1 3.763563E+1 1.925220E+1 6.239310E-1 8.198700E+1 -1.0256239E-02 -7.3342267E-01 -5.7233893E-01 -1.4977984E-01
3.070000E+10 1.000E+15 290 2.800E-4 3.761113E+1 1.936710E+1 6.274330E-1 8.206920E+1 3.760544E+1 1.915440E+1 6.219150E-1 8.190070E+1 -1.5130790E-02 -1.1104498E+00 -8.8725951E-01 -2.0573695E-01
4.909000E+10 1.000E+15 290 2.800E-4 3.756601E+1 1.932510E+1 6.273240E-1 8.200400E+1 3.755782E+1 1.901250E+1 6.189010E-1 8.179340E+1 -2.1806377E-02 -1.6441815E+00 -1.3609608E+00 -2.5747799E-01
7.852000E+10 1.000E+15 290 2.800E-4 3.749446E+1 1.925810E+1 6.271480E-1 8.189860E+1 3.748330E+1 1.881540E+1 6.145760E-1 8.167710E+1 -2.9773259E-02 -2.3528599E+00 -2.0456380E+00 -2.7118984E-01
1.256000E+11 1.000E+15 290 2.800E-4 3.738162E+1 1.915140E+1 6.268660E-1 8.172730E+1 3.736815E+1 1.855450E+1 6.087930E-1 8.156000E+1 -3.6046740E-02 -3.2170094E+00 -2.9686609E+00 -2.0512506E-01
2.009000E+11 1.000E+15 290 2.800E-4 3.720524E+1 1.898180E+1 6.264150E-1 8.144640E+1 3.719353E+1 1.822400E+1 6.015010E-1 8.145920E+1 -3.1483970E-02 -4.1582529E+00 -4.1419715E+00 1.5713388E-02
3.212000E+11 1.000E+15 290 2.800E-4 3.693367E+1 1.871380E+1 6.256930E-1 8.098010E+1 3.693616E+1 1.782330E+1 5.930300E-1 8.136890E+1 6.7413613E-03 -4.9962689E+00 -5.5078158E+00 4.7782384E-01
5.138000E+11 1.000E+15 290 2.800E-4 3.652635E+1 1.829270E+1 6.245310E-1 8.018950E+1 3.657182E+1 1.735660E+1 5.839730E-1 8.126920E+1 1.2433070E-01 -5.3933374E+00 -6.9451841E+00 1.3285476E+00
8.217000E+11 1.000E+15 290 2.800E-4 3.594275E+1 1.764670E+1 6.226570E-1 7.885020E+1 3.608337E+1 1.683240E+1 5.749310E-1 8.113760E+1 3.8970861E-01 -4.8376940E+00 -8.3011701E+00 2.8191615E+00
