N_Fe N_B T d Jsc_Fe Eta_Fe Voc_Fe FF_Fe Jsc_FeB Eta_FeB Voc_FeB FF_FeB Jsc_e Eta_e Voc_e FF_e
1.000000E+10 1.000E+15 290 1.800E-4 3.674712E+1 1.906070E+1 6.270830E-1 8.271630E+1 3.674736E+1 1.901000E+1 6.258520E-1 8.265780E+1 6.5310814E-04 -2.6670174E-01 -1.9669187E-01 -7.0773720E-02
1.468000E+10 1.000E+15 290 1.800E-4 3.674047E+1 1.905380E+1 6.270650E-1 8.270340E+1 3.674097E+1 1.898070E+1 6.252750E-1 8.262080E+1 1.3608786E-03 -3.8512805E-01 -2.8627404E-01 -9.9974825E-02
2.154000E+10 1.000E+15 290 1.800E-4 3.673073E+1 1.904350E+1 6.270390E-1 8.268450E+1 3.673162E+1 1.893900E+1 6.244470E-1 8.256970E+1 2.4229805E-03 -5.5177148E-01 -4.1508727E-01 -1.3903405E-01
3.162000E+10 1.000E+15 290 1.800E-4 3.671644E+1 1.902850E+1 6.270000E-1 8.265660E+1 3.671794E+1 1.888040E+1 6.232680E-1 8.250090E+1 4.0851965E-03 -7.8441135E-01 -5.9877934E-01 -1.8872521E-01
4.642000E+10 1.000E+15 290 1.800E-4 3.669553E+1 1.900650E+1 6.269430E-1 8.261550E+1 3.669797E+1 1.879970E+1 6.216120E-1 8.241200E+1 6.6488691E-03 -1.1000176E+00 -8.5760893E-01 -2.4693006E-01
6.813000E+10 1.000E+15 290 1.800E-4 3.666495E+1 1.897430E+1 6.268600E-1 8.255510E+1 3.666888E+1 1.869110E+1 6.192920E-1 8.230800E+1 1.0717535E-02 -1.5151596E+00 -1.2220407E+00 -3.0021383E-01
1.000000E+11 1.000E+15 290 1.800E-4 3.662032E+1 1.892710E+1 6.267380E-1 8.246600E+1 3.662666E+1 1.854800E+1 6.161020E-1 8.219550E+1 1.7309796E-02 -2.0438861E+00 -1.7263375E+00 -3.2909344E-01
1.468000E+11 1.000E+15 290 1.800E-4 3.655533E+1 1.885790E+1 6.265590E-1 8.233420E+1 3.656571E+1 1.836560E+1 6.119860E-1 8.207110E+1 2.8387251E-02 -2.6805550E+00 -2.3812636E+00 -3.2057570E-01
2.154000E+11 1.000E+15 290 1.800E-4 3.646109E+1 1.875680E+1 6.262950E-1 8.213890E+1 3.647836E+1 1.814070E+1 6.067530E-1 8.196080E+1 4.7343137E-02 -3.3962306E+00 -3.2207505E+00 -2.1729900E-01
3.162000E+11 1.000E+15 290 1.800E-4 3.632522E+1 1.860920E+1 6.259080E-1 8.184830E+1 3.635449E+1 1.787070E+1 6.005320E-1 8.185540E+1 8.0512751E-02 -4.1324626E+00 -4.2255866E+00 8.6738321E-03
