N_Fe N_B T d Jsc_Fe Eta_Fe Voc_Fe FF_Fe Jsc_FeB Eta_FeB Voc_FeB FF_FeB Jsc_e Eta_e Voc_e FF_e
1.000000E+10 1.778E+15 287 3.800E-4 3.816096E+1 2.000650E+1 6.341160E-1 8.267660E+1 3.814818E+1 1.992870E+1 6.318670E-1 8.267600E+1 -3.3500943E-02 -3.9039175E-01 -3.5592933E-01 -7.2572451E-04
1.468000E+10 1.778E+15 287 3.800E-4 3.813717E+1 1.998520E+1 6.340710E-1 8.264630E+1 3.811927E+1 1.987500E+1 6.308410E-1 8.264990E+1 -4.6957877E-02 -5.5446541E-01 -5.1201491E-01 4.3557221E-03
2.154000E+10 1.778E+15 287 3.800E-4 3.810243E+1 1.995410E+1 6.340040E-1 8.260160E+1 3.807742E+1 1.980010E+1 6.293870E-1 8.261940E+1 -6.5681971E-02 -7.7777385E-01 -7.3357092E-01 2.1544577E-02
3.162000E+10 1.778E+15 287 3.800E-4 3.805183E+1 1.990860E+1 6.339050E-1 8.253560E+1 3.801721E+1 1.969680E+1 6.273720E-1 8.258300E+1 -9.1064021E-02 -1.0753016E+00 -1.0413280E+00 5.7396801E-02
4.642000E+10 1.778E+15 287 3.800E-4 3.797841E+1 1.984210E+1 6.337600E-1 8.243790E+1 3.793134E+1 1.955800E+1 6.247140E-1 8.253640E+1 -1.2409264E-01 -1.4526025E+00 -1.4480226E+00 1.1934128E-01
6.813000E+10 1.778E+15 287 3.800E-4 3.787247E+1 1.974540E+1 6.335470E-1 8.229290E+1 3.781041E+1 1.937650E+1 6.213220E-1 8.247990E+1 -1.6413469E-01 -1.9038526E+00 -1.9675788E+00 2.2672190E-01
1.000000E+11 1.778E+15 287 3.800E-4 3.772089E+1 1.960500E+1 6.332340E-1 8.207690E+1 3.764306E+1 1.914670E+1 6.170940E-1 8.242500E+1 -2.0675790E-01 -2.3936240E+00 -2.6154848E+00 4.2232332E-01
1.468000E+11 1.778E+15 287 3.800E-4 3.750680E+1 1.940260E+1 6.327710E-1 8.175310E+1 3.741686E+1 1.886470E+1 6.121760E-1 8.235810E+1 -2.4037292E-01 -2.8513573E+00 -3.3642286E+00 7.3459684E-01
2.154000E+11 1.778E+15 287 3.800E-4 3.721039E+1 1.911520E+1 6.320860E-1 8.127130E+1 3.712044E+1 1.853110E+1 6.066880E-1 8.228550E+1 -2.4231933E-01 -3.1519985E+00 -4.1863363E+00 1.2325379E+00
3.162000E+11 1.778E+15 287 3.800E-4 3.681243E+1 1.871640E+1 6.310690E-1 8.056600E+1 3.674675E+1 1.815010E+1 6.009380E-1 8.219240E+1 -1.7873690E-01 -3.1200930E+00 -5.0139948E+00 1.9787718E+00
