N_Fe N_B T d Jsc_Fe Eta_Fe Voc_Fe FF_Fe Jsc_FeB Eta_FeB Voc_FeB FF_FeB Jsc_e Eta_e Voc_e FF_e
1.300000E+10 4.500E+15 293 2.000E-4 2.895930E-1 2.900050E+1 4.973220E-1 8.054560E+1 2.896122E-1 2.900670E+1 4.972820E-1 8.056380E+1 6.6295550E-03 2.1374372E-02 -8.0437257E-03 2.2590791E-02
1.693000E+10 4.500E+15 293 2.000E-4 2.891775E-1 2.892840E+1 4.968980E-1 8.052930E+1 2.892115E-1 2.893730E+1 4.968500E-1 8.055220E+1 1.1756102E-02 3.0756152E-02 -9.6608634E-03 2.8428770E-02
2.206000E+10 4.500E+15 293 2.000E-4 2.886396E-1 2.883580E+1 4.963590E-1 8.050850E+1 2.886928E-1 2.884810E+1 4.963030E-1 8.053710E+1 1.8427893E-02 4.2637123E-02 -1.1283430E-02 3.5511584E-02
2.874000E+10 4.500E+15 293 2.000E-4 2.879448E-1 2.871740E+1 4.956750E-1 8.048210E+1 2.880226E-1 2.873400E+1 4.956120E-1 8.051730E+1 2.7011769E-02 5.7771281E-02 -1.2711557E-02 4.3717313E-02
3.743000E+10 4.500E+15 293 2.000E-4 2.870493E-1 2.856660E+1 4.948160E-1 8.044880E+1 2.871589E-1 2.858880E+1 4.947480E-1 8.049150E+1 3.8167022E-02 7.7652787E-02 -1.3744371E-02 5.3049080E-02
4.876000E+10 4.500E+15 293 2.000E-4 2.858991E-1 2.837580E+1 4.937440E-1 8.040720E+1 2.860493E-1 2.840490E+1 4.936770E-1 8.045810E+1 5.2508431E-02 1.0244711E-01 -1.3571627E-02 6.3262742E-02
6.352000E+10 4.500E+15 293 2.000E-4 2.844274E-1 2.813620E+1 4.924220E-1 8.035590E+1 2.846294E-1 2.817370E+1 4.923650E-1 8.041520E+1 7.0969478E-02 1.3310286E-01 -1.1576777E-02 7.3742278E-02
8.274000E+10 4.500E+15 293 2.000E-4 2.825541E-1 2.783780E+1 4.908090E-1 8.029380E+1 2.828218E-1 2.788570E+1 4.907770E-1 8.036100E+1 9.4653241E-02 1.7177263E-01 -6.5202730E-03 8.3622653E-02
1.078000E+11 4.500E+15 293 2.000E-4 2.801854E-1 2.747000E+1 4.888020E-1 8.023080E+1 2.805355E-1 2.753030E+1 4.888080E-1 8.030550E+1 1.2479704E-01 2.1903139E-01 1.2274758E-03 9.3019781E-02
1.404000E+11 4.500E+15 293 2.000E-4 2.772145E-1 2.702190E+1 4.864010E-1 8.016160E+1 2.776671E-1 2.709680E+1 4.864650E-1 8.024230E+1 1.6300095E-01 2.7641640E-01 1.3156137E-02 1.0057040E-01
1.829000E+11 4.500E+15 293 2.000E-4 2.735264E-1 2.648310E+1 4.836540E-1 8.007490E+1 2.741047E-1 2.657520E+1 4.838010E-1 8.015940E+1 2.1097778E-01 3.4656371E-01 3.0384394E-02 1.0541496E-01
