N_Fe N_B T d Jsc_Fe Eta_Fe Voc_Fe FF_Fe Jsc_FeB Eta_FeB Voc_FeB FF_FeB Jsc_e Eta_e Voc_e FF_e
1.000000E+10 1.360E+15 290 3.800E-4 2.999145E-1 3.039270E+1 5.037170E-1 8.047220E+1 3.009384E-1 3.065250E+1 5.038150E-1 8.086820E+1 3.4023574E-01 8.4756545E-01 1.9451584E-02 4.8968569E-01
1.468000E+10 1.360E+15 290 3.800E-4 2.988666E-1 3.013060E+1 5.021860E-1 8.030200E+1 3.003540E-1 3.049360E+1 5.024500E-1 8.082450E+1 4.9521565E-01 1.1904137E+00 5.2542542E-02 6.4646240E-01
2.154000E+10 1.360E+15 290 3.800E-4 2.973653E-1 2.977510E+1 4.999960E-1 8.010460E+1 2.995082E-1 3.027260E+1 5.005990E-1 8.076280E+1 7.1547290E-01 1.6434003E+00 1.2045569E-01 8.1497917E-01
3.162000E+10 1.360E+15 290 3.800E-4 2.952371E-1 2.930370E+1 4.967960E-1 7.991600E+1 2.982916E-1 2.997080E+1 4.980390E-1 8.069650E+1 1.0239980E+00 2.2258331E+00 2.4957885E-01 9.6720428E-01
4.642000E+10 1.360E+15 290 3.800E-4 2.922654E-1 2.869600E+1 4.925460E-1 7.973660E+1 2.965575E-1 2.956780E+1 4.947710E-1 8.060590E+1 1.4473079E+00 2.9484777E+00 4.4970299E-01 1.0784570E+00
6.813000E+10 1.360E+15 290 3.800E-4 2.882002E-1 2.793620E+1 4.870670E-1 7.960580E+1 2.941168E-1 2.904310E+1 4.908080E-1 8.047730E+1 2.0116498E+00 3.8112323E+00 7.6221251E-01 1.0829141E+00
1.000000E+11 1.360E+15 290 3.800E-4 2.827907E-1 2.701470E+1 4.805970E-1 7.950870E+1 2.907416E-1 2.837880E+1 4.859460E-1 8.034510E+1 2.7346964E+00 4.8067572E+00 1.1007396E+00 1.0410093E+00
1.468000E+11 1.360E+15 290 3.800E-4 2.758420E-1 2.593440E+1 4.734340E-1 7.943610E+1 2.861838E-1 2.756170E+1 4.805340E-1 8.016740E+1 3.6136916E+00 5.9042077E+00 1.4775229E+00 9.1221619E-01
2.154000E+11 1.360E+15 290 3.800E-4 2.672897E-1 2.471170E+1 4.660880E-1 7.934390E+1 2.802164E-1 2.658750E+1 4.744570E-1 7.999230E+1 4.6131133E+00 7.0551951E+00 1.7639112E+00 8.1057802E-01
3.162000E+11 1.360E+15 290 3.800E-4 2.572542E-1 2.337800E+1 4.589060E-1 7.921050E+1 2.726982E-1 2.546340E+1 4.681400E-1 7.978470E+1 5.6634037E+00 8.1897940E+00 1.9724869E+00 7.1968686E-01
4.642000E+11 1.360E+15 290 3.800E-4 2.460248E-1 2.197450E+1 4.519630E-1 7.904920E+1 2.636398E-1 2.421120E+1 4.616750E-1 7.956650E+1 6.6814646E+00 9.2382864E+00 2.1036443E+00 6.5014799E-01
6.813000E+11 1.360E+15 290 3.800E-4 2.339566E-1 2.053950E+1 4.452760E-1 7.886540E+1 2.532293E-1 2.286500E+1 4.551660E-1 7.935040E+1 7.6107702E+00 1.0170566E+01 2.1728336E+00 6.1121305E-01
1.000000E+12 1.360E+15 290 3.800E-4 2.213320E-1 1.909820E+1 4.388640E-1 7.864640E+1 2.417816E-1 2.146410E+1 4.488550E-1 7.911230E+1 8.4578810E+00 1.1022591E+01 2.2258859E+00 5.8890969E-01
1.468000E+12 1.360E+15 290 3.800E-4 2.082832E-1 1.765850E+1 4.324620E-1 7.841770E+1 2.296182E-1 2.004060E+1 4.425900E-1 7.887930E+1 9.2915109E+00 1.1886371E+01 2.2883481E+00 5.8519789E-01
2.154000E+12 1.360E+15 290 3.800E-4 1.948255E-1 1.621850E+1 4.259790E-1 7.816980E+1 2.169531E-1 1.861190E+1 4.363740E-1 7.863710E+1 1.0199255E+01 1.2859515E+01 2.3821309E+00 5.9424877E-01
3.162000E+12 1.360E+15 290 3.800E-4 1.809579E-1 1.477690E+1 4.194120E-1 7.788030E+1 2.038596E-1 1.718110E+1 4.302100E-1 7.836110E+1 1.1234055E+01 1.3993283E+01 2.5099370E+00 6.1356974E-01
4.642000E+12 1.360E+15 290 3.800E-4 1.667510E-1 1.334090E+1 4.125160E-1 7.757770E+1 1.903348E-1 1.574580E+1 4.237510E-1 7.809010E+1 1.2390693E+01 1.5273279E+01 2.6513212E+00 6.5616512E-01
6.813000E+12 1.360E+15 290 3.800E-4 1.523703E-1 1.192650E+1 4.053590E-1 7.723860E+1 1.763993E-1 1.430770E+1 4.171410E-1 7.777680E+1 1.3621936E+01 1.6642787E+01 2.8244646E+00 6.9198013E-01
1.000000E+13 1.360E+15 290 3.800E-4 1.380461E-1 1.055450E+1 3.979680E-1 7.684680E+1 1.621596E-1 1.287760E+1 4.103270E-1 7.741500E+1 1.4870227E+01 1.8039852E+01 3.0119880E+00 7.3396629E-01
1.468000E+13 1.360E+15 290 3.800E-4 1.240292E-1 9.245900E+0 3.903010E-1 7.639880E+1 1.478084E-1 1.147420E+1 4.030960E-1 7.703260E+1 1.6087854E+01 1.9420090E+01 3.1741818E+00 8.2276854E-01
2.154000E+13 1.360E+15 290 3.800E-4 1.105565E-1 8.019200E+0 3.822180E-1 7.590910E+1 1.335868E-1 1.011850E+1 3.955980E-1 7.658750E+1 1.7239952E+01 2.0747146E+01 3.3822213E+00 8.8578423E-01
3.162000E+13 1.360E+15 290 3.800E-4 9.782931E-2 6.887700E+0 3.738020E-1 7.534030E+1 1.197429E-1 8.831000E+0 3.878160E-1 7.606700E+1 1.8300534E+01 2.2005435E+01 3.6135693E+00 9.5534200E-01
4.642000E+13 1.360E+15 290 3.800E-4 8.600244E-2 5.860400E+0 3.650040E-1 7.467600E+1 1.065029E-1 7.628900E+0 3.797190E-1 7.545650E+1 1.9248734E+01 2.3181586E+01 3.8752341E+00 1.0343708E+00
6.813000E+13 1.360E+15 290 3.800E-4 7.518019E-2 4.940800E+0 3.557460E-1 7.389560E+1 9.405347E-2 6.524400E+0 3.711760E-1 7.475600E+1 2.0066543E+01 2.4271964E+01 4.1570576E+00 1.1509444E+00
1.000000E+14 1.360E+15 290 3.800E-4 6.541811E-2 4.128300E+0 3.459080E-1 7.297410E+1 8.253312E-2 5.525100E+0 3.622070E-1 7.392940E+1 2.0737142E+01 2.5280990E+01 4.4999130E+00 1.2921788E+00
1.000000E+10 1.360E+15 295 3.800E-4 3.001220E-1 2.942780E+1 4.911190E-1 7.986080E+1 3.011701E-1 2.969860E+1 4.913570E-1 8.027640E+1 3.4800931E-01 9.1182749E-01 4.8437287E-02 5.1771131E-01
1.468000E+10 1.360E+15 295 3.800E-4 2.990982E-1 2.916630E+1 4.894940E-1 7.968590E+1 3.006171E-1 2.954340E+1 4.899860E-1 8.022780E+1 5.0526068E-01 1.2764272E+00 1.0041103E-01 6.7545165E-01
2.154000E+10 1.360E+15 295 3.800E-4 2.976314E-1 2.881230E+1 4.871120E-1 7.949340E+1 2.998162E-1 2.932780E+1 4.880110E-1 8.017810E+1 7.2871312E-01 1.7577179E+00 1.8421716E-01 8.5397384E-01
3.162000E+10 1.360E+15 295 3.800E-4 2.955523E-1 2.834490E+1 4.838340E-1 7.928760E+1 2.986636E-1 2.903370E+1 4.854330E-1 8.010370E+1 1.0417406E+00 2.3724155E+00 3.2939664E-01 1.0188044E+00
4.642000E+10 1.360E+15 295 3.800E-4 2.926493E-1 2.774560E+1 4.794380E-1 7.910000E+1 2.970192E-1 2.864180E+1 4.821740E-1 7.999690E+1 1.4712517E+00 3.1289933E+00 5.6743001E-01 1.1211684E+00
6.813000E+10 1.360E+15 295 3.800E-4 2.886785E-1 2.699940E+1 4.737700E-1 7.896460E+1 2.947017E-1 2.813270E+1 4.780750E-1 7.987180E+1 2.0438294E+00 4.0284082E+00 9.0048633E-01 1.1358202E+00
1.000000E+11 1.360E+15 295 3.800E-4 2.833947E-1 2.609970E+1 4.671140E-1 7.886470E+1 2.914912E-1 2.748960E+1 4.731840E-1 7.972140E+1 2.7776139E+00 5.0560939E+00 1.2827991E+00 1.0746174E+00
1.468000E+11 1.360E+15 295 3.800E-4 2.766073E-1 2.504990E+1 4.598880E-1 7.876820E+1 2.871453E-1 2.670110E+1 4.676030E-1 7.954450E+1 3.6699190E+00 6.1840149E+00 1.6499039E+00 9.7593171E-01
2.154000E+11 1.360E+15 295 3.800E-4 2.682514E-1 2.386710E+1 4.524220E-1 7.866400E+1 2.814377E-1 2.576320E+1 4.615100E-1 7.934090E+1 4.6853353E+00 7.3597224E+00 1.9691881E+00 8.5315392E-01
