N_Fe N_B T d Jsc_Fe Eta_Fe Voc_Fe FF_Fe Jsc_FeB Eta_FeB Voc_FeB FF_FeB Jsc_e Eta_e Voc_e FF_e
1.200000E+10 1.000E+15 290 2.800E-4 2.984057E-1 3.017600E+1 5.039610E-1 8.026360E+1 2.993476E-1 3.046510E+1 5.034910E-1 8.085320E+1 3.1465093E-01 9.4895471E-01 -9.3348243E-02 7.2922284E-01
1.919000E+10 1.000E+15 290 2.800E-4 2.973138E-1 2.984470E+1 5.022040E-1 7.995250E+1 2.988086E-1 3.027860E+1 5.016890E-1 8.079210E+1 5.0025334E-01 1.4330253E+00 -1.0265324E-01 1.0392105E+00
3.070000E+10 1.000E+15 290 2.800E-4 2.956043E-1 2.936950E+1 4.993650E-1 7.958470E+1 2.979560E-1 3.000130E+1 4.990250E-1 8.071000E+1 7.8927761E-01 2.1059087E+00 -6.8132859E-02 1.3942510E+00
4.909000E+10 1.000E+15 290 2.800E-4 2.929609E-1 2.871230E+1 4.947910E-1 7.923140E+1 2.966161E-1 2.960150E+1 4.952360E-1 8.060610E+1 1.2322999E+00 3.0039018E+00 8.9856149E-02 1.7054541E+00
7.852000E+10 1.000E+15 290 2.800E-4 2.889497E-1 2.784120E+1 4.880010E-1 7.897790E+1 2.945316E-1 2.904470E+1 4.903390E-1 8.044500E+1 1.8951786E+00 4.1436131E+00 4.7681298E-01 1.8237305E+00
1.256000E+11 1.000E+15 290 2.800E-4 2.830327E-1 2.672960E+1 4.788460E-1 7.889000E+1 2.913389E-1 2.829770E+1 4.840240E-1 8.026890E+1 2.8510439E+00 5.5414398E+00 1.0697817E+00 1.7178509E+00
2.009000E+11 1.000E+15 290 2.800E-4 2.746542E-1 2.536410E+1 4.682460E-1 7.888960E+1 2.865626E-1 2.733160E+1 4.766280E-1 8.004370E+1 4.1556016E+00 7.1986272E+00 1.7586042E+00 1.4418374E+00
3.212000E+11 1.000E+15 290 2.800E-4 2.634342E-1 2.375370E+1 4.574220E-1 7.885020E+1 2.796589E-1 2.612510E+1 4.683860E-1 7.977860E+1 5.8016033E+00 9.0770944E+00 2.3408044E+00 1.1637206E+00
5.138000E+11 1.000E+15 290 2.800E-4 2.494240E-1 2.194490E+1 4.470870E-1 7.871620E+1 2.701469E-1 2.467260E+1 4.596240E-1 7.948290E+1 7.6709746E+00 1.1055584E+01 2.7276644E+00 9.6461000E-01
8.217000E+11 1.000E+15 290 2.800E-4 2.332328E-1 2.002200E+1 4.374570E-1 7.849520E+1 2.578313E-1 2.299740E+1 4.506460E-1 7.917140E+1 9.5405407E+00 1.2937984E+01 2.9266875E+00 8.5409630E-01
1.314000E+12 1.000E+15 290 2.800E-4 2.158079E-1 1.807970E+1 4.284660E-1 7.821130E+1 2.430073E-1 2.116020E+1 4.417460E-1 7.884780E+1 1.1192832E+01 1.4557991E+01 3.0062525E+00 8.0725144E-01
2.102000E+12 1.000E+15 290 2.800E-4 1.979647E-1 1.618430E+1 4.198900E-1 7.788080E+1 2.264375E-1 1.924900E+1 4.331000E-1 7.851150E+1 1.2574242E+01 1.5921347E+01 3.0501039E+00 8.0332181E-01
3.362000E+12 1.000E+15 290 2.800E-4 1.800917E-1 1.435740E+1 4.113440E-1 7.752430E+1 2.090107E-1 1.734510E+1 4.247080E-1 7.815880E+1 1.3836134E+01 1.7225038E+01 3.1466325E+00 8.1180878E-01
5.377000E+12 1.000E+15 290 2.800E-4 1.622717E-1 1.259730E+1 4.026410E-1 7.712220E+1 1.913327E-1 1.549280E+1 4.164340E-1 7.777770E+1 1.5188726E+01 1.8689327E+01 3.3121695E+00 8.4278656E-01
8.600000E+12 1.000E+15 290 2.800E-4 1.445933E-1 1.090770E+1 3.936240E-1 7.665950E+1 1.736202E-1 1.370100E+1 4.080730E-1 7.735250E+1 1.6718619E+01 2.0387563E+01 3.5407880E+00 8.9589865E-01
1.375000E+13 1.000E+15 290 2.800E-4 1.273123E-1 9.308400E+0 3.841990E-1 7.612180E+1 1.559304E-1 1.196880E+1 3.994360E-1 7.686620E+1 1.8353124E+01 2.2227792E+01 3.8146286E+00 9.6843606E-01
2.200000E+13 1.000E+15 290 2.800E-4 1.107949E-1 7.826500E+0 3.742990E-1 7.549050E+1 1.384221E-1 1.030800E+1 3.903660E-1 7.630580E+1 1.9958663E+01 2.4073535E+01 4.1158810E+00 1.0684640E+00
3.518000E+13 1.000E+15 290 2.800E-4 9.539674E-2 6.485600E+0 3.638510E-1 7.474000E+1 1.214131E-1 8.743500E+0 3.807990E-1 7.564590E+1 2.1427968E+01 2.5823755E+01 4.4506419E+00 1.1975533E+00
5.627000E+13 1.000E+15 290 2.800E-4 8.138783E-2 5.299200E+0 3.527410E-1 7.383330E+1 1.052817E-1 7.303200E+0 3.707140E-1 7.484840E+1 2.2695179E+01 2.7440026E+01 4.8482118E+00 1.3562080E+00
9.000000E+13 1.000E+15 290 2.800E-4 6.893010E-2 4.270800E+0 3.407850E-1 7.272520E+1 9.035745E-2 6.008000E+0 3.600350E-1 7.387270E+1 2.3713983E+01 2.8914780E+01 5.3467024E+00 1.5533479E+00
1.200000E+10 1.000E+15 295 2.800E-4 2.988329E-1 2.923660E+1 4.913870E-1 7.964100E+1 2.997872E-1 2.953650E+1 4.910390E-1 8.025850E+1 3.1832580E-01 1.0153539E+00 -7.0870135E-02 7.6938891E-01
1.919000E+10 1.000E+15 295 2.800E-4 2.977608E-1 2.890350E+1 4.895170E-1 7.931880E+1 2.992718E-1 2.935150E+1 4.891730E-1 8.019800E+1 5.0489221E-01 1.5263274E+00 -7.0322769E-02 1.0962867E+00
3.070000E+10 1.000E+15 295 2.800E-4 2.960825E-1 2.842670E+1 4.864460E-1 7.894780E+1 2.984562E-1 2.907710E+1 4.864060E-1 8.011860E+1 7.9532608E-01 2.2368118E+00 -8.2235828E-03 1.4613336E+00
4.909000E+10 1.000E+15 295 2.800E-4 2.934876E-1 2.777220E+1 4.817180E-1 7.857560E+1 2.971741E-1 2.868230E+1 4.826250E-1 7.999350E+1 1.2405186E+00 3.1730370E+00 1.8793059E-01 1.7725190E+00
7.852000E+10 1.000E+15 295 2.800E-4 2.895505E-1 2.690880E+1 4.746140E-1 7.832320E+1 2.951779E-1 2.813430E+1 4.775530E-1 7.983490E+1 1.9064435E+00 4.3558930E+00 6.1542907E-01 1.8935328E+00
1.256000E+11 1.000E+15 295 2.800E-4 2.837440E-1 2.581590E+1 4.652050E-1 7.823070E+1 2.921172E-1 2.740240E+1 4.712230E-1 7.962800E+1 2.8663838E+00 5.7896389E+00 1.2771023E+00 1.7547847E+00
2.009000E+11 1.000E+15 295 2.800E-4 2.755236E-1 2.448270E+1 4.544380E-1 7.821450E+1 2.875310E-1 2.646040E+1 4.636420E-1 7.939460E+1 4.1760367E+00 7.4741878E+00 1.9851523E+00 1.4863731E+00
3.212000E+11 1.000E+15 295 2.800E-4 2.645160E-1 2.292070E+1 4.435030E-1 7.815210E+1 2.808863E-1 2.529020E+1 4.551960E-1 7.911980E+1 5.8280877E+00 9.3692418E+00 2.5687836E+00 1.2230820E+00
5.138000E+11 1.000E+15 295 2.800E-4 2.507676E-1 2.117550E+1 4.330730E-1 7.799410E+1 2.717016E-1 2.388800E+1 4.462260E-1 7.881240E+1 7.7047761E+00 1.1355074E+01 2.9476095E+00 1.0382884E+00
8.217000E+11 1.000E+15 295 2.800E-4 2.348647E-1 1.932670E+1 4.233410E-1 7.775180E+1 2.597601E-1 2.227600E+1 4.370840E-1 7.848020E+1 9.5839969E+00 1.3239810E+01 3.1442469E+00 9.2813219E-01
1.314000E+12 1.000E+15 295 2.800E-4 2.177181E-1 1.746250E+1 4.142320E-1 7.745130E+1 2.453157E-1 2.051100E+1 4.280640E-1 7.812930E+1 1.1249830E+01 1.4862757E+01 3.2312925E+00 8.6779224E-01
2.102000E+12 1.000E+15 295 2.800E-4 2.001080E-1 1.564290E+1 4.055180E-1 7.710860E+1 2.290864E-1 1.867500E+1 4.193310E-1 7.776180E+1 1.2649551E+01 1.6236145E+01 3.2940565E+00 8.4000113E-01
3.362000E+12 1.000E+15 295 2.800E-4 1.824003E-1 1.388640E+1 3.969110E-1 7.672420E+1 2.119337E-1 1.684450E+1 4.108330E-1 7.738440E+1 1.3935207E+01 1.7561222E+01 3.3887249E+00 8.5314353E-01
5.377000E+12 1.000E+15 295 2.800E-4 1.646701E-1 1.219060E+1 3.881530E-1 7.629000E+1 1.944575E-1 1.506130E+1 4.024140E-1 7.698870E+1 1.5318206E+01 1.9060108E+01 3.5438628E+00 9.0753578E-01
8.600000E+12 1.000E+15 295 2.800E-4 1.470075E-1 1.055920E+1 3.790660E-1 7.579450E+1 1.768758E-1 1.333370E+1 3.939090E-1 7.655050E+1 1.6886595E+01 2.0808178E+01 3.7681292E+00 9.8758336E-01
1.375000E+13 1.000E+15 295 2.800E-4 1.296742E-1 9.012000E+0 3.695450E-1 7.522450E+1 1.592417E-1 1.166000E+1 3.851290E-1 7.604940E+1 1.8567687E+01 2.2710120E+01 4.0464364E+00 1.0846897E+00
2.200000E+13 1.000E+15 295 2.800E-4 1.130458E-1 7.575900E+0 3.595170E-1 7.456230E+1 1.417073E-1 1.005090E+1 3.759460E-1 7.546550E+1 2.0225846E+01 2.4624660E+01 4.3700425E+00 1.1968383E+00
3.518000E+13 1.000E+15 295 2.800E-4 9.749100E-2 6.274300E+0 3.489030E-1 7.378300E+1 1.245903E-1 8.530800E+0 3.662780E-1 7.477500E+1 2.1750730E+01 2.6451212E+01 4.7436646E+00 1.3266466E+00
5.627000E+13 1.000E+15 295 2.800E-4 8.329482E-2 5.121400E+0 3.375930E-1 7.285100E+1 1.082787E-1 7.127400E+0 3.560620E-1 7.394710E+1 2.3073679E+01 2.8144906E+01 5.1870180E+00 1.4822758E+00
9.000000E+13 1.000E+15 295 2.800E-4 7.063446E-2 4.121100E+0 3.254060E-1 7.171850E+1 9.312039E-2 5.862200E+0 3.452220E-1 7.294210E+1 2.4147160E+01 2.9700454E+01 5.7400745E+00 1.6774949E+00
1.200000E+10 1.000E+15 300 2.800E-4 2.992136E-1 2.829220E+1 4.787270E-1 7.900580E+1 3.001744E-1 2.860110E+1 4.784860E-1 7.965270E+1 3.2008059E-01 1.0800284E+00 -5.0367200E-02 8.1215075E-01
1.919000E+10 1.000E+15 300 2.800E-4 2.981613E-1 2.795650E+1 4.767100E-1 7.867520E+1 2.996796E-1 2.841700E+1 4.765620E-1 7.959080E+1 5.0664109E-01 1.6205089E+00 -3.1055770E-02 1.1503842E+00
3.070000E+10 1.000E+15 300 2.800E-4 2.965143E-1 2.747840E+1 4.735370E-1 7.828040E+1 2.988966E-1 2.814440E+1 4.738030E-1 7.949380E+1 7.9703148E-01 2.3663677E+00 5.6141477E-02 1.5264083E+00
4.909000E+10 1.000E+15 300 2.800E-4 2.939679E-1 2.682580E+1 4.685720E-1 7.790010E+1 2.976649E-1 2.775300E+1 4.700010E-1 7.934970E+1 1.2420007E+00 3.3409001E+00 3.0404191E-01 1.8268500E+00
7.852000E+10 1.000E+15 300 2.800E-4 2.901050E-1 2.597120E+1 4.612190E-1 7.764110E+1 2.957464E-1 2.721190E+1 4.647630E-1 7.918970E+1 1.9075127E+00 4.5594023E+00 7.6253919E-01 1.9555574E+00
1.256000E+11 1.000E+15 300 2.800E-4 2.844089E-1 2.489630E+1 4.515600E-1 7.754200E+1 2.928019E-1 2.649220E+1 4.582970E-1 7.896910E+1 2.8664431E+00 6.0240373E+00 1.4700074E+00 1.8071625E+00
2.009000E+11 1.000E+15 300 2.800E-4 2.763460E-1 2.359420E+1 4.406330E-1 7.750610E+1 2.883838E-1 2.557090E+1 4.506360E-1 7.870640E+1 4.1742289E+00 7.7302715E+00 2.2197516E+00 1.5250348E+00
3.212000E+11 1.000E+15 300 2.800E-4 2.655495E-1 2.207910E+1 4.295840E-1 7.741930E+1 2.819701E-1 2.443280E+1 4.419970E-1 7.841720E+1 5.8235253E+00 9.6333617E+00 2.8083901E+00 1.2725525E+00
5.138000E+11 1.000E+15 300 2.800E-4 2.520608E-1 2.039550E+1 4.190460E-1 7.723750E+1 2.730803E-1 2.307610E+1 4.328290E-1 7.809370E+1 7.6971865E+00 1.1616348E+01 3.1843985E+00 1.0963753E+00
8.217000E+11 1.000E+15 300 2.800E-4 2.364435E-1 1.861870E+1 4.092320E-1 7.696870E+1 2.614811E-1 2.152250E+1 4.234920E-1 7.774420E+1 9.5753001E+00 1.3491927E+01 3.3672419E+00 9.9750206E-01
1.314000E+12 1.000E+15 300 2.800E-4 2.195735E-1 1.683050E+1 4.000650E-1 7.663850E+1 2.473914E-1 1.982560E+1 4.142820E-1 7.737620E+1 1.1244490E+01 1.5107235E+01 3.4317204E+00 9.5339394E-01
2.102000E+12 1.000E+15 300 2.800E-4 2.021968E-1 1.508500E+1 3.912430E-1 7.627560E+1 2.314888E-1 1.806220E+1 4.053640E-1 7.699390E+1 1.2653744E+01 1.6483042E+01 3.4835358E+00 9.3293105E-01
3.362000E+12 1.000E+15 300 2.800E-4 1.846575E-1 1.339800E+1 3.825140E-1 7.587320E+1 2.146069E-1 1.630360E+1 3.967410E-1 7.659360E+1 1.3955469E+01 1.7821831E+01 3.5859667E+00 9.4054856E-01
5.377000E+12 1.000E+15 300 2.800E-4 1.670229E-1 1.176620E+1 3.736230E-1 7.542040E+1 1.973366E-1 1.458920E+1 3.882690E-1 7.616430E+1 1.5361418E+01 1.9349930E+01 3.7721271E+00 9.7670431E-01
8.600000E+12 1.000E+15 300 2.800E-4 1.493838E-1 1.019350E+1 3.644010E-1 7.490360E+1 1.798943E-1 1.292590E+1 3.797240E-1 7.568950E+1 1.6960237E+01 2.1138954E+01 4.0352993E+00 1.0383210E+00
1.375000E+13 1.000E+15 300 2.800E-4 1.320066E-1 8.699300E+0 3.547470E-1 7.430740E+1 1.623285E-1 1.131170E+1 3.708420E-1 7.516320E+1 1.8679345E+01 2.3094672E+01 4.3401233E+00 1.1385891E+00
2.200000E+13 1.000E+15 300 2.800E-4 1.152756E-1 7.310300E+0 3.445930E-1 7.361260E+1 1.447851E-1 9.756500E+0 3.615380E-1 7.455530E+1 2.0381586E+01 2.5072516E+01 4.6869209E+00 1.2644306E+00
3.518000E+13 1.000E+15 300 2.800E-4 9.957164E-2 6.049700E+0 3.338630E-1 7.279320E+1 1.275812E-1 8.283700E+0 3.517490E-1 7.383600E+1 2.1954300E+01 2.6968625E+01 5.0848759E+00 1.4123192E+00
5.627000E+13 1.000E+15 300 2.800E-4 8.519421E-2 4.931900E+0 3.224450E-1 7.181350E+1 1.111132E-1 6.920800E+0 3.414120E-1 7.297430E+1 2.3326652E+01 2.8738007E+01 5.5554579E+00 1.5906970E+00
9.000000E+13 1.000E+15 300 2.800E-4 7.233574E-2 3.961300E+0 3.101500E-1 7.062820E+1 9.574526E-2 5.689400E+0 3.304440E-1 7.193040E+1 2.4449795E+01 3.0374029E+01 6.1414339E+00 1.8103611E+00
1.200000E+10 1.000E+15 305 2.800E-4 2.995551E-1 2.734360E+1 4.660040E-1 7.835200E+1 3.005097E-1 2.765740E+1 4.658600E-1 7.902400E+1 3.1766030E-01 1.1345969E+00 -3.0910574E-02 8.5037457E-01
1.919000E+10 1.000E+15 305 2.800E-4 2.985232E-1 2.700560E+1 4.639200E-1 7.800000E+1 3.000286E-1 2.747210E+1 4.639270E-1 7.894800E+1 5.0175217E-01 1.6980864E+00 1.5088581E-03 1.2007904E+00
3.070000E+10 1.000E+15 305 2.800E-4 2.969081E-1 2.652710E+1 4.606240E-1 7.758580E+1 2.992671E-1 2.719830E+1 4.611390E-1 7.883360E+1 7.8825905E-01 2.4678013E+00 1.1167999E-01 1.5828276E+00
4.909000E+10 1.000E+15 305 2.800E-4 2.944112E-1 2.587590E+1 4.553690E-1 7.720390E+1 2.980694E-1 2.680660E+1 4.571280E-1 7.869510E+1 1.2272981E+00 3.4719062E+00 3.8479376E-01 1.8949083E+00
7.852000E+10 1.000E+15 305 2.800E-4 2.906238E-1 2.502950E+1 4.477580E-1 7.693770E+1 2.962030E-1 2.626720E+1 4.518650E-1 7.850130E+1 1.8835731E+00 4.7119602E+00 9.0889978E-01 1.9918141E+00
1.256000E+11 1.000E+15 305 2.800E-4 2.850396E-1 2.397240E+1 4.378720E-1 7.682810E+1 2.933376E-1 2.555380E+1 4.451730E-1 7.827460E+1 2.8288225E+00 6.1885121E+00 1.6400366E+00 1.8479813E+00
2.009000E+11 1.000E+15 305 2.800E-4 2.771357E-1 2.270130E+1 4.267720E-1 7.677570E+1 2.890356E-1 2.464630E+1 4.373010E-1 7.799750E+1 4.1171053E+00 7.8916511E+00 2.4077237E+00 1.5664605E+00
3.212000E+11 1.000E+15 305 2.800E-4 2.665516E-1 2.123180E+1 4.155930E-1 7.666510E+1 2.827850E-1 2.353260E+1 4.285120E-1 7.768030E+1 5.7405449E+00 9.7770752E+00 3.0148514E+00 1.3068951E+00
5.138000E+11 1.000E+15 305 2.800E-4 2.533229E-1 1.960790E+1 4.049540E-1 7.645620E+1 2.741106E-1 2.221330E+1 4.191760E-1 7.733070E+1 7.5836907E+00 1.1729009E+01 3.3928469E+00 1.1308575E+00
8.217000E+11 1.000E+15 305 2.800E-4 2.379912E-1 1.790100E+1 3.950320E-1 7.616320E+1 2.627737E-1 2.071100E+1 4.096810E-1 7.695450E+1 9.4311189E+00 1.3567669E+01 3.5757089E+00 1.0282700E+00
1.314000E+12 1.000E+15 305 2.800E-4 2.213979E-1 1.618670E+1 3.857470E-1 7.581280E+1 2.489737E-1 1.907680E+1 4.003190E-1 7.656100E+1 1.1075788E+01 1.5149815E+01 3.6400970E+00 9.7725996E-01
2.102000E+12 1.000E+15 305 2.800E-4 2.042560E-1 1.451380E+1 3.768630E-1 7.541950E+1 2.333584E-1 1.738290E+1 3.912440E-1 7.615740E+1 1.2471117E+01 1.6505301E+01 3.6757113E+00 9.6891438E-01
3.362000E+12 1.000E+15 305 2.800E-4 1.868891E-1 1.289520E+1 3.680810E-1 7.498310E+1 2.167325E-1 1.569550E+1 3.824700E-1 7.573820E+1 1.3769693E+01 1.7841420E+01 3.7621251E+00 9.9698699E-01
5.377000E+12 1.000E+15 305 2.800E-4 1.693563E-1 1.132710E+1 3.591330E-1 7.449420E+1 1.996671E-1 1.405030E+1 3.738460E-1 7.529210E+1 1.5180668E+01 1.9381793E+01 3.9355778E+00 1.0597393E+00
8.600000E+12 1.000E+15 305 2.800E-4 1.517481E-1 9.813200E+0 3.498350E-1 7.394100E+1 1.823682E-1 1.245260E+1 3.651470E-1 7.480060E+1 1.6790263E+01 2.1195574E+01 4.1933797E+00 1.1491886E+00
