N_Fe N_B T d Jsc_Fe Eta_Fe Voc_Fe FF_Fe Jsc_FeB Eta_FeB Voc_FeB FF_FeB Jsc_e Eta_e Voc_e FF_e
1.000000E+10 1.000E+15 290 2.800E-4 3.734087E-1 3.067950E+1 5.104320E-1 8.048130E+1 3.743725E-1 3.091360E+1 5.096830E-1 8.100550E+1 2.5744412E-01 7.5727188E-01 -1.4695409E-01 6.4711655E-01
1.468000E+10 1.000E+15 290 2.800E-4 3.725227E-1 3.045810E+1 5.094180E-1 8.024990E+1 3.739329E-1 3.078850E+1 5.084140E-1 8.097410E+1 3.7712648E-01 1.0731280E+00 -1.9747686E-01 8.9436005E-01
2.154000E+10 1.000E+15 290 2.800E-4 3.712389E-1 3.015440E+1 5.078890E-1 7.996440E+1 3.732919E-1 3.061340E+1 5.066840E-1 8.092740E+1 5.4997175E-01 1.4993434E+00 -2.3782081E-01 1.1899554E+00
3.162000E+10 1.000E+15 290 2.800E-4 3.693901E-1 2.974740E+1 5.056530E-1 7.963050E+1 3.723606E-1 3.037260E+1 5.043830E-1 8.085880E+1 7.9774820E-01 2.0584342E+00 -2.5179278E-01 1.5190678E+00
4.642000E+10 1.000E+15 290 2.800E-4 3.667501E-1 2.921700E+1 5.023990E-1 7.928420E+1 3.710133E-1 3.004810E+1 5.014080E-1 8.076160E+1 1.1490693E+00 2.7658987E+00 -1.9764344E-01 1.8293347E+00
6.813000E+10 1.000E+15 290 2.800E-4 3.630257E-1 2.854290E+1 4.976330E-1 7.899880E+1 3.690773E-1 2.962080E+1 4.975360E-1 8.065380E+1 1.6396565E+00 3.6389969E+00 -1.9496077E-02 2.0519802E+00
1.000000E+11 1.000E+15 290 2.800E-4 3.578601E-1 2.771070E+1 4.910840E-1 7.884020E+1 3.663211E-1 2.907210E+1 4.928440E-1 8.051450E+1 2.3097223E+00 4.6828402E+00 3.5711097E-01 2.0795012E+00
1.468000E+11 1.000E+15 290 2.800E-4 3.508609E-1 2.670830E+1 4.828450E-1 7.882680E+1 3.624491E-1 2.838460E+1 4.873120E-1 8.035230E+1 3.1971938E+00 5.9056672E+00 9.1666119E-01 1.8985144E+00
2.154000E+11 1.000E+15 290 2.800E-4 3.416672E-1 2.553180E+1 4.736920E-1 7.887720E+1 3.571087E-1 2.754360E+1 4.811130E-1 8.015720E+1 4.3240336E+00 7.3040561E+00 1.5424651E+00 1.5968622E+00
3.162000E+11 1.000E+15 290 2.800E-4 3.300596E-1 2.419040E+1 4.644450E-1 7.890160E+1 3.499237E-1 2.653830E+1 4.742620E-1 7.995590E+1 5.6766947E+00 8.8472133E+00 2.0699529E+00 1.3186019E+00
4.642000E+11 1.000E+15 290 2.800E-4 3.160834E-1 2.271030E+1 4.555930E-1 7.885200E+1 3.405660E-1 2.536580E+1 4.671080E-1 7.972590E+1 7.1887975E+00 1.0468820E+01 2.4651687E+00 1.0961306E+00
6.813000E+11 1.000E+15 290 2.800E-4 3.001114E-1 2.113660E+1 4.473140E-1 7.872430E+1 3.288613E-1 2.403590E+1 4.598510E-1 7.946930E+1 8.7422570E+00 1.2062373E+01 2.7263179E+00 9.3746893E-01
1.000000E+12 1.000E+15 290 2.800E-4 2.827675E-1 1.952420E+1 4.396150E-1 7.853090E+1 3.148965E-1 2.257550E+1 4.524780E-1 7.922120E+1 1.0203035E+01 1.3515980E+01 2.8427901E+00 8.7135767E-01
1.468000E+12 1.000E+15 290 2.800E-4 2.647151E-1 1.792140E+1 4.322620E-1 7.830970E+1 2.990573E-1 2.102820E+1 4.452550E-1 7.896030E+1 1.1483485E+01 1.4774446E+01 2.9181031E+00 8.2395837E-01
2.154000E+12 1.000E+15 290 2.800E-4 2.464362E-1 1.635720E+1 4.251590E-1 7.805880E+1 2.819387E-1 1.944460E+1 4.382750E-1 7.868050E+1 1.2592276E+01 1.5877930E+01 2.9926416E+00 7.9015766E-01
3.162000E+12 1.000E+15 290 2.800E-4 2.281516E-1 1.484020E+1 4.181880E-1 7.777050E+1 2.641463E-1 1.786820E+1 4.314470E-1 7.839310E+1 1.3626805E+01 1.6946307E+01 3.0731469E+00 7.9420255E-01
4.642000E+12 1.000E+15 290 2.800E-4 2.099112E-1 1.336880E+1 4.111430E-1 7.745190E+1 2.461081E-1 1.632480E+1 4.246390E-1 7.810340E+1 1.4707724E+01 1.8107419E+01 3.1782290E+00 8.3415063E-01
6.813000E+12 1.000E+15 290 2.800E-4 1.917514E-1 1.194270E+1 4.038440E-1 7.711160E+1 2.280175E-1 1.482200E+1 4.178740E-1 7.777890E+1 1.5904963E+01 1.9425853E+01 3.3574714E+00 8.5794476E-01
1.000000E+13 1.000E+15 290 2.800E-4 1.737982E-1 1.056960E+1 3.963400E-1 7.672110E+1 2.099222E-1 1.335900E+1 4.109890E-1 7.742010E+1 1.7208280E+01 2.0880305E+01 3.5643290E+00 9.0286631E-01
