N_Fe N_B T d Jsc_Fe Eta_Fe Voc_Fe FF_Fe Jsc_FeB Eta_FeB Voc_FeB FF_FeB Jsc_e Eta_e Voc_e FF_e
1.000000E+10 1.778E+15 287 3.800E-4 2.993489E-1 3.099760E+1 5.114550E-1 8.098500E+1 3.002188E-1 3.119440E+1 5.117270E-1 8.121980E+1 2.8975534E-01 6.3088247E-01 5.3153342E-02 2.8909207E-01
1.468000E+10 1.778E+15 287 3.800E-4 2.982691E-1 3.075900E+1 5.100750E-1 8.087060E+1 2.995377E-1 3.103650E+1 5.105370E-1 8.118130E+1 4.2351931E-01 8.9410855E-01 9.0492952E-02 3.8272361E-01
2.154000E+10 1.778E+15 287 3.800E-4 2.967229E-1 3.043100E+1 5.080310E-1 8.074880E+1 2.985539E-1 3.081550E+1 5.088370E-1 8.113880E+1 6.1328959E-01 1.2477487E+00 1.5840043E-01 4.8065784E-01
3.162000E+10 1.778E+15 287 3.800E-4 2.945329E-1 2.998950E+1 5.052530E-1 8.060970E+1 2.971433E-1 3.051120E+1 5.065530E-1 8.108290E+1 8.7849869E-01 1.7098639E+00 2.5663652E-01 5.8360024E-01
4.642000E+10 1.778E+15 287 3.800E-4 2.914781E-1 2.941050E+1 5.016020E-1 8.046330E+1 2.951413E-1 3.010100E+1 5.036480E-1 8.099990E+1 1.2411682E+00 2.2939437E+00 4.0623610E-01 6.6246995E-01
6.813000E+10 1.778E+15 287 3.800E-4 2.873054E-1 2.867370E+1 4.968940E-1 8.034110E+1 2.923407E-1 2.956150E+1 5.000740E-1 8.088420E+1 1.7224081E+00 3.0032306E+00 6.3590589E-01 6.7145376E-01
1.000000E+11 1.778E+15 287 3.800E-4 2.817628E-1 2.776570E+1 4.913430E-1 8.022350E+1 2.884996E-1 2.887190E+1 4.956010E-1 8.077150E+1 2.3351159E+00 3.8314070E+00 8.5915888E-01 6.7845713E-01
1.468000E+11 1.778E+15 287 3.800E-4 2.746588E-1 2.668640E+1 4.850770E-1 8.012120E+1 2.833689E-1 2.801750E+1 4.906170E-1 8.061110E+1 3.0737671E+00 4.7509592E+00 1.1291904E+00 6.0773268E-01
2.154000E+11 1.778E+15 287 3.800E-4 2.659370E-1 2.545150E+1 4.785480E-1 7.999640E+1 2.767437E-1 2.699450E+1 4.849630E-1 8.045430E+1 3.9049489E+00 5.7159792E+00 1.3227813E+00 5.6914298E-01
3.162000E+11 1.778E+15 287 3.800E-4 2.557282E-1 2.409410E+1 4.719490E-1 7.985430E+1 2.685331E-1 2.581400E+1 4.790880E-1 8.026090E+1 4.7684624E+00 6.6626637E+00 1.4901229E+00 5.0659786E-01
4.642000E+11 1.778E+15 287 3.800E-4 2.443309E-1 2.265730E+1 4.654290E-1 7.969600E+1 2.588175E-1 2.450360E+1 4.729600E-1 8.007060E+1 5.5972258E+00 7.5348112E+00 1.5923122E+00 4.6783713E-01
6.813000E+11 1.778E+15 287 3.800E-4 2.321052E-1 2.118230E+1 4.591620E-1 7.950310E+1 2.478481E-1 2.310270E+1 4.668340E-1 7.986860E+1 6.3518340E+00 8.3124483E+00 1.6434107E+00 4.5762665E-01
1.000000E+12 1.778E+15 287 3.800E-4 2.193344E-1 1.969650E+1 4.529270E-1 7.930760E+1 2.359644E-1 2.165220E+1 4.608320E-1 7.964770E+1 7.0476733E+00 9.0323385E+00 1.7153757E+00 4.2700543E-01
1.468000E+12 1.778E+15 287 3.800E-4 2.061518E-1 1.820940E+1 4.467190E-1 7.909260E+1 2.234642E-1 2.018210E+1 4.547560E-1 7.944030E+1 7.7472812E+00 9.7745031E+00 1.7673214E+00 4.3768717E-01
2.154000E+12 1.778E+15 287 3.800E-4 1.925762E-1 1.672020E+1 4.404860E-1 7.884360E+1 2.105121E-1 1.870600E+1 4.487710E-1 7.920270E+1 8.5201278E+00 1.0615845E+01 1.8461532E+00 4.5339363E-01
3.162000E+12 1.778E+15 287 3.800E-4 1.786137E-1 1.522880E+1 4.339310E-1 7.859440E+1 1.971471E-1 1.722500E+1 4.426130E-1 7.895950E+1 9.4007977E+00 1.1588970E+01 1.9615330E+00 4.6238895E-01
4.642000E+12 1.778E+15 287 3.800E-4 1.643422E-1 1.374360E+1 4.271940E-1 7.830450E+1 1.833693E-1 1.573820E+1 4.362560E-1 7.869500E+1 1.0376383E+01 1.2673622E+01 2.0772207E+00 4.9621958E-01
6.813000E+12 1.778E+15 287 3.800E-4 1.499327E-1 1.228170E+1 4.202460E-1 7.796890E+1 1.692322E-1 1.425140E+1 4.297460E-1 7.838350E+1 1.1404154E+01 1.3821098E+01 2.2106081E+00 5.2893785E-01
1.000000E+13 1.778E+15 287 3.800E-4 1.356174E-1 1.086520E+1 4.128820E-1 7.761690E+1 1.548817E-1 1.277990E+1 4.228240E-1 7.806000E+1 1.2438074E+01 1.4982120E+01 2.3513329E+00 5.6764028E-01
1.468000E+13 1.778E+15 287 3.800E-4 1.216453E-1 9.515600E+0 4.052520E-1 7.721030E+1 1.405357E-1 1.134470E+1 4.156340E-1 7.768820E+1 1.3441709E+01 1.6122947E+01 2.4978707E+00 6.1515134E-01
2.154000E+13 1.778E+15 287 3.800E-4 1.082488E-1 8.251600E+0 3.973430E-1 7.673850E+1 1.264418E-1 9.968000E+0 4.081900E-1 7.725280E+1 1.4388438E+01 1.7219101E+01 2.6573409E+00 6.6573639E-01
3.162000E+13 1.778E+15 287 3.800E-4 9.562265E-2 7.087300E+0 3.891220E-1 7.618960E+1 1.128402E-1 8.669800E+0 4.004400E-1 7.674860E+1 1.5258348E+01 1.8253016E+01 2.8263910E+00 7.2835205E-01
4.642000E+13 1.778E+15 287 3.800E-4 8.391429E-2 6.031200E+0 3.805020E-1 7.555620E+1 9.993966E-2 7.466200E+0 3.922660E-1 7.618020E+1 1.6035046E+01 1.9219951E+01 2.9989854E+00 8.1911048E-01
6.813000E+13 1.778E+15 287 3.800E-4 7.322005E-2 5.087000E+0 3.714100E-1 7.482320E+1 8.790427E-2 6.367500E+0 3.837460E-1 7.550490E+1 1.6704786E+01 2.0109933E+01 3.2146263E+00 9.0285531E-01
1.000000E+14 1.778E+15 287 3.800E-4 6.358765E-2 4.253200E+0 3.618040E-1 7.394810E+1 7.684778E-2 5.379200E+0 3.748300E-1 7.469940E+1 1.7255059E+01 2.0932481E+01 3.4751754E+00 1.0057644E+00
1.000000E+10 1.778E+15 292 3.800E-4 2.995866E-1 3.004010E+1 4.988550E-1 8.040180E+1 3.004836E-1 3.024480E+1 4.992420E-1 8.064550E+1 2.9851879E-01 6.7681056E-01 7.7517517E-02 3.0218673E-01
1.468000E+10 1.778E+15 292 3.800E-4 2.985321E-1 2.980300E+1 4.973510E-1 8.029100E+1 2.998350E-1 3.009070E+1 4.979640E-1 8.061450E+1 4.3453900E-01 9.5610936E-01 1.2310127E-01 4.0129257E-01
2.154000E+10 1.778E+15 292 3.800E-4 2.970222E-1 2.947780E+1 4.952580E-1 8.015610E+1 2.988977E-1 2.987520E+1 4.962330E-1 8.056810E+1 6.2747221E-01 1.3302003E+00 1.9648028E-01 5.1136864E-01
3.162000E+10 1.778E+15 292 3.800E-4 2.948837E-1 2.904180E+1 4.924090E-1 8.000310E+1 2.975530E-1 2.957900E+1 4.939510E-1 8.050010E+1 8.9708388E-01 1.8161534E+00 3.1217671E-01 6.1739054E-01
4.642000E+10 1.778E+15 292 3.800E-4 2.919008E-1 2.847250E+1 4.885930E-1 7.985530E+1 2.956429E-1 2.918040E+1 4.910300E-1 8.040390E+1 1.2657500E+00 2.4259434E+00 4.9630369E-01 6.8230521E-01
6.813000E+10 1.778E+15 292 3.800E-4 2.878264E-1 2.775080E+1 4.837500E-1 7.972330E+1 2.929675E-1 2.865750E+1 4.872600E-1 8.030070E+1 1.7548363E+00 3.1639187E+00 7.2035464E-01 7.1904728E-01
1.000000E+11 1.778E+15 292 3.800E-4 2.824143E-1 2.686590E+1 4.780330E-1 7.960090E+1 2.892924E-1 2.799070E+1 4.827920E-1 8.016370E+1 2.3775599E+00 4.0184776E+00 9.8572470E-01 7.0206340E-01
1.468000E+11 1.778E+15 292 3.800E-4 2.754767E-1 2.581850E+1 4.716900E-1 7.947860E+1 2.843726E-1 2.716680E+1 4.776280E-1 8.000580E+1 3.1282550E+00 4.9630431E+00 1.2432269E+00 6.5895223E-01
2.154000E+11 1.778E+15 292 3.800E-4 2.669563E-1 2.462500E+1 4.649880E-1 7.935160E+1 2.780023E-1 2.618250E+1 4.719520E-1 7.982270E+1 3.9733484E+00 5.9486298E+00 1.4755738E+00 5.9018299E-01
3.162000E+11 1.778E+15 292 3.800E-4 2.569764E-1 2.331710E+1 4.583080E-1 7.919260E+1 2.700808E-1 2.504860E+1 4.658650E-1 7.963260E+1 4.8520295E+00 6.9125620E+00 1.6221438E+00 5.5253753E-01
4.642000E+11 1.778E+15 292 3.800E-4 2.458217E-1 2.193570E+1 4.517450E-1 7.901290E+1 2.606711E-1 2.379110E+1 4.597280E-1 7.941110E+1 5.6966039E+00 7.7987146E+00 1.7364616E+00 5.0144123E-01
6.813000E+11 1.778E+15 292 3.800E-4 2.338349E-1 2.051900E+1 4.453050E-1 7.882240E+1 2.500040E-1 2.244680E+1 4.534400E-1 7.920430E+1 6.4675365E+00 8.5883066E+00 1.7940632E+00 4.8217079E-01
1.000000E+12 1.778E+15 292 3.800E-4 2.212833E-1 1.909160E+1 4.390720E-1 7.859940E+1 2.384018E-1 2.105440E+1 4.472750E-1 7.898050E+1 7.1805246E+00 9.3225169E+00 1.8339947E+00 4.8252417E-01
1.468000E+12 1.778E+15 292 3.800E-4 2.082888E-1 1.766170E+1 4.327750E-1 7.837270E+1 2.261535E-1 1.964230E+1 4.412120E-1 7.874130E+1 7.8993692E+00 1.0083341E+01 1.9122327E+00 4.6811521E-01
2.154000E+12 1.778E+15 292 3.800E-4 1.948636E-1 1.622760E+1 4.263800E-1 7.812490E+1 2.134213E-1 1.822330E+1 4.350460E-1 7.850810E+1 8.6953364E+00 1.0951364E+01 1.9919733E+00 4.8810250E-01
3.162000E+12 1.778E+15 292 3.800E-4 1.810099E-1 1.478920E+1 4.198830E-1 7.783500E+1 2.002422E-1 1.679790E+1 4.288780E-1 7.823960E+1 9.6045189E+00 1.1958042E+01 2.0973330E+00 5.1712943E-01
4.642000E+12 1.778E+15 292 3.800E-4 1.668034E-1 1.335440E+1 4.130020E-1 7.754030E+1 1.866108E-1 1.536480E+1 4.224550E-1 7.795970E+1 1.0614284E+01 1.3084453E+01 2.2376348E+00 5.3797026E-01
6.813000E+12 1.778E+15 292 3.800E-4 1.524136E-1 1.193980E+1 4.058790E-1 7.720370E+1 1.725725E-1 1.392900E+1 4.157700E-1 7.765250E+1 1.1681409E+01 1.4280996E+01 2.3789595E+00 5.7795950E-01
1.000000E+13 1.778E+15 292 3.800E-4 1.380727E-1 1.056670E+1 3.985160E-1 7.681500E+1 1.582649E-1 1.250440E+1 4.088750E-1 7.729420E+1 1.2758483E+01 1.5496145E+01 2.5335371E+00 6.1996890E-01
1.468000E+13 1.778E+15 292 3.800E-4 1.240327E-1 9.256400E+0 3.908360E-1 7.637860E+1 1.439022E-1 1.111120E+1 4.016290E-1 7.690040E+1 1.3807642E+01 1.6693066E+01 2.6873059E+00 6.7854003E-01
2.154000E+13 1.778E+15 292 3.800E-4 1.105309E-1 8.027400E+0 3.827670E-1 7.589610E+1 1.297326E-1 9.771300E+0 3.940310E-1 7.646000E+1 1.4800983E+01 1.7847165E+01 2.8586583E+00 7.3750981E-01
3.162000E+13 1.778E+15 292 3.800E-4 9.776958E-2 6.893600E+0 3.743710E-1 7.533580E+1 1.160020E-1 8.504500E+0 3.861380E-1 7.594530E+1 1.5717332E+01 1.8941737E+01 3.0473561E+00 8.0255131E-01
4.642000E+13 1.778E+15 292 3.800E-4 8.590451E-2 5.863900E+0 3.656060E-1 7.468180E+1 1.029278E-1 7.326800E+0 3.779270E-1 7.534180E+1 1.6539059E+01 1.9966425E+01 3.2601534E+00 8.7600774E-01
6.813000E+13 1.778E+15 292 3.800E-4 7.504065E-2 4.942000E+0 3.564040E-1 7.391420E+1 9.068545E-2 6.249400E+0 3.693550E-1 7.463130E+1 1.7251720E+01 2.0920408E+01 3.5063827E+00 9.6085691E-01
1.000000E+14 1.778E+15 292 3.800E-4 6.523376E-2 4.127500E+0 3.466610E-1 7.300870E+1 7.940029E-2 5.278500E+0 3.603380E-1 7.379720E+1 1.7841912E+01 2.1805437E+01 3.7956030E+00 1.0684687E+00
1.000000E+10 1.778E+15 297 3.800E-4 2.998001E-1 2.908030E+1 4.861860E-1 7.980440E+1 3.007355E-1 2.929630E+1 4.866950E-1 8.006300E+1 3.1103744E-01 7.3729447E-01 1.0458295E-01 3.2299564E-01
1.468000E+10 1.778E+15 297 3.800E-4 2.987704E-1 2.884460E+1 4.846450E-1 7.968280E+1 3.001243E-1 2.914720E+1 4.854340E-1 8.002530E+1 4.5111309E-01 1.0381786E+00 1.6253497E-01 4.2798965E-01
2.154000E+10 1.778E+15 297 3.800E-4 2.972960E-1 2.852220E+1 4.824940E-1 7.953590E+1 2.992406E-1 2.893880E+1 4.837180E-1 7.997040E+1 6.4984497E-01 1.4395898E+00 2.5303999E-01 5.4332603E-01
3.162000E+10 1.778E+15 297 3.800E-4 2.952077E-1 2.809150E+1 4.795340E-1 7.937580E+1 2.979717E-1 2.865270E+1 4.814430E-1 7.989260E+1 9.2760487E-01 1.9586287E+00 3.9651631E-01 6.4686842E-01
4.642000E+10 1.778E+15 297 3.800E-4 2.922950E-1 2.753100E+1 4.755330E-1 7.922830E+1 2.961671E-1 2.826810E+1 4.784190E-1 7.980160E+1 1.3074038E+00 2.6075329E+00 6.0323691E-01 7.1840665E-01
6.813000E+10 1.778E+15 297 3.800E-4 2.883164E-1 2.682380E+1 4.706080E-1 7.907750E+1 2.936356E-1 2.776430E+1 4.746140E-1 7.968900E+1 1.8114970E+00 3.3874436E+00 8.4405433E-01 7.6735810E-01
1.000000E+11 1.778E+15 297 3.800E-4 2.830312E-1 2.596080E+1 4.647020E-1 7.895350E+1 2.901500E-1 2.712300E+1 4.701450E-1 7.953240E+1 2.4534896E+00 4.2849242E+00 1.1577279E+00 7.2787946E-01
1.468000E+11 1.778E+15 297 3.800E-4 2.762550E-1 2.494390E+1 4.582320E-1 7.881880E+1 2.854702E-1 2.633180E+1 4.648240E-1 7.937670E+1 3.2280777E+00 5.2708132E+00 1.4181712E+00 7.0285109E-01
2.154000E+11 1.778E+15 297 3.800E-4 2.679296E-1 2.379000E+1 4.514680E-1 7.866950E+1 2.793875E-1 2.538810E+1 4.590770E-1 7.917700E+1 4.1010783E+00 6.2946814E+00 1.6574562E+00 6.4096897E-01
3.162000E+11 1.778E+15 297 3.800E-4 2.581711E-1 2.252950E+1 4.446280E-1 7.850680E+1 2.717888E-1 2.430180E+1 4.528870E-1 7.897290E+1 5.0103978E+00 7.2928754E+00 1.8236337E+00 5.9020246E-01
4.642000E+11 1.778E+15 297 3.800E-4 2.472512E-1 2.120100E+1 4.379810E-1 7.831130E+1 2.627158E-1 2.309710E+1 4.465410E-1 7.875360E+1 5.8864370E+00 8.2092557E+00 1.9169572E+00 5.6162512E-01
6.813000E+11 1.778E+15 297 3.800E-4 2.354960E-1 1.984030E+1 4.315190E-1 7.809550E+1 2.523751E-1 2.180850E+1 4.402690E-1 7.850950E+1 6.6881004E+00 9.0249215E+00 1.9874213E+00 5.2732472E-01
1.000000E+12 1.778E+15 297 3.800E-4 2.231580E-1 1.846940E+1 4.251150E-1 7.787440E+1 2.410716E-1 2.047260E+1 4.339280E-1 7.828340E+1 7.4308214E+00 9.7847855E+00 2.0309821E+00 5.2246070E-01
