T file kT1 Voc Jsc FF eta Vmpp Jmpp Wph TDD TDD1 d N_B
330 001_330 35.134 4.305830E-1 7.394297E-1 7.635400E+1 2.431000E+1 3.553220E-1 6.841681E-1 1.000000E+0 1.000000E+10 1.000000E+10 1.800E-4 1.778E+15
330 002_330 35.134 4.298680E-1 7.385535E-1 7.621470E+1 2.419670E+1 3.542290E-1 6.830820E-1 1.000000E+0 1.468000E+10 1.468000E+10 1.800E-4 1.778E+15
330 003_330 35.134 4.287850E-1 7.372750E-1 7.603360E+1 2.403660E+1 3.527050E-1 6.814947E-1 1.000000E+0 2.154000E+10 2.154000E+10 1.800E-4 1.778E+15
330 004_330 35.134 4.272160E-1 7.354144E-1 7.579790E+1 2.381420E+1 3.505760E-1 6.792891E-1 1.000000E+0 3.162000E+10 3.162000E+10 1.800E-4 1.778E+15
330 005_330 35.134 4.249620E-1 7.327176E-1 7.550770E+1 2.351130E+1 3.476860E-1 6.762243E-1 1.000000E+0 4.642000E+10 4.642000E+10 1.800E-4 1.778E+15
330 006_330 35.134 4.217570E-1 7.288310E-1 7.517900E+1 2.310920E+1 3.439160E-1 6.719435E-1 1.000000E+0 6.813000E+10 6.813000E+10 1.800E-4 1.778E+15
330 007_330 35.134 4.172080E-1 7.232755E-1 7.485890E+1 2.258910E+1 3.391700E-1 6.660124E-1 1.000000E+0 1.000000E+11 1.000000E+11 1.800E-4 1.778E+15
330 008_330 35.134 4.111500E-1 7.154269E-1 7.457830E+1 2.193700E+1 3.334280E-1 6.579247E-1 1.000000E+0 1.468000E+11 1.468000E+11 1.800E-4 1.778E+15
330 009_330 35.134 4.035200E-1 7.045191E-1 7.436760E+1 2.114180E+1 3.268260E-1 6.468821E-1 1.000000E+0 2.154000E+11 2.154000E+11 1.800E-4 1.778E+15
330 010_330 35.134 3.947190E-1 6.896979E-1 7.419720E+1 2.019920E+1 3.195020E-1 6.322092E-1 1.000000E+0 3.162000E+11 3.162000E+11 1.800E-4 1.778E+15
330 011_330 35.134 3.852760E-1 6.701573E-1 7.401740E+1 1.911090E+1 3.117090E-1 6.131022E-1 1.000000E+0 4.642000E+11 4.642000E+11 1.800E-4 1.778E+15
330 012_330 35.134 3.756680E-1 6.453720E-1 7.378890E+1 1.788980E+1 3.036820E-1 5.890975E-1 1.000000E+0 6.813000E+11 6.813000E+11 1.800E-4 1.778E+15
330 013_330 35.134 3.662120E-1 6.153763E-1 7.349700E+1 1.656310E+1 2.955760E-1 5.603686E-1 1.000000E+0 1.000000E+12 1.000000E+12 1.800E-4 1.778E+15
330 014_330 35.134 3.570750E-1 5.809435E-1 7.314680E+1 1.517360E+1 2.875880E-1 5.276156E-1 1.000000E+0 1.468000E+12 1.468000E+12 1.800E-4 1.778E+15
330 015_330 35.134 3.483140E-1 5.434840E-1 7.274840E+1 1.377150E+1 2.797750E-1 4.922348E-1 1.000000E+0 2.154000E+12 2.154000E+12 1.800E-4 1.778E+15
330 016_330 35.134 3.398990E-1 5.046221E-1 7.231080E+1 1.240280E+1 2.721780E-1 4.556875E-1 1.000000E+0 3.162000E+12 3.162000E+12 1.800E-4 1.778E+15
330 017_330 35.134 3.316350E-1 4.656754E-1 7.185600E+1 1.109700E+1 2.647170E-1 4.192038E-1 1.000000E+0 4.642000E+12 4.642000E+12 1.800E-4 1.778E+15
330 018_330 35.134 3.234330E-1 4.273726E-1 7.136830E+1 9.865000E+0 2.572950E-1 3.834119E-1 1.000000E+0 6.813000E+12 6.813000E+12 1.800E-4 1.778E+15
330 019_330 35.134 3.151560E-1 3.899510E-1 7.083650E+1 8.705500E+0 2.497560E-1 3.485601E-1 1.000000E+0 1.000000E+13 1.000000E+13 1.800E-4 1.778E+15
330 020_330 35.134 3.066850E-1 3.534736E-1 7.024950E+1 7.615400E+0 2.420410E-1 3.146321E-1 1.000000E+0 1.468000E+13 1.468000E+13 1.800E-4 1.778E+15
330 021_330 35.134 2.979300E-1 3.180932E-1 6.959660E+1 6.595600E+0 2.340330E-1 2.818247E-1 1.000000E+0 2.154000E+13 2.154000E+13 1.800E-4 1.778E+15
330 022_330 35.134 2.888300E-1 2.841241E-1 6.886730E+1 5.651500E+0 2.257130E-1 2.503844E-1 1.000000E+0 3.162000E+13 3.162000E+13 1.800E-4 1.778E+15
330 023_330 35.134 2.793300E-1 2.519632E-1 6.804840E+1 4.789300E+0 2.170210E-1 2.206834E-1 1.000000E+0 4.642000E+13 4.642000E+13 1.800E-4 1.778E+15
330 024_330 35.134 2.693670E-1 2.219826E-1 6.712520E+1 4.013700E+0 2.079000E-1 1.930606E-1 1.000000E+0 6.813000E+13 6.813000E+13 1.800E-4 1.778E+15
330 025_330 35.134 2.588610E-1 1.944613E-1 6.607840E+1 3.326300E+0 1.983110E-1 1.677311E-1 1.000000E+0 1.000000E+14 1.000000E+14 1.800E-4 1.778E+15
