T file kT1 Voc Jsc FF eta Vmpp Jmpp Wph TDD TDD1 TDD11 TDD111 d N_B
320 001_320 36.232 4.556980E-1 7.372765E-1 7.801240E+1 2.621020E+1 3.812790E-1 6.874290E-1 1.000000E+0 1.000000E+10 1.000000E+10 1.000000E+10 1.000000E+10 3.800E-4 1.000E+16
320 002_320 36.232 4.550150E-1 7.344911E-1 7.798880E+1 2.606420E+1 3.806540E-1 6.847211E-1 1.000000E+0 1.468000E+10 1.468000E+10 1.468000E+10 1.468000E+10 3.800E-4 1.000E+16
320 003_320 36.232 4.540650E-1 7.305294E-1 7.795490E+1 2.585820E+1 3.797560E-1 6.809178E-1 1.000000E+0 2.154000E+10 2.154000E+10 2.154000E+10 2.154000E+10 3.800E-4 1.000E+16
320 004_320 36.232 4.527700E-1 7.249700E-1 7.790700E+1 2.557250E+1 3.785250E-1 6.755840E-1 1.000000E+0 3.162000E+10 3.162000E+10 3.162000E+10 3.162000E+10 3.800E-4 1.000E+16
320 005_320 36.232 4.510510E-1 7.173118E-1 7.784080E+1 2.518490E+1 3.768850E-1 6.682399E-1 1.000000E+0 4.642000E+10 4.642000E+10 4.642000E+10 4.642000E+10 3.800E-4 1.000E+16
320 006_320 36.232 4.487760E-1 7.070197E-1 7.776330E+1 2.467380E+1 3.747750E-1 6.583623E-1 1.000000E+0 6.813000E+10 6.813000E+10 6.813000E+10 6.813000E+10 3.800E-4 1.000E+16
320 007_320 36.232 4.459230E-1 6.936182E-1 7.766940E+1 2.402310E+1 3.721390E-1 6.455435E-1 1.000000E+0 1.000000E+11 1.000000E+11 1.000000E+11 1.000000E+11 3.800E-4 1.000E+16
320 008_320 36.232 4.425830E-1 6.768232E-1 7.754420E+1 2.322840E+1 3.689940E-1 6.295060E-1 1.000000E+0 1.468000E+11 1.468000E+11 1.468000E+11 1.468000E+11 3.800E-4 1.000E+16
320 009_320 36.232 4.387480E-1 6.566587E-1 7.740080E+1 2.229970E+1 3.653810E-1 6.103156E-1 1.000000E+0 2.154000E+11 2.154000E+11 2.154000E+11 2.154000E+11 3.800E-4 1.000E+16
320 010_320 36.232 4.344690E-1 6.334722E-1 7.724830E+1 2.126060E+1 3.614160E-1 5.882580E-1 1.000000E+0 3.162000E+11 3.162000E+11 3.162000E+11 3.162000E+11 3.800E-4 1.000E+16
320 011_320 36.232 4.299770E-1 6.077940E-1 7.706220E+1 2.013920E+1 3.571580E-1 5.638739E-1 1.000000E+0 4.642000E+11 4.642000E+11 4.642000E+11 4.642000E+11 3.800E-4 1.000E+16
320 012_320 36.232 4.250700E-1 5.801012E-1 7.688620E+1 1.895890E+1 3.526460E-1 5.376172E-1 1.000000E+0 6.813000E+11 6.813000E+11 6.813000E+11 6.813000E+11 3.800E-4 1.000E+16
320 013_320 36.232 4.200210E-1 5.506487E-1 7.666840E+1 1.773210E+1 3.478610E-1 5.097481E-1 1.000000E+0 1.000000E+12 1.000000E+12 1.000000E+12 1.000000E+12 3.800E-4 1.000E+16
320 014_320 36.232 4.145070E-1 5.194882E-1 7.645680E+1 1.646350E+1 3.427640E-1 4.803174E-1 1.000000E+0 1.468000E+12 1.468000E+12 1.468000E+12 1.468000E+12 3.800E-4 1.000E+16
320 015_320 36.232 4.087250E-1 4.866409E-1 7.620350E+1 1.515700E+1 3.373540E-1 4.492930E-1 1.000000E+0 2.154000E+12 2.154000E+12 2.154000E+12 2.154000E+12 3.800E-4 1.000E+16
320 016_320 36.232 4.024980E-1 4.522754E-1 7.593220E+1 1.382270E+1 3.315530E-1 4.169085E-1 1.000000E+0 3.162000E+12 3.162000E+12 3.162000E+12 3.162000E+12 3.800E-4 1.000E+16
320 017_320 36.232 3.958500E-1 4.167746E-1 7.563360E+1 1.247800E+1 3.253610E-1 3.835135E-1 1.000000E+0 4.642000E+12 4.642000E+12 4.642000E+12 4.642000E+12 3.800E-4 1.000E+16
320 018_320 36.232 3.888570E-1 3.806929E-1 7.528940E+1 1.114550E+1 3.187990E-1 3.496085E-1 1.000000E+0 6.813000E+12 6.813000E+12 6.813000E+12 6.813000E+12 3.800E-4 1.000E+16
320 019_320 36.232 3.814320E-1 3.446707E-1 7.491400E+1 9.848800E+0 3.118650E-1 3.158039E-1 1.000000E+0 1.000000E+13 1.000000E+13 1.000000E+13 1.000000E+13 3.800E-4 1.000E+16
320 020_320 36.232 3.735850E-1 3.093578E-1 7.450250E+1 8.610400E+0 3.045800E-1 2.826962E-1 1.000000E+0 1.468000E+13 1.468000E+13 1.468000E+13 1.468000E+13 3.800E-4 1.000E+16
320 021_320 36.232 3.653870E-1 2.753561E-1 7.403670E+1 7.448900E+0 2.969240E-1 2.508704E-1 1.000000E+0 2.154000E+13 2.154000E+13 2.154000E+13 2.154000E+13 3.800E-4 1.000E+16
320 022_320 36.232 3.568410E-1 2.431782E-1 7.350760E+1 6.378700E+0 2.888960E-1 2.207951E-1 1.000000E+0 3.162000E+13 3.162000E+13 3.162000E+13 3.162000E+13 3.800E-4 1.000E+16
320 023_320 36.232 3.479440E-1 2.132204E-1 7.290520E+1 5.408700E+0 2.805180E-1 1.928131E-1 1.000000E+0 4.642000E+13 4.642000E+13 4.642000E+13 4.642000E+13 3.800E-4 1.000E+16
320 024_320 36.232 3.386850E-1 1.857513E-1 7.221530E+1 4.543100E+0 2.717680E-1 1.671705E-1 1.000000E+0 6.813000E+13 6.813000E+13 6.813000E+13 6.813000E+13 3.800E-4 1.000E+16
320 025_320 36.232 3.290410E-1 1.609137E-1 7.141990E+1 3.781500E+0 2.625880E-1 1.440081E-1 1.000000E+0 1.000000E+14 1.000000E+14 1.000000E+14 1.000000E+14 3.800E-4 1.000E+16
