N_Fe N_B T d Jsc_Fe Eta_Fe Voc_Fe FF_Fe Jsc_FeB Eta_FeB Voc_FeB FF_FeB Jsc_e Eta_e Voc_e FF_e
1.000000E+10 1.000E+15 290 1.800E-4 7.215211E-1 3.090350E+1 5.280900E-1 8.110560E+1 7.224492E-1 3.101760E+1 5.270370E-1 8.146300E+1 1.2846578E-01 3.6785567E-01 -1.9979622E-01 4.3872678E-01
1.468000E+10 1.000E+15 290 1.800E-4 7.206144E-1 3.077400E+1 5.276870E-1 8.092920E+1 7.219840E-1 3.093900E+1 5.261990E-1 8.143850E+1 1.8969949E-01 5.3330748E-01 -2.8278275E-01 6.2537989E-01
2.154000E+10 1.000E+15 290 1.800E-4 7.192906E-1 3.059080E+1 5.270900E-1 8.068670E+1 7.213032E-1 3.082750E+1 5.250260E-1 8.140290E+1 2.7902275E-01 7.6782094E-01 -3.9312339E-01 8.7982123E-01
3.162000E+10 1.000E+15 290 1.800E-4 7.173623E-1 3.033570E+1 5.262070E-1 8.036340E+1 7.203082E-1 3.067100E+1 5.234120E-1 8.135180E+1 4.0897771E-01 1.0932151E+00 -5.3399616E-01 1.2149700E+00
4.642000E+10 1.000E+15 290 1.800E-4 7.145635E-1 2.998840E+1 5.248940E-1 7.995410E+1 7.188570E-1 3.045510E+1 5.212380E-1 8.127980E+1 5.9726761E-01 1.5324199E+00 -7.0140703E-01 1.6310326E+00
6.813000E+10 1.000E+15 290 1.800E-4 7.105222E-1 2.952510E+1 5.229270E-1 7.946460E+1 7.167465E-1 3.016310E+1 5.182830E-1 8.119770E+1 8.6841024E-01 2.1151672E+00 -8.9603556E-01 2.1344201E+00
1.000000E+11 1.000E+15 290 1.800E-4 7.047297E-1 2.892530E+1 5.199490E-1 7.893960E+1 7.136906E-1 2.977670E+1 5.144930E-1 8.109380E+1 1.2555721E+00 2.8592826E+00 -1.0604615E+00 2.6564300E+00
1.468000E+11 1.000E+15 290 1.800E-4 6.965154E-1 2.817100E+1 5.152200E-1 7.850180E+1 7.092924E-1 2.927750E+1 5.099160E-1 8.094880E+1 1.8013727E+00 3.7793527E+00 -1.0401713E+00 3.0228984E+00
2.154000E+11 1.000E+15 290 1.800E-4 6.850415E-1 2.724350E+1 5.082230E-1 7.825150E+1 7.030180E-1 2.864720E+1 5.043000E-1 8.080290E+1 2.5570469E+00 4.8999553E+00 -7.7790997E-01 3.1575599E+00
3.162000E+11 1.000E+15 290 1.800E-4 6.693496E-1 2.612660E+1 4.984930E-1 7.830160E+1 6.941779E-1 2.786770E+1 4.979710E-1 8.061700E+1 3.5766480E+00 6.2477348E+00 -1.0482538E-01 2.8720989E+00
4.642000E+11 1.000E+15 290 1.800E-4 6.484980E-1 2.480830E+1 4.870550E-1 7.854360E+1 6.819379E-1 2.692130E+1 4.909870E-1 8.040480E+1 4.9036576E+00 7.8488037E+00 8.0083587E-01 2.3147872E+00
6.813000E+11 1.000E+15 290 1.800E-4 6.218211E-1 2.329060E+1 4.755800E-1 7.875750E+1 6.653886E-1 2.579200E+1 4.834200E-1 8.018360E+1 6.5476776E+00 9.6983561E+00 1.6217782E+00 1.7785432E+00
1.000000E+12 1.000E+15 290 1.800E-4 5.892756E-1 2.159670E+1 4.649120E-1 7.883120E+1 6.437068E-1 2.447050E+1 4.755650E-1 7.993670E+1 8.4558995E+00 1.1743937E+01 2.2400723E+00 1.3829693E+00
1.468000E+12 1.000E+15 290 1.800E-4 5.517150E-1 1.977940E+1 4.551620E-1 7.876490E+1 6.164165E-1 2.296220E+1 4.675910E-1 7.966620E+1 1.0496393E+01 1.3861041E+01 2.6580922E+00 1.1313455E+00
2.154000E+12 1.000E+15 290 1.800E-4 5.108468E-1 1.791470E+1 4.462030E-1 7.859370E+1 5.836840E-1 2.129510E+1 4.596510E-1 7.937320E+1 1.2478876E+01 1.5874074E+01 2.9256980E+00 9.8206951E-01
3.162000E+12 1.000E+15 290 1.800E-4 4.687535E-1 1.608110E+1 4.378560E-1 7.835030E+1 5.464870E-1 1.952230E+1 4.517350E-1 7.908020E+1 1.4224218E+01 1.7627021E+01 3.0723765E+00 9.2298704E-01
