fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev 
001_293 001_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 2.130418978E-16 1.000000000E+20 1.243649357E+00 1.778204019E-16 1.332281425E-03 
001_293_SRH 001_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 7.142828486E-17 1.000000000E+20 1.264055440E+00 1.783314150E-16 3.099095717E-03 
002_293 002_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 2.457401729E-16 1.000000000E+20 1.247763764E+00 2.605886093E-16 1.631887439E-03 
002_293_SRH 002_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 1.046002182E-16 1.000000000E+20 1.264104615E+00 2.617631967E-16 3.103965676E-03 
003_293 003_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 2.936224986E-16 1.000000000E+20 1.251402442E+00 3.823826105E-16 1.926670925E-03 
003_293_SRH 003_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 1.530136866E-16 1.000000000E+20 1.264176482E+00 3.842339640E-16 3.111097199E-03 
004_293 004_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 3.634932739E-16 1.000000000E+20 1.254538689E+00 5.615165209E-16 2.199072820E-03 
004_293_SRH 004_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 2.234867644E-16 1.000000000E+20 1.264281473E+00 5.640172797E-16 3.121529108E-03 
005_293 005_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 4.649800231E-16 1.000000000E+20 1.257168864E+00 8.248532446E-16 2.438222605E-03 
005_293_SRH 005_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 3.256817045E-16 1.000000000E+20 1.264434628E+00 8.279479193E-16 3.136764326E-03 
006_293 006_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 6.114910585E-16 1.000000000E+20 1.259337904E+00 1.211816775E-15 2.641606221E-03 
006_293_SRH 006_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 4.730671766E-16 1.000000000E+20 1.264657478E+00 1.215441633E-15 3.158963562E-03 
007_293 007_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 8.212609395E-16 1.000000000E+20 1.261137684E+00 1.780308863E-15 2.814028582E-03 
007_293_SRH 007_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 6.839659377E-16 1.000000000E+20 1.264980514E+00 1.784412305E-15 3.191201895E-03 
008_293 008_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 1.118215871E-15 1.000000000E+20 1.262692388E+00 2.615433982E-15 2.965355258E-03 
008_293_SRH 008_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 9.824201834E-16 1.000000000E+20 1.265446197E+00 2.619993395E-15 3.237793375E-03 
009_293 009_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 1.532104269E-15 1.000000000E+20 1.264144065E+00 3.842380753E-15 3.108457247E-03 
009_293_SRH 009_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 1.398317989E-15 1.000000000E+20 1.266112256E+00 3.847415706E-15 3.304664954E-03 
010_293 010_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 2.096992029E-15 1.000000000E+20 1.265643971E+00 5.645483570E-15 3.257957159E-03 
010_293_SRH 010_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 1.965875640E-15 1.000000000E+20 1.267054475E+00 5.651067826E-15 3.399709584E-03 
011_293 011_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 2.847090597E-15 1.000000000E+20 1.267348408E+00 8.296515484E-15 3.429634074E-03 
011_293_SRH 011_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 2.719437846E-15 1.000000000E+20 1.268367355E+00 8.302790337E-15 3.532968473E-03 
012_293 012_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 3.809576046E-15 1.000000000E+20 1.269414302E+00 1.219681653E-14 3.639952721E-03 
012_293_SRH 012_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 3.686251355E-15 1.000000000E+20 1.270160081E+00 1.220400805E-14 3.716370781E-03 
013_293 013_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 4.996204556E-15 1.000000000E+20 1.271989307E+00 1.794017470E-14 3.905083260E-03 
013_293_SRH 013_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 4.878026129E-15 1.000000000E+20 1.272544823E+00 1.794861577E-14 3.962667624E-03 
014_293 014_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 6.398569432E-15 1.000000000E+20 1.275193299E+00 2.640670813E-14 4.238954633E-03 
014_293_SRH 014_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 6.286155378E-15 1.000000000E+20 1.275615745E+00 2.641686478E-14 4.283290079E-03 
015_293 015_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 7.992699329E-15 1.000000000E+20 1.279093683E+00 3.890265076E-14 4.650440285E-03 
015_293_SRH 015_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 7.886328435E-15 1.000000000E+20 1.279421965E+00 3.891514999E-14 4.685327067E-03 
016_293 016_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 9.753687116E-15 1.000000000E+20 1.283684513E+00 5.736747811E-14 5.140694213E-03 
016_293_SRH 016_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 9.653238706E-15 1.000000000E+20 1.283944770E+00 5.738313315E-14 5.168683846E-03 
017_293 017_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 1.167203754E-14 1.000000000E+20 1.288883881E+00 8.467964028E-14 5.702333713E-03 
017_293_SRH 017_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 1.157704336E-14 1.000000000E+20 1.289093535E+00 8.469946742E-14 5.725126624E-03 
018_293 018_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 1.375943960E-14 1.000000000E+20 1.294557335E+00 1.251079351E-13 6.321601649E-03 
018_293_SRH 018_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 1.366922374E-14 1.000000000E+20 1.294728059E+00 1.251331634E-13 6.340339265E-03 
019_293 019_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 1.603848794E-14 1.000000000E+20 1.300557678E+00 1.849803308E-13 6.982652298E-03 
019_293_SRH 019_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 1.595233224E-14 1.000000000E+20 1.300697495E+00 1.850124089E-13 6.998123442E-03 
