fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 rmsre 
001_303 001_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 1.686478931E-15 1.000000000E+20 1.208755233E+00 7.634703147E-16 5.461981246E-03 
001_303_SRH 001_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 1.062520782E-15 1.000000000E+20 1.216236159E+00 7.543654543E-16 8.209951370E-03 
002_303 002_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 2.180059266E-15 1.000000000E+20 1.210834234E+00 1.116093882E-15 6.126870693E-03 
002_303_SRH 002_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 1.556835142E-15 1.000000000E+20 1.216262503E+00 1.107228815E-15 8.222107157E-03 
003_303 003_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 2.901584607E-15 1.000000000E+20 1.212414089E+00 1.633786226E-15 6.684116304E-03 
003_303_SRH 003_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 2.279264481E-15 1.000000000E+20 1.216301051E+00 1.625128900E-15 8.239926560E-03 
004_303 004_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 3.954126040E-15 1.000000000E+20 1.213605113E+00 2.393712663E-15 7.134435069E-03 
004_303_SRH 004_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 3.332975807E-15 1.000000000E+20 1.216357427E+00 2.385233270E-15 8.266030421E-03 
005_303 005_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 5.485008124E-15 1.000000000E+20 1.214507516E+00 3.509090625E-15 7.493413142E-03 
005_303_SRH 005_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 4.865436610E-15 1.000000000E+20 1.216439770E+00 3.500767232E-15 8.304237076E-03 
006_303 006_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 7.702223128E-15 1.000000000E+20 1.215211111E+00 5.146015536E-15 7.784680726E-03 
006_303_SRH 006_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 7.084840154E-15 1.000000000E+20 1.216559776E+00 5.137838289E-15 8.360084192E-03 
007_303 007_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 1.089411749E-14 1.000000000E+20 1.215795729E+00 7.548111816E-15 8.035176878E-03 
007_303_SRH 007_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 1.027980600E-14 1.000000000E+20 1.216734124E+00 7.540086021E-15 8.441559905E-03 
008_303 008_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 1.544987254E-14 1.000000000E+20 1.216333653E+00 1.107263233E-14 8.273150627E-03 
008_303_SRH 008_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 1.483987407E-14 1.000000000E+20 1.216986278E+00 1.106478164E-14 8.560093030E-03 
009_303 009_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 2.187441945E-14 1.000000000E+20 1.216893677E+00 1.624330161E-14 8.528364879E-03 
009_303_SRH 009_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 2.127042390E-14 1.000000000E+20 1.217348585E+00 1.623567189E-14 8.731844324E-03 
010_303 010_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 3.078555001E-14 1.000000000E+20 1.217545653E+00 2.382767907E-14 8.833658835E-03 
010_303_SRH 010_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 3.018976583E-14 1.000000000E+20 1.217864451E+00 2.382034361E-14 8.979266575E-03 
011_303 011_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 4.287548474E-14 1.000000000E+20 1.218367804E+00 3.494984162E-14 9.225870769E-03 
011_303_SRH 011_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 4.229054606E-14 1.000000000E+20 1.218595788E+00 3.494306864E-14 9.331302019E-03 
012_303 012_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 5.881826541E-14 1.000000000E+20 1.219433510E+00 5.125902070E-14 9.752544502E-03 
012_303_SRH 012_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 5.824736520E-14 1.000000000E+20 1.219596154E+00 5.125273520E-14 9.830676413E-03 
013_303 013_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 7.913210393E-14 1.000000000E+20 1.220830759E+00 7.517194868E-14 1.046565711E-02 
013_303_SRH 013_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 7.857844191E-14 1.000000000E+20 1.220949274E+00 7.516639907E-14 1.052499792E-02 
014_303 014_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 1.040440291E-13 1.000000000E+20 1.222647355E+00 1.102394825E-13 1.142297980E-02 
014_303_SRH 014_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 1.035103418E-13 1.000000000E+20 1.222735961E+00 1.102349817E-13 1.146936895E-02 
015_303 015_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 1.334610561E-13 1.000000000E+20 1.224929339E+00 1.616766143E-13 1.268475683E-02 
015_303_SRH 015_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 1.329489894E-13 1.000000000E+20 1.224997273E+00 1.616734768E-13 1.272221185E-02 
016_303 016_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 1.671446366E-13 1.000000000E+20 1.227752151E+00 2.371996998E-13 1.429419767E-02 
016_303_SRH 016_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 1.666543926E-13 1.000000000E+20 1.227806066E+00 2.371985149E-13 1.432531178E-02 
017_303 017_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 2.050251730E-13 1.000000000E+20 1.231098578E+00 3.481780530E-13 1.627831492E-02 
017_303_SRH 017_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 2.045553920E-13 1.000000000E+20 1.231142627E+00 3.481795371E-13 1.630481034E-02 
018_303 018_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 2.474873772E-13 1.000000000E+20 1.234905280E+00 5.113634629E-13 1.863712843E-02 
018_303_SRH 018_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 2.470354274E-13 1.000000000E+20 1.234942149E+00 5.113685890E-13 1.866009786E-02 
019_303 019_303.dat 303 38.265 1.000000000E+00 0.000000000E+00 2.954412893E-13 1.000000000E+20 1.239168156E+00 7.516946463E-13 2.133872513E-02 
019_303_SRH 019_303_srh.dat 303 38.265 1.000000000E+00 0.000000000E+00 2.950043183E-13 1.000000000E+20 1.239199517E+00 7.517047371E-13 2.135882121E-02 
