fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 rmsre 
001_336 001_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.409188792E-13 1.000000000E+20 1.225792430E+00 7.915522935E-15 1.295071421E-04 
001_336_SRH 001_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.344203908E-14 1.000000000E+20 1.338529854E+00 6.317388054E-15 2.763355781E-03 
002_336 002_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.468440708E-13 1.000000000E+20 1.252157216E+00 1.076891904E-14 2.312000909E-04 
002_336_SRH 002_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.965618346E-14 1.000000000E+20 1.338622488E+00 9.272042053E-15 2.773976593E-03 
003_336 003_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.554212334E-13 1.000000000E+20 1.274004143E+00 1.502067738E-14 3.817091396E-04 
003_336_SRH 003_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 2.869359866E-14 1.000000000E+20 1.338757225E+00 1.360818837E-14 2.789522097E-03 
004_336 004_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.678182386E-13 1.000000000E+20 1.291334266E+00 2.130912712E-14 5.837009164E-04 
004_336_SRH 004_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 4.178207827E-14 1.000000000E+20 1.338952437E+00 1.997132642E-14 2.812243314E-03 
005_336 005_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.856521884E-13 1.000000000E+20 1.304690263E+00 3.057510087E-14 8.363661212E-04 
005_336_SRH 005_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 6.062408588E-14 1.000000000E+20 1.339233671E+00 2.930811900E-14 2.845391337E-03 
006_336 006_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 2.111074017E-13 1.000000000E+20 1.314840787E+00 4.420192864E-14 1.133671904E-03 
006_336_SRH 006_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 8.751876187E-14 1.000000000E+20 1.339635471E+00 4.300650475E-14 2.893619245E-03 
007_336 007_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 2.470263727E-13 1.000000000E+20 1.322564021E+00 6.422017664E-14 1.465393242E-03 
007_336_SRH 007_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.254535932E-13 1.000000000E+20 1.340202909E+00 6.310074833E-14 2.963503694E-03 
008_336 008_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 2.969109043E-13 1.000000000E+20 1.328543888E+00 9.360725844E-14 1.821301591E-03 
008_336_SRH 008_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.780978046E-13 1.000000000E+20 1.340991748E+00 9.257159206E-14 3.064201877E-03 
009_336 009_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 3.647437284E-13 1.000000000E+20 1.333342087E+00 1.367266960E-13 2.196904842E-03 
009_336_SRH 009_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 2.496005816E-13 1.000000000E+20 1.342065496E+00 1.357861200E-13 3.208150513E-03 
010_336 010_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 4.545559051E-13 1.000000000E+20 1.337404731E+00 1.999742341E-13 2.597902941E-03 
010_336_SRH 010_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 3.441132963E-13 1.000000000E+20 1.343488007E+00 1.991441228E-13 3.411673269E-03 
011_336 011_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 5.697855306E-13 1.000000000E+20 1.341074462E+00 2.927317140E-13 3.041349236E-03 
011_336_SRH 011_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 4.650843623E-13 1.000000000E+20 1.345311497E+00 2.920317608E-13 3.695169645E-03 
012_336 012_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 7.127221164E-13 1.000000000E+20 1.344597962E+00 4.287802764E-13 3.553401474E-03 
012_336_SRH 012_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 6.146434055E-13 1.000000000E+20 1.347562608E+00 4.282344026E-13 4.082405214E-03 
013_336 013_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 8.845551315E-13 1.000000000E+20 1.348133606E+00 6.283977741E-13 4.164705988E-03 
013_336_SRH 013_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 7.936338546E-13 1.000000000E+20 1.350233371E+00 6.280340670E-13 4.598410947E-03 
014_336 014_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.086396138E-12 1.000000000E+20 1.351765629E+00 9.214671001E-13 4.904631693E-03 
014_336_SRH 014_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.002696409E-12 1.000000000E+20 1.353283402E+00 9.213186587E-13 5.265948844E-03 
015_336 015_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.320971527E-12 1.000000000E+20 1.355526995E+00 1.352067325E-12 5.795864588E-03 
015_336_SRH 015_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.244087098E-12 1.000000000E+20 1.356653994E+00 1.352174758E-12 6.101556975E-03 
016_336 016_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.594014711E-12 1.000000000E+20 1.359425145E+00 1.985239583E-12 6.851405565E-03 
016_336_SRH 016_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.523195083E-12 1.000000000E+20 1.360287179E+00 1.985655226E-12 7.113256285E-03 
017_336 017_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.914527500E-12 1.000000000E+20 1.363462962E+00 2.916964783E-12 8.075445511E-03 
017_336_SRH 017_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 1.848865266E-12 1.000000000E+20 1.364141119E+00 2.917758100E-12 8.301604736E-03 
018_336 018_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 2.294011670E-12 1.000000000E+20 1.367650075E+00 4.288914118E-12 9.467194232E-03 
018_336_SRH 018_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 2.232611693E-12 1.000000000E+20 1.368196185E+00 4.290177701E-12 9.663375173E-03 
019_336 019_336.dat 336 34.507 1.000000000E+00 0.000000000E+00 2.745536130E-12 1.000000000E+20 1.372003899E+00 6.310295233E-12 1.102449571E-02 
019_336_SRH 019_336_srh.dat 336 34.507 1.000000000E+00 0.000000000E+00 2.687620035E-12 1.000000000E+20 1.372451366E+00 6.312150988E-12 1.119485834E-02 
