N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 1.778E+16 293 1.800E-4 1.206502496E+00 1.215370074E+00
1.468000E+10 1.778E+16 293 1.800E-4 1.208985539E+00 1.215487292E+00
2.154000E+10 1.778E+16 293 1.800E-4 1.210948973E+00 1.215657427E+00
3.162000E+10 1.778E+16 293 1.800E-4 1.212527907E+00 1.215903354E+00
4.642000E+10 1.778E+16 293 1.800E-4 1.213852879E+00 1.216256580E+00
6.813000E+10 1.778E+16 293 1.800E-4 1.215051945E+00 1.216759347E+00
1.000000E+11 1.778E+16 293 1.800E-4 1.216250637E+00 1.217466126E+00
1.468000E+11 1.778E+16 293 1.800E-4 1.217571598E+00 1.218443422E+00
2.154000E+11 1.778E+16 293 1.800E-4 1.219132696E+00 1.219766431E+00
3.162000E+11 1.778E+16 293 1.800E-4 1.221041829E+00 1.221511555E+00
4.642000E+11 1.778E+16 293 1.800E-4 1.223387958E+00 1.223744942E+00
6.813000E+11 1.778E+16 293 1.800E-4 1.226230365E+00 1.226509514E+00
1.000000E+12 1.778E+16 293 1.800E-4 1.229590435E+00 1.229815053E+00
1.468000E+12 1.778E+16 293 1.800E-4 1.233451195E+00 1.233636492E+00
2.154000E+12 1.778E+16 293 1.800E-4 1.237767780E+00 1.237923507E+00
3.162000E+12 1.778E+16 293 1.800E-4 1.242485736E+00 1.242618138E+00
4.642000E+12 1.778E+16 293 1.800E-4 1.247557136E+00 1.247670324E+00
6.813000E+12 1.778E+16 293 1.800E-4 1.252945437E+00 1.253042280E+00
1.000000E+13 1.778E+16 293 1.800E-4 1.258619941E+00 1.258702594E+00
