fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev 
001_293 001_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 3.553722304E-16 1.000000000E+20 1.206502496E+00 1.515255904E-16 8.663899587E-04 
001_293_SRH 001_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 2.072939398E-16 1.000000000E+20 1.215370074E+00 1.493975688E-16 1.399828583E-03 
002_293 002_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 4.495464611E-16 1.000000000E+20 1.208985539E+00 2.213065871E-16 9.926913699E-04 
002_293_SRH 002_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 3.020721388E-16 1.000000000E+20 1.215487292E+00 2.192599854E-16 1.408485827E-03 
003_293 003_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 5.853957748E-16 1.000000000E+20 1.210948973E+00 3.237431249E-16 1.105392933E-03 
003_293_SRH 003_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 4.387509845E-16 1.000000000E+20 1.215657427E+00 3.217756839E-16 1.421122714E-03 
004_293 004_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 7.798133594E-16 1.000000000E+20 1.212527907E+00 4.740783872E-16 1.204367081E-03 
004_293_SRH 004_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 6.343151426E-16 1.000000000E+20 1.215903354E+00 4.721901004E-16 1.439521755E-03 
005_293 005_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 1.054975308E-15 1.000000000E+20 1.213852879E+00 6.946561336E-16 1.293125866E-03 
005_293_SRH 005_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 9.110599758E-16 1.000000000E+20 1.216256580E+00 6.928518721E-16 1.466211928E-03 
006_293 006_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 1.438499009E-15 1.000000000E+20 1.215051945E+00 1.018221277E-15 1.377841723E-03 
006_293_SRH 006_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 1.296745890E-15 1.000000000E+20 1.216759347E+00 1.016513239E-15 1.504724393E-03 
007_293 007_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 1.962167510E-15 1.000000000E+20 1.216250637E+00 1.492756037E-15 1.466526165E-03 
007_293_SRH 007_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 1.823307484E-15 1.000000000E+20 1.217466126E+00 1.491165949E-15 1.559877742E-03 
008_293 008_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 2.658370867E-15 1.000000000E+20 1.217571598E+00 2.188582757E-15 1.568576285E-03 
008_293_SRH 008_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 2.523262368E-15 1.000000000E+20 1.218443422E+00 2.187144063E-15 1.638027127E-03 
009_293 009_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 3.554110904E-15 1.000000000E+20 1.219132696E+00 3.208839824E-15 1.694536973E-03 
009_293_SRH 009_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 3.423664685E-15 1.000000000E+20 1.219766431E+00 3.207599942E-15 1.747149852E-03 
010_293 010_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 4.664369719E-15 1.000000000E+20 1.221041829E+00 4.705013155E-15 1.855734424E-03 
010_293_SRH 010_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 4.539416051E-15 1.000000000E+20 1.221511555E+00 4.704036467E-15 1.896552361E-03 
011_293 011_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 5.989177802E-15 1.000000000E+20 1.223387958E+00 6.900056749E-15 2.063420663E-03 
011_293_SRH 011_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 5.870300529E-15 1.000000000E+20 1.223744942E+00 6.899429053E-15 2.095964854E-03 
012_293 012_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 7.519066197E-15 1.000000000E+20 1.226230365E+00 1.012282965E-14 2.327262823E-03 
012_293_SRH 012_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 7.406463576E-15 1.000000000E+20 1.226509514E+00 1.012266561E-14 2.353937881E-03 
013_293 013_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 9.248884469E-15 1.000000000E+20 1.229590435E+00 1.485922568E-14 2.653498021E-03 
013_293_SRH 013_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 9.142324668E-15 1.000000000E+20 1.229815053E+00 1.485968009E-14 2.675904559E-03 
014_293 014_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 1.119252566E-14 1.000000000E+20 1.233451195E+00 2.182777817E-14 3.043654547E-03 
014_293_SRH 014_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 1.109142343E-14 1.000000000E+20 1.233636492E+00 2.182906057E-14 3.062829277E-03 
015_293 015_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 1.338862671E-14 1.000000000E+20 1.237767780E+00 3.209131253E-14 3.494827095E-03 
015_293_SRH 015_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 1.329220543E-14 1.000000000E+20 1.237923507E+00 3.209370499E-14 3.511427768E-03 
016_293 016_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 1.589378018E-14 1.000000000E+20 1.242485736E+00 4.722220542E-14 4.001555100E-03 
016_293_SRH 016_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 1.580124895E-14 1.000000000E+20 1.242618138E+00 4.722608110E-14 4.016001949E-03 
017_293 017_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 1.876903075E-14 1.000000000E+20 1.247557136E+00 6.954771807E-14 4.558044199E-03 
017_293_SRH 017_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 1.867971673E-14 1.000000000E+20 1.247670324E+00 6.955356277E-14 4.570618850E-03 
018_293 018_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 2.206833545E-14 1.000000000E+20 1.252945437E+00 1.025146090E-13 5.159277780E-03 
018_293_SRH 018_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 2.198174638E-14 1.000000000E+20 1.253042280E+00 1.025230416E-13 5.170187160E-03 
019_293 019_293.dat 293 39.571 1.000000000E+00 0.000000000E+00 2.583238263E-14 1.000000000E+20 1.258619941E+00 1.512305886E-13 5.800790688E-03 
019_293_SRH 019_293_srh.dat 293 39.571 1.000000000E+00 0.000000000E+00 2.574820434E-14 1.000000000E+20 1.258702594E+00 1.512423834E-13 5.810202910E-03 
