T file kT1 TDD TDD1 d N_B
336 001_336 34.507 1.000000E+10 1.000000E+10 1.800E-4 5.623E+16
336 002_336 34.507 1.468000E+10 1.468000E+10 1.800E-4 5.623E+16
336 003_336 34.507 2.154000E+10 2.154000E+10 1.800E-4 5.623E+16
336 004_336 34.507 3.162000E+10 3.162000E+10 1.800E-4 5.623E+16
336 005_336 34.507 4.642000E+10 4.642000E+10 1.800E-4 5.623E+16
336 006_336 34.507 6.813000E+10 6.813000E+10 1.800E-4 5.623E+16
336 007_336 34.507 1.000000E+11 1.000000E+11 1.800E-4 5.623E+16
336 008_336 34.507 1.468000E+11 1.468000E+11 1.800E-4 5.623E+16
336 009_336 34.507 2.154000E+11 2.154000E+11 1.800E-4 5.623E+16
336 010_336 34.507 3.162000E+11 3.162000E+11 1.800E-4 5.623E+16
336 011_336 34.507 4.642000E+11 4.642000E+11 1.800E-4 5.623E+16
336 012_336 34.507 6.813000E+11 6.813000E+11 1.800E-4 5.623E+16
336 013_336 34.507 1.000000E+12 1.000000E+12 1.800E-4 5.623E+16
336 014_336 34.507 1.468000E+12 1.468000E+12 1.800E-4 5.623E+16
336 015_336 34.507 2.154000E+12 2.154000E+12 1.800E-4 5.623E+16
336 016_336 34.507 3.162000E+12 3.162000E+12 1.800E-4 5.623E+16
336 017_336 34.507 4.642000E+12 4.642000E+12 1.800E-4 5.623E+16
336 018_336 34.507 6.813000E+12 6.813000E+12 1.800E-4 5.623E+16
336 019_336 34.507 1.000000E+13 1.000000E+13 1.800E-4 5.623E+16
