N_Fe N_B T d n_Fe n_Fe_SRH
1.000000E+10 5.623E+15 303 2.400E-4 1.226722717E+00 1.232230153E+00
1.468000E+10 5.623E+15 303 2.400E-4 1.228459783E+00 1.232334845E+00
2.154000E+10 5.623E+15 303 2.400E-4 1.229778783E+00 1.232486469E+00
3.162000E+10 5.623E+15 303 2.400E-4 1.230822585E+00 1.232704795E+00
4.642000E+10 5.623E+15 303 2.400E-4 1.231712452E+00 1.233016587E+00
6.813000E+10 5.623E+15 303 2.400E-4 1.232554245E+00 1.233456728E+00
1.000000E+11 5.623E+15 303 2.400E-4 1.233443245E+00 1.234068396E+00
1.468000E+11 5.623E+15 303 2.400E-4 1.234466497E+00 1.234901129E+00
2.154000E+11 5.623E+15 303 2.400E-4 1.235701706E+00 1.236006025E+00
3.162000E+11 5.623E+15 303 2.400E-4 1.237212833E+00 1.237428387E+00
4.642000E+11 5.623E+15 303 2.400E-4 1.239045031E+00 1.239200341E+00
6.813000E+11 5.623E+15 303 2.400E-4 1.241222640E+00 1.241337183E+00
1.000000E+12 5.623E+15 303 2.400E-4 1.243751808E+00 1.243838762E+00
1.468000E+12 5.623E+15 303 2.400E-4 1.246625028E+00 1.246693200E+00
2.154000E+12 5.623E+15 303 2.400E-4 1.249824553E+00 1.249879712E+00
3.162000E+12 5.623E+15 303 2.400E-4 1.253326073E+00 1.253371922E+00
4.642000E+12 5.623E+15 303 2.400E-4 1.257105284E+00 1.257144164E+00
6.813000E+12 5.623E+15 303 2.400E-4 1.261144763E+00 1.261178144E+00
1.000000E+13 5.623E+15 303 2.400E-4 1.265435171E+00 1.265464002E+00
