N_Fe N_B T d n_Fe n_Fe_SRH n_FeB n_FeB_SRH
1.000000E+10 1.000E+15 303 1.500E-4 1.123981703E+00 1.124254187E+00 1.193283351E+00 1.196343069E+00
1.468000E+10 1.000E+15 303 1.500E-4 1.124418170E+00 1.124596468E+00 1.194201019E+00 1.196356444E+00
2.154000E+10 1.000E+15 303 1.500E-4 1.124976857E+00 1.125095100E+00 1.194870955E+00 1.196376032E+00
3.162000E+10 1.000E+15 303 1.500E-4 1.125739605E+00 1.125819022E+00 1.195360525E+00 1.196404690E+00
4.642000E+10 1.000E+15 303 1.500E-4 1.126810679E+00 1.126864676E+00 1.195725409E+00 1.196446586E+00
6.813000E+10 1.000E+15 303 1.500E-4 1.128326752E+00 1.128363949E+00 1.196011005E+00 1.196507729E+00
1.000000E+11 1.000E+15 303 1.500E-4 1.130464718E+00 1.130490763E+00 1.196255038E+00 1.196596717E+00
1.468000E+11 1.000E+15 303 1.500E-4 1.133443001E+00 1.133461626E+00 1.196490720E+00 1.196725753E+00
2.154000E+11 1.000E+15 303 1.500E-4 1.137507546E+00 1.137521264E+00 1.196749961E+00 1.196911863E+00
3.162000E+11 1.000E+15 303 1.500E-4 1.142889170E+00 1.142899682E+00 1.197066419E+00 1.197178274E+00
4.642000E+11 1.000E+15 303 1.500E-4 1.149719513E+00 1.149727985E+00 1.197478063E+00 1.197555714E+00
6.813000E+11 1.000E+15 303 1.500E-4 1.157910825E+00 1.157918019E+00 1.198028834E+00 1.198083145E+00
1.000000E+12 1.000E+15 303 1.500E-4 1.167050855E+00 1.167057254E+00 1.198768867E+00 1.198807257E+00
1.468000E+12 1.000E+15 303 1.500E-4 1.176418491E+00 1.176424323E+00 1.199752780E+00 1.199780314E+00
2.154000E+12 1.000E+15 303 1.500E-4 1.185202817E+00 1.185208167E+00 1.201036360E+00 1.201056496E+00
3.162000E+12 1.000E+15 303 1.500E-4 1.192840617E+00 1.192845467E+00 1.202672666E+00 1.202687748E+00
4.642000E+12 1.000E+15 303 1.500E-4 1.199216772E+00 1.199221100E+00 1.204707966E+00 1.204719587E+00
6.813000E+12 1.000E+15 303 1.500E-4 1.204570230E+00 1.204574054E+00 1.207175435E+00 1.207184658E+00
1.000000E+13 1.000E+15 303 1.500E-4 1.209239436E+00 1.209242792E+00 1.210084499E+00 1.210092034E+00
1.000000E+10 1.000E+17 293 1.500E-4 1.260993580E+00 1.318541472E+00 1.219190877E+00 1.235836192E+00
1.468000E+10 1.000E+17 293 1.500E-4 1.267889219E+00 1.318636612E+00 1.224179748E+00 1.236338285E+00
2.154000E+10 1.000E+17 293 1.500E-4 1.274243276E+00 1.318775435E+00 1.228211923E+00 1.237039976E+00
3.162000E+10 1.000E+17 293 1.500E-4 1.280398249E+00 1.318977726E+00 1.231618961E+00 1.238002616E+00
4.642000E+10 1.000E+17 293 1.500E-4 1.286501163E+00 1.319271717E+00 1.234677480E+00 1.239292378E+00
6.813000E+10 1.000E+17 293 1.500E-4 1.292532743E+00 1.319697185E+00 1.237616695E+00 1.240971576E+00
1.000000E+11 1.000E+17 293 1.500E-4 1.298377603E+00 1.320309129E+00 1.240617451E+00 1.243087888E+00
1.468000E+11 1.000E+17 293 1.500E-4 1.303917011E+00 1.321181518E+00 1.243811951E+00 1.245670379E+00
2.154000E+11 1.000E+17 293 1.500E-4 1.309108797E+00 1.322409822E+00 1.247273948E+00 1.248707256E+00
3.162000E+11 1.000E+17 293 1.500E-4 1.314023983E+00 1.324109959E+00 1.251043190E+00 1.252178825E+00
4.642000E+11 1.000E+17 293 1.500E-4 1.318833055E+00 1.326410052E+00 1.255129026E+00 1.256051446E+00
6.813000E+11 1.000E+17 293 1.500E-4 1.323756057E+00 1.329431517E+00 1.259527744E+00 1.260291746E+00
1.000000E+12 1.000E+17 293 1.500E-4 1.328997887E+00 1.333259220E+00 1.264237745E+00 1.264879256E+00
1.468000E+12 1.000E+17 293 1.500E-4 1.334689295E+00 1.337908153E+00 1.269258739E+00 1.269801782E+00
2.154000E+12 1.000E+17 293 1.500E-4 1.340852696E+00 1.343302826E+00 1.274595189E+00 1.275056656E+00
3.162000E+12 1.000E+17 293 1.500E-4 1.347406827E+00 1.349286004E+00 1.280242048E+00 1.280634359E+00
4.642000E+12 1.000E+17 293 1.500E-4 1.354207884E+00 1.355658255E+00 1.286193672E+00 1.286526565E+00
6.813000E+12 1.000E+17 293 1.500E-4 1.361103433E+00 1.362227818E+00 1.292416474E+00 1.292698204E+00
1.000000E+13 1.000E+17 293 1.500E-4 1.367969462E+00 1.368843253E+00 1.298896925E+00 1.299134154E+00
1.000000E+10 1.778E+15 293 1.500E-4 1.210509965E+00 1.213060059E+00 1.197371842E+00 1.202265815E+00
1.468000E+10 1.778E+15 293 1.500E-4 1.211315295E+00 1.213102929E+00 1.198761763E+00 1.202281677E+00
2.154000E+10 1.778E+15 293 1.500E-4 1.211921262E+00 1.213165474E+00 1.199808382E+00 1.202304896E+00
3.162000E+10 1.778E+15 293 1.500E-4 1.212394794E+00 1.213256554E+00 1.200586678E+00 1.202338899E+00
4.642000E+10 1.778E+15 293 1.500E-4 1.212793598E+00 1.213388740E+00 1.201167854E+00 1.202388680E+00
6.813000E+10 1.778E+15 293 1.500E-4 1.213169080E+00 1.213579629E+00 1.201614890E+00 1.202461515E+00
1.000000E+11 1.778E+15 293 1.500E-4 1.213569959E+00 1.213853347E+00 1.201982201E+00 1.202567925E+00
1.468000E+11 1.778E+15 293 1.500E-4 1.214045836E+00 1.214241937E+00 1.202317969E+00 1.202723075E+00
2.154000E+11 1.778E+15 293 1.500E-4 1.214649768E+00 1.214786103E+00 1.202667919E+00 1.202948601E+00
3.162000E+11 1.778E+15 293 1.500E-4 1.215438884E+00 1.215534386E+00 1.203079726E+00 1.203274990E+00
4.642000E+11 1.778E+15 293 1.500E-4 1.216472165E+00 1.216539801E+00 1.203607614E+00 1.203744372E+00
6.813000E+11 1.778E+15 293 1.500E-4 1.217805273E+00 1.217853917E+00 1.204316612E+00 1.204413357E+00
1.000000E+12 1.778E+15 293 1.500E-4 1.219484589E+00 1.219520299E+00 1.205285514E+00 1.205354911E+00
1.468000E+12 1.778E+15 293 1.500E-4 1.221544283E+00 1.221571167E+00 1.206606791E+00 1.206657487E+00
2.154000E+12 1.778E+15 293 1.500E-4 1.224008210E+00 1.224029039E+00 1.208380947E+00 1.208418838E+00
3.162000E+12 1.778E+15 293 1.500E-4 1.226891737E+00 1.226908362E+00 1.210703120E+00 1.210732193E+00
4.642000E+12 1.778E+15 293 1.500E-4 1.230196368E+00 1.230210005E+00 1.213642339E+00 1.213665272E+00
6.813000E+12 1.778E+15 293 1.500E-4 1.233899362E+00 1.233910791E+00 1.217219426E+00 1.217237992E+00
1.000000E+13 1.778E+15 293 1.500E-4 1.237950537E+00 1.237960255E+00 1.221394792E+00 1.221410145E+00
1.000000E+10 1.778E+16 293 1.500E-4 1.243649357E+00 1.264055440E+00 1.208341060E+00 1.218183635E+00
1.468000E+10 1.778E+16 293 1.500E-4 1.247763764E+00 1.264104615E+00 1.210959236E+00 1.218268245E+00
2.154000E+10 1.778E+16 293 1.500E-4 1.251402442E+00 1.264176482E+00 1.213044550E+00 1.218391467E+00
3.162000E+10 1.778E+16 293 1.500E-4 1.254538689E+00 1.264281473E+00 1.214709264E+00 1.218570469E+00
4.642000E+10 1.778E+16 293 1.500E-4 1.257168864E+00 1.264434628E+00 1.216067687E+00 1.218829441E+00
6.813000E+10 1.778E+16 293 1.500E-4 1.259337904E+00 1.264657478E+00 1.217237156E+00 1.219201821E+00
1.000000E+11 1.778E+16 293 1.500E-4 1.261137684E+00 1.264980514E+00 1.218336191E+00 1.219732651E+00
1.468000E+11 1.778E+16 293 1.500E-4 1.262692388E+00 1.265446197E+00 1.219483683E+00 1.220480373E+00
2.154000E+11 1.778E+16 293 1.500E-4 1.264144065E+00 1.266112256E+00 1.220798743E+00 1.221516914E+00
3.162000E+11 1.778E+16 293 1.500E-4 1.265643971E+00 1.267054475E+00 1.222398994E+00 1.222924445E+00
