X Y Yfit
1.0000000E-2 4.3785173E-16 4.3782069E-16
2.0000000E-2 1.0857107E-15 1.0856979E-15
3.0000000E-2 2.0443935E-15 2.0444345E-15
4.0000000E-2 3.4631131E-15 3.4632168E-15
5.0000000E-2 5.5627103E-15 5.5628428E-15
6.0000000E-2 8.6700367E-15 8.6701032E-15
7.0000000E-2 1.3268843E-14 1.3268672E-14
8.0000000E-2 2.0075099E-14 2.0074436E-14
9.0000000E-2 3.0148472E-14 3.0147001E-14
1.0000000E-1 4.5057340E-14 4.5054750E-14
1.1000000E-1 6.7123043E-14 6.7119177E-14
1.2000000E-1 9.9781440E-14 9.9776585E-14
1.3000000E-1 1.4811816E-13 1.4811351E-13
1.4000000E-1 2.1966096E-13 2.1965937E-13
1.5000000E-1 3.2555288E-13 3.2555985E-13
1.6000000E-1 4.8228901E-13 4.8231404E-13
1.7000000E-1 7.1428803E-13 7.1434610E-13
1.8000000E-1 1.0576996E-12 1.0578126E-12
1.9000000E-1 1.5660417E-12 1.5662389E-12
2.0000000E-1 2.3185474E-12 2.3188644E-12
2.1000000E-1 3.4325232E-12 3.4329969E-12
2.2000000E-1 5.0816481E-12 5.0823047E-12
2.3000000E-1 7.5230667E-12 7.5238978E-12
2.4000000E-1 1.1137505E-11 1.1138425E-11
2.5000000E-1 1.6488664E-11 1.6489441E-11
2.6000000E-1 2.4411167E-11 2.4411305E-11
2.7000000E-1 3.6140757E-11 3.6139324E-11
2.8000000E-1 5.3507081E-11 5.3502457E-11
2.9000000E-1 7.9219095E-11 7.9208636E-11
3.0000000E-1 1.1728760E-10 1.1726723E-10
3.1000000E-1 1.7365075E-10 1.7361462E-10
3.2000000E-1 2.5709995E-10 2.5704044E-10
3.3000000E-1 3.8065020E-10 3.8055911E-10
3.4000000E-1 5.6356793E-10 5.6344076E-10
3.5000000E-1 8.3437081E-10 8.3421851E-10
3.6000000E-1 1.2352639E-9 1.2351415E-9
3.7000000E-1 1.8286957E-9 1.8287691E-9
3.8000000E-1 2.7070408E-9 2.7077351E-9
3.9000000E-1 4.0068824E-9 4.0092076E-9
