X Y Yfit
1.0000000E-2 9.6575038E-17 9.7461199E-17
2.0000000E-2 2.3793623E-16 2.3967839E-16
3.0000000E-2 4.4525455E-16 4.4749073E-16
4.0000000E-2 7.4969539E-16 7.5155334E-16
5.0000000E-2 1.1971332E-15 1.1970048E-15
6.0000000E-2 1.8550930E-15 1.8503711E-15
7.0000000E-2 2.8229780E-15 2.8097836E-15
8.0000000E-2 4.2471490E-15 4.2201107E-15
9.0000000E-2 6.3431814E-15 6.2953800E-15
1.0000000E-1 9.4287553E-15 9.3520167E-15
1.1000000E-1 1.3972322E-14 1.3858143E-14
1.2000000E-1 2.0665217E-14 2.0506731E-14
1.3000000E-1 3.0528653E-14 3.0324187E-14
1.4000000E-1 4.5072667E-14 4.4831600E-14
1.5000000E-1 6.6532476E-14 6.6284281E-14
1.6000000E-1 9.8220218E-14 9.8027693E-14
1.7000000E-1 1.4504868E-13 1.4502653E-13
1.8000000E-1 2.1431134E-13 2.1465132E-13
1.9000000E-1 3.1684451E-13 3.1784833E-13
2.0000000E-1 4.6875869E-13 4.7087974E-13
2.1000000E-1 6.9401850E-13 6.9791284E-13
2.2000000E-1 1.0282870E-12 1.0348731E-12
2.3000000E-1 1.5246549E-12 1.5351793E-12
2.4000000E-1 2.2621784E-12 2.2782810E-12
2.5000000E-1 3.3586055E-12 3.3823702E-12
2.6000000E-1 4.9893437E-12 5.0233106E-12
2.7000000E-1 7.4157339E-12 7.4628288E-12
2.8000000E-1 1.1027198E-11 1.1090505E-11
2.9000000E-1 1.6404066E-11 1.6486327E-11
3.0000000E-1 2.4411243E-11 2.4513876E-11
3.1000000E-1 3.6337844E-11 3.6459180E-11
3.2000000E-1 5.4105364E-11 5.4237611E-11
3.3000000E-1 8.0578034E-11 8.0702196E-11
3.4000000E-1 1.2002553E-10 1.2010311E-10
3.5000000E-1 1.7881282E-10 1.7877248E-10
3.6000000E-1 2.6642865E-10 2.6614514E-10
3.7000000E-1 3.9701903E-10 3.9628006E-10
3.8000000E-1 5.9167340E-10 5.9012838E-10
3.9000000E-1 8.8183337E-10 8.7891434E-10
4.0000000E-1 1.3143749E-9 1.3091756E-9
4.1000000E-1 1.9591858E-9 1.9502779E-9
4.2000000E-1 2.9204630E-9 2.9056178E-9
4.3000000E-1 4.3535576E-9 4.3293271E-9
4.4000000E-1 6.4900889E-9 6.4511777E-9
4.5000000E-1 9.6753907E-9 9.6137173E-9
