N_Fe N_B T d n_Fe n_Fe_SRH
1.000000E+10 3.162E+15 305 1.800E-4 1.214120800E+00 1.217839971E+00
1.468000E+10 3.162E+15 305 1.800E-4 1.215352323E+00 1.217943056E+00
2.154000E+10 3.162E+15 305 1.800E-4 1.216297688E+00 1.218092823E+00
3.162000E+10 3.162E+15 305 1.800E-4 1.217070319E+00 1.218309406E+00
4.642000E+10 3.162E+15 305 1.800E-4 1.217767323E+00 1.218620517E+00
6.813000E+10 3.162E+15 305 1.800E-4 1.218476318E+00 1.219063175E+00
1.000000E+11 3.162E+15 305 1.800E-4 1.219280705E+00 1.219684507E+00
1.468000E+11 3.162E+15 305 1.800E-4 1.220262014E+00 1.220540413E+00
2.154000E+11 3.162E+15 305 1.800E-4 1.221497166E+00 1.221689912E+00
3.162000E+11 3.162E+15 305 1.800E-4 1.223049240E+00 1.223183629E+00
4.642000E+11 3.162E+15 305 1.800E-4 1.224952981E+00 1.225047727E+00
6.813000E+11 3.162E+15 305 1.800E-4 1.227202601E+00 1.227270489E+00
1.000000E+12 3.162E+15 305 1.800E-4 1.229754091E+00 1.229803797E+00
1.468000E+12 3.162E+15 305 1.800E-4 1.232548383E+00 1.232585774E+00
2.154000E+12 3.162E+15 305 1.800E-4 1.235542315E+00 1.235571311E+00
3.162000E+12 3.162E+15 305 1.800E-4 1.238722430E+00 1.238745632E+00
4.642000E+12 3.162E+15 305 1.800E-4 1.242093653E+00 1.242112760E+00
6.813000E+12 3.162E+15 305 1.800E-4 1.245661011E+00 1.245677115E+00
1.000000E+13 3.162E+15 305 1.800E-4 1.249422724E+00 1.249436522E+00
