T file kT1 TDD TDD1 d N_B
305 001_305 38.014 1.000000E+10 1.000000E+10 2.100E-4 1.000E+15
305 002_305 38.014 1.468000E+10 1.468000E+10 2.100E-4 1.000E+15
305 003_305 38.014 2.154000E+10 2.154000E+10 2.100E-4 1.000E+15
305 004_305 38.014 3.162000E+10 3.162000E+10 2.100E-4 1.000E+15
305 005_305 38.014 4.642000E+10 4.642000E+10 2.100E-4 1.000E+15
305 006_305 38.014 6.813000E+10 6.813000E+10 2.100E-4 1.000E+15
305 007_305 38.014 1.000000E+11 1.000000E+11 2.100E-4 1.000E+15
305 008_305 38.014 1.468000E+11 1.468000E+11 2.100E-4 1.000E+15
305 009_305 38.014 2.154000E+11 2.154000E+11 2.100E-4 1.000E+15
305 010_305 38.014 3.162000E+11 3.162000E+11 2.100E-4 1.000E+15
305 011_305 38.014 4.642000E+11 4.642000E+11 2.100E-4 1.000E+15
305 012_305 38.014 6.813000E+11 6.813000E+11 2.100E-4 1.000E+15
305 013_305 38.014 1.000000E+12 1.000000E+12 2.100E-4 1.000E+15
305 014_305 38.014 1.468000E+12 1.468000E+12 2.100E-4 1.000E+15
305 015_305 38.014 2.154000E+12 2.154000E+12 2.100E-4 1.000E+15
305 016_305 38.014 3.162000E+12 3.162000E+12 2.100E-4 1.000E+15
305 017_305 38.014 4.642000E+12 4.642000E+12 2.100E-4 1.000E+15
305 018_305 38.014 6.813000E+12 6.813000E+12 2.100E-4 1.000E+15
305 019_305 38.014 1.000000E+13 1.000000E+13 2.100E-4 1.000E+15
305 001_305 38.014 0.000000E+0 0.000000E+0 2.100E-4 1.000E+15
305 002_305 38.014 0.000000E+0 0.000000E+0 2.100E-4 1.000E+15
305 003_305 38.014 0.000000E+0 0.000000E+0 2.100E-4 1.000E+15
305 004_305 38.014 0.000000E+0 0.000000E+0 2.100E-4 1.000E+15
305 005_305 38.014 0.000000E+0 0.000000E+0 2.100E-4 1.000E+15
305 006_305 38.014 0.000000E+0 0.000000E+0 2.100E-4 1.000E+15
305 007_305 38.014 0.000000E+0 0.000000E+0 2.100E-4 1.000E+15
305 008_305 38.014 0.000000E+0 0.000000E+0 2.100E-4 1.000E+15
305 009_305 38.014 0.000000E+0 0.000000E+0 2.100E-4 1.000E+15
305 010_305 38.014 0.000000E+0 0.000000E+0 2.100E-4 1.000E+15
305 011_305 38.014 0.000000E+0 0.000000E+0 2.100E-4 1.000E+15
305 012_305 38.014 0.000000E+0 0.000000E+0 2.100E-4 1.000E+15
305 013_305 38.014 0.000000E+0 0.000000E+0 2.100E-4 1.000E+15
305 014_305 38.014 0.000000E+0 0.000000E+0 2.100E-4 1.000E+15
305 015_305 38.014 0.000000E+0 0.000000E+0 2.100E-4 1.000E+15
305 016_305 38.014 0.000000E+0 0.000000E+0 2.100E-4 1.000E+15
305 017_305 38.014 0.000000E+0 0.000000E+0 2.100E-4 1.000E+15
305 018_305 38.014 0.000000E+0 0.000000E+0 2.100E-4 1.000E+15
305 019_305 38.014 0.000000E+0 0.000000E+0 2.100E-4 1.000E+15
315 001_315 36.807 1.000000E+10 1.000000E+10 2.100E-4 1.000E+15
315 002_315 36.807 1.468000E+10 1.468000E+10 2.100E-4 1.000E+15
315 003_315 36.807 2.154000E+10 2.154000E+10 2.100E-4 1.000E+15
315 004_315 36.807 3.162000E+10 3.162000E+10 2.100E-4 1.000E+15
315 005_315 36.807 4.642000E+10 4.642000E+10 2.100E-4 1.000E+15
315 006_315 36.807 6.813000E+10 6.813000E+10 2.100E-4 1.000E+15
315 007_315 36.807 1.000000E+11 1.000000E+11 2.100E-4 1.000E+15
315 008_315 36.807 1.468000E+11 1.468000E+11 2.100E-4 1.000E+15
315 009_315 36.807 2.154000E+11 2.154000E+11 2.100E-4 1.000E+15
315 010_315 36.807 3.162000E+11 3.162000E+11 2.100E-4 1.000E+15
315 011_315 36.807 4.642000E+11 4.642000E+11 2.100E-4 1.000E+15
315 012_315 36.807 6.813000E+11 6.813000E+11 2.100E-4 1.000E+15
315 013_315 36.807 1.000000E+12 1.000000E+12 2.100E-4 1.000E+15
315 014_315 36.807 1.468000E+12 1.468000E+12 2.100E-4 1.000E+15
315 015_315 36.807 2.154000E+12 2.154000E+12 2.100E-4 1.000E+15
315 016_315 36.807 3.162000E+12 3.162000E+12 2.100E-4 1.000E+15
315 017_315 36.807 4.642000E+12 4.642000E+12 2.100E-4 1.000E+15
315 018_315 36.807 6.813000E+12 6.813000E+12 2.100E-4 1.000E+15
315 019_315 36.807 1.000000E+13 1.000000E+13 2.100E-4 1.000E+15
