fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev 
001_290 001_290.dat 290 39.98 1.000000000E+00 0.000000000E+00 2.458964432E-16 1.000000000E+20 1.203794824E+00 1.395089141E-16 1.155903992E-03 
001_290_SRH 001_290_srh.dat 290 39.98 1.000000000E+00 0.000000000E+00 1.618227969E-16 1.000000000E+20 1.210524377E+00 1.383559937E-16 1.653968425E-03 
002_290 002_290.dat 290 39.98 1.000000000E+00 0.000000000E+00 3.198378213E-16 1.000000000E+20 1.205721297E+00 2.041660586E-16 1.285128760E-03 
002_290_SRH 002_290_srh.dat 290 39.98 1.000000000E+00 0.000000000E+00 2.360558317E-16 1.000000000E+20 1.210624270E+00 2.030633261E-16 1.662436582E-03 
003_290 003_290.dat 290 39.98 1.000000000E+00 0.000000000E+00 4.267661695E-16 1.000000000E+20 1.207243211E+00 2.990795185E-16 1.395218950E-03 
003_290_SRH 003_290_srh.dat 290 39.98 1.000000000E+00 0.000000000E+00 3.433755452E-16 1.000000000E+20 1.210769571E+00 2.980235217E-16 1.674805229E-03 
004_290 004_290.dat 290 39.98 1.000000000E+00 0.000000000E+00 5.803349434E-16 1.000000000E+20 1.208468171E+00 4.383814944E-16 1.488817214E-03 
004_290_SRH 004_290_srh.dat 290 39.98 1.000000000E+00 0.000000000E+00 4.974798576E-16 1.000000000E+20 1.210980243E+00 4.373706509E-16 1.692830076E-03 
005_290 005_290.dat 290 39.98 1.000000000E+00 0.000000000E+00 7.987610972E-16 1.000000000E+20 1.209504789E+00 6.427969408E-16 1.571418142E-03 
005_290_SRH 005_290_srh.dat 290 39.98 1.000000000E+00 0.000000000E+00 7.166446064E-16 1.000000000E+20 1.211284192E+00 6.418330340E-16 1.719011704E-03 
006_290 006_290.dat 290 39.98 1.000000000E+00 0.000000000E+00 1.105278942E-15 1.000000000E+20 1.210460931E+00 9.427143095E-16 1.650290202E-03 
006_290_SRH 006_290_srh.dat 290 39.98 1.000000000E+00 0.000000000E+00 1.024176819E-15 1.000000000E+20 1.211719531E+00 9.418038271E-16 1.756861816E-03 
007_290 007_290.dat 290 39.98 1.000000000E+00 0.000000000E+00 1.527590922E-15 1.000000000E+20 1.211443802E+00 1.382687009E-15 1.733901754E-03 
007_290_SRH 007_290_srh.dat 290 39.98 1.000000000E+00 0.000000000E+00 1.447860466E-15 1.000000000E+20 1.212336742E+00 1.381842400E-15 1.811211088E-03 
008_290 008_290.dat 290 39.98 1.000000000E+00 0.000000000E+00 2.095514120E-15 1.000000000E+20 1.212568120E+00 2.028032857E-15 1.831689750E-03 
008_290_SRH 008_290_srh.dat 290 39.98 1.000000000E+00 0.000000000E+00 2.017583820E-15 1.000000000E+20 1.213208454E+00 2.027288902E-15 1.888422910E-03 
009_290 009_290.dat 290 39.98 1.000000000E+00 0.000000000E+00 2.836156148E-15 1.000000000E+20 1.213930267E+00 2.974612960E-15 1.954491999E-03 
009_290_SRH 009_290_srh.dat 290 39.98 1.000000000E+00 0.000000000E+00 2.760518182E-15 1.000000000E+20 1.214394646E+00 2.973985780E-15 1.996831829E-03 
010_290 010_290.dat 290 39.98 1.000000000E+00 0.000000000E+00 3.767644651E-15 1.000000000E+20 1.215647848E+00 4.363180050E-15 2.113824790E-03 
010_290_SRH 010_290_srh.dat 290 39.98 1.000000000E+00 0.000000000E+00 3.694770945E-15 1.000000000E+20 1.215991679E+00 4.362720598E-15 2.146163800E-03 
011_290 011_290.dat 290 39.98 1.000000000E+00 0.000000000E+00 4.894018563E-15 1.000000000E+20 1.217807704E+00 6.400852455E-15 2.321803642E-03 
011_290_SRH 011_290_srh.dat 290 39.98 1.000000000E+00 0.000000000E+00 4.824299695E-15 1.000000000E+20 1.218067824E+00 6.400602587E-15 2.347172851E-03 
012_290 012_290.dat 290 39.98 1.000000000E+00 0.000000000E+00 6.206531428E-15 1.000000000E+20 1.220486535E+00 9.393056035E-15 2.589457816E-03 
012_290_SRH 012_290_srh.dat 290 39.98 1.000000000E+00 0.000000000E+00 6.140174522E-15 1.000000000E+20 1.220688797E+00 9.393092726E-15 2.609939551E-03 
013_290 013_290.dat 290 39.98 1.000000000E+00 0.000000000E+00 7.693478561E-15 1.000000000E+20 1.223725724E+00 1.379092512E-14 2.924277185E-03 
013_290_SRH 013_290_srh.dat 290 39.98 1.000000000E+00 0.000000000E+00 7.630459297E-15 1.000000000E+20 1.223887746E+00 1.379136124E-14 2.941252300E-03 
014_290 014_290.dat 290 39.98 1.000000000E+00 0.000000000E+00 9.354428963E-15 1.000000000E+20 1.227511358E+00 2.026187247E-14 3.329307127E-03 
