fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev 
001_320 001_320.dat 320 36.232 1.000000000E+00 0.000000000E+00 2.371391469E-14 1.000000000E+20 1.229999696E+00 4.036301742E-15 1.730482498E-04 
001_320_SRH 001_320_srh.dat 320 36.232 1.000000000E+00 0.000000000E+00 1.461037280E-14 1.000000000E+20 1.242788056E+00 3.902746058E-15 2.893496153E-04 
002_320 002_320.dat 320 36.232 1.000000000E+00 0.000000000E+00 3.042623045E-14 1.000000000E+20 1.234074453E+00 5.858679316E-15 2.007394024E-04 
002_320_SRH 002_320_srh.dat 320 36.232 1.000000000E+00 0.000000000E+00 2.134485792E-14 1.000000000E+20 1.243015083E+00 5.726828593E-15 2.912739254E-04 
003_320 003_320.dat 320 36.232 1.000000000E+00 0.000000000E+00 4.016600862E-14 1.000000000E+20 1.237133279E+00 8.532660376E-15 2.254567703E-04 
003_320_SRH 003_320_srh.dat 320 36.232 1.000000000E+00 0.000000000E+00 3.111694076E-14 1.000000000E+20 1.243342119E+00 8.402406843E-15 2.940891310E-04 
004_320 004_320.dat 320 36.232 1.000000000E+00 0.000000000E+00 5.422600526E-14 1.000000000E+20 1.239520814E+00 1.245445135E-14 2.471813805E-04 
004_320_SRH 004_320_srh.dat 320 36.232 1.000000000E+00 0.000000000E+00 4.522349419E-14 1.000000000E+20 1.243809255E+00 1.232584623E-14 2.982011785E-04 
005_320 005_320.dat 320 36.232 1.000000000E+00 0.000000000E+00 7.437328665E-14 1.000000000E+20 1.241519133E+00 1.820364383E-14 2.667183750E-04 
005_320_SRH 005_320_srh.dat 320 36.232 1.000000000E+00 0.000000000E+00 6.543716006E-14 1.000000000E+20 1.244468594E+00 1.807691232E-14 3.041912949E-04 
006_320 006_320.dat 320 36.232 1.000000000E+00 0.000000000E+00 1.029445825E-13 1.000000000E+20 1.243361686E+00 2.662713768E-14 2.854780398E-04 
006_320_SRH 006_320_srh.dat 320 36.232 1.000000000E+00 0.000000000E+00 9.410184938E-14 1.000000000E+20 1.245383814E+00 2.650269712E-14 3.128820678E-04 
007_320 007_320.dat 320 36.232 1.000000000E+00 0.000000000E+00 1.428834229E-13 1.000000000E+20 1.245241966E+00 3.896096456E-14 3.053042450E-04 
007_320_SRH 007_320_srh.dat 320 36.232 1.000000000E+00 0.000000000E+00 1.341696936E-13 1.000000000E+20 1.246625479E+00 3.883944078E-14 3.254123437E-04 
008_320 008_320.dat 320 36.232 1.000000000E+00 0.000000000E+00 1.976417521E-13 1.000000000E+20 1.247313915E+00 5.700730304E-14 3.283956751E-04 
008_320_SRH 008_320_srh.dat 320 36.232 1.000000000E+00 0.000000000E+00 1.891017861E-13 1.000000000E+20 1.248259858E+00 5.688953469E-14 3.433133690E-04 
009_320 009_320.dat 320 36.232 1.000000000E+00 0.000000000E+00 2.708586223E-13 1.000000000E+20 1.249682701E+00 8.339270912E-14 3.572872166E-04 
009_320_SRH 009_320_srh.dat 320 36.232 1.000000000E+00 0.000000000E+00 2.625449192E-13 1.000000000E+20 1.250330254E+00 8.327971828E-14 3.685590828E-04 
010_320 010_320.dat 320 36.232 1.000000000E+00 0.000000000E+00 3.657923157E-13 1.000000000E+20 1.252391211E+00 1.219474415E-13 3.948406712E-04 
