N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 3.162E+15 310 2.400E-4 1.199179825E+00 1.203982388E+00
1.468000E+10 3.162E+15 310 2.400E-4 1.200678796E+00 1.204029722E+00
2.154000E+10 3.162E+15 310 2.400E-4 1.201773923E+00 1.204098788E+00
3.162000E+10 3.162E+15 310 2.400E-4 1.202593068E+00 1.204199294E+00
4.642000E+10 3.162E+15 310 2.400E-4 1.203238371E+00 1.204345016E+00
6.813000E+10 3.162E+15 310 2.400E-4 1.203793761E+00 1.204555122E+00
1.000000E+11 3.162E+15 310 2.400E-4 1.204331994E+00 1.204855753E+00
1.468000E+11 3.162E+15 310 2.400E-4 1.204920460E+00 1.205281262E+00
2.154000E+11 3.162E+15 310 2.400E-4 1.205625432E+00 1.205874756E+00
3.162000E+11 3.162E+15 310 2.400E-4 1.206513370E+00 1.206686637E+00
4.642000E+11 3.162E+15 310 2.400E-4 1.207648719E+00 1.207770224E+00
6.813000E+11 3.162E+15 310 2.400E-4 1.209087557E+00 1.209173927E+00
1.000000E+12 3.162E+15 310 2.400E-4 1.210869020E+00 1.210931631E+00
1.468000E+12 3.162E+15 310 2.400E-4 1.213008150E+00 1.213054741E+00
2.154000E+12 3.162E+15 310 2.400E-4 1.215494522E+00 1.215530303E+00
3.162000E+12 3.162E+15 310 2.400E-4 1.218298683E+00 1.218327111E+00
4.642000E+12 3.162E+15 310 2.400E-4 1.221384267E+00 1.221407591E+00
6.813000E+12 3.162E+15 310 2.400E-4 1.224720993E+00 1.224740630E+00
1.000000E+13 3.162E+15 310 2.400E-4 1.228292971E+00 1.228309812E+00
