T file kT1 TDD TDD1 TDD11 TDD111 d N_B
300 001_300 38.647 1.000000E+10 1.000000E+10 1.000000E+10 1.000000E+10 1.900E-4 5.623E+15
300 002_300 38.647 1.468000E+10 1.468000E+10 1.468000E+10 1.468000E+10 1.900E-4 5.623E+15
300 003_300 38.647 2.154000E+10 2.154000E+10 2.154000E+10 2.154000E+10 1.900E-4 5.623E+15
300 004_300 38.647 3.162000E+10 3.162000E+10 3.162000E+10 3.162000E+10 1.900E-4 5.623E+15
300 005_300 38.647 4.642000E+10 4.642000E+10 4.642000E+10 4.642000E+10 1.900E-4 5.623E+15
300 006_300 38.647 6.813000E+10 6.813000E+10 6.813000E+10 6.813000E+10 1.900E-4 5.623E+15
300 007_300 38.647 1.000000E+11 1.000000E+11 1.000000E+11 1.000000E+11 1.900E-4 5.623E+15
300 008_300 38.647 1.468000E+11 1.468000E+11 1.468000E+11 1.468000E+11 1.900E-4 5.623E+15
300 009_300 38.647 2.154000E+11 2.154000E+11 2.154000E+11 2.154000E+11 1.900E-4 5.623E+15
300 010_300 38.647 3.162000E+11 3.162000E+11 3.162000E+11 3.162000E+11 1.900E-4 5.623E+15
300 011_300 38.647 4.642000E+11 4.642000E+11 4.642000E+11 4.642000E+11 1.900E-4 5.623E+15
300 012_300 38.647 6.813000E+11 6.813000E+11 6.813000E+11 6.813000E+11 1.900E-4 5.623E+15
300 013_300 38.647 1.000000E+12 1.000000E+12 1.000000E+12 1.000000E+12 1.900E-4 5.623E+15
300 014_300 38.647 1.468000E+12 1.468000E+12 1.468000E+12 1.468000E+12 1.900E-4 5.623E+15
300 015_300 38.647 2.154000E+12 2.154000E+12 2.154000E+12 2.154000E+12 1.900E-4 5.623E+15
300 016_300 38.647 3.162000E+12 3.162000E+12 3.162000E+12 3.162000E+12 1.900E-4 5.623E+15
300 017_300 38.647 4.642000E+12 4.642000E+12 4.642000E+12 4.642000E+12 1.900E-4 5.623E+15
300 018_300 38.647 6.813000E+12 6.813000E+12 6.813000E+12 6.813000E+12 1.900E-4 5.623E+15
300 019_300 38.647 1.000000E+13 1.000000E+13 1.000000E+13 1.000000E+13 1.900E-4 5.623E+15
