N_Fe N_B T d n_Fe n_Fe_SRH
1.000000E+10 5.623E+16 330 1.900E-4 1.245347550E+00 1.311675771E+00
1.468000E+10 5.623E+16 330 1.900E-4 1.262613886E+00 1.311769713E+00
2.154000E+10 5.623E+16 330 1.900E-4 1.276008142E+00 1.311906313E+00
3.162000E+10 5.623E+16 330 1.900E-4 1.286179259E+00 1.312104061E+00
4.642000E+10 5.623E+16 330 1.900E-4 1.293837922E+00 1.312388614E+00
6.813000E+10 5.623E+16 330 1.900E-4 1.299630251E+00 1.312794536E+00
1.000000E+11 5.623E+16 330 1.900E-4 1.304096841E+00 1.313366612E+00
1.468000E+11 5.623E+16 330 1.900E-4 1.307676892E+00 1.314159688E+00
2.154000E+11 5.623E+16 330 1.900E-4 1.310724982E+00 1.315235404E+00
3.162000E+11 5.623E+16 330 1.900E-4 1.313523642E+00 1.316654630E+00
4.642000E+11 5.623E+16 330 1.900E-4 1.316287638E+00 1.318465695E+00
6.813000E+11 5.623E+16 330 1.900E-4 1.319163945E+00 1.320691706E+00
1.000000E+12 5.623E+16 330 1.900E-4 1.322234351E+00 1.323323197E+00
1.468000E+12 5.623E+16 330 1.900E-4 1.325526789E+00 1.326321465E+00
2.154000E+12 5.623E+16 330 1.900E-4 1.329034725E+00 1.329632074E+00
3.162000E+12 5.623E+16 330 1.900E-4 1.332738824E+00 1.333202102E+00
4.642000E+12 5.623E+16 330 1.900E-4 1.336624079E+00 1.336993807E+00
6.813000E+12 5.623E+16 330 1.900E-4 1.340688407E+00 1.340990355E+00
1.000000E+13 5.623E+16 330 1.900E-4 1.344942037E+00 1.345192738E+00
