fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 rmsre 
001_315 001_315.dat 315 36.807 1.000000000E+00 0.000000000E+00 1.128992946E-14 1.000000000E+20 1.212133305E+00 2.070818375E-15 1.858220959E-03 
001_315_SRH 001_315_srh.dat 315 36.807 1.000000000E+00 0.000000000E+00 7.025413869E-15 1.000000000E+20 1.223237964E+00 2.004004512E-15 2.999930608E-03 
002_315 002_315.dat 315 36.807 1.000000000E+00 0.000000000E+00 2.603666087E-14 1.000000000E+20 1.219807692E+00 6.396230136E-15 2.563260870E-03 
002_315_SRH 002_315_srh.dat 315 36.807 1.000000000E+00 0.000000000E+00 2.181118320E-14 1.000000000E+20 1.223595988E+00 6.331525786E-15 3.054183313E-03 
003_315 003_315.dat 315 36.807 1.000000000E+00 0.000000000E+00 6.937508617E-14 1.000000000E+20 1.223419901E+00 2.003184508E-14 3.035893752E-03 
003_315_SRH 003_315_srh.dat 315 36.807 1.000000000E+00 0.000000000E+00 6.526186606E-14 1.000000000E+20 1.224660155E+00 1.996981763E-14 3.222530212E-03 
004_315 004_315.dat 315 36.807 1.000000000E+00 0.000000000E+00 1.812773973E-13 1.000000000E+20 1.227078618E+00 6.279896743E-14 3.649644038E-03 
004_315_SRH 004_315_srh.dat 315 36.807 1.000000000E+00 0.000000000E+00 1.774387925E-13 1.000000000E+20 1.227484223E+00 6.274261522E-14 3.725069858E-03 
005_315 005_315.dat 315 36.807 1.000000000E+00 0.000000000E+00 4.059672407E-13 1.000000000E+20 1.233212869E+00 1.962614144E-13 5.037255409E-03 
005_315_SRH 005_315_srh.dat 315 36.807 1.000000000E+00 0.000000000E+00 4.025942003E-13 1.000000000E+20 1.233356756E+00 1.962159979E-13 5.075788501E-03 
006_315 006_315.dat 315 36.807 1.000000000E+00 0.000000000E+00 7.608035269E-13 1.000000000E+20 1.242074147E+00 6.142169664E-13 7.975070717E-03 
006_315_SRH 006_315_srh.dat 315 36.807 1.000000000E+00 0.000000000E+00 7.578757370E-13 1.000000000E+20 1.242139008E+00 6.141889224E-13 8.000960034E-03 
007_315 007_315.dat 315 36.807 1.000000000E+00 0.000000000E+00 1.317400359E-12 1.000000000E+20 1.252756690E+00 1.935788230E-12 1.286005062E-02 
007_315_SRH 007_315_srh.dat 315 36.807 1.000000000E+00 0.000000000E+00 1.314720322E-12 1.000000000E+20 1.252794796E+00 1.935793306E-12 1.287952923E-02 
