fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 rmsre 
001_295 001_295.dat 295 39.302 1.000000000E+00 0.000000000E+00 8.437922554E-16 1.000000000E+20 1.218193982E+00 4.961741492E-16 5.897735429E-03 
001_295_SRH 001_295_srh.dat 295 39.302 1.000000000E+00 0.000000000E+00 6.721128324E-16 1.000000000E+20 1.221693356E+00 4.938784023E-16 7.205386114E-03 
002_295 002_295.dat 295 39.302 1.000000000E+00 0.000000000E+00 2.266640654E-15 1.000000000E+20 1.220779150E+00 1.563608956E-15 6.822994666E-03 
002_295_SRH 002_295_srh.dat 295 39.302 1.000000000E+00 0.000000000E+00 2.096036796E-15 1.000000000E+20 1.221978383E+00 1.561444052E-15 7.302315108E-03 
003_295 003_295.dat 295 39.302 1.000000000E+00 0.000000000E+00 6.520748873E-15 1.000000000E+20 1.222428824E+00 4.936670700E-15 7.433927717E-03 
003_295_SRH 003_295_srh.dat 295 39.302 1.000000000E+00 0.000000000E+00 6.353104469E-15 1.000000000E+20 1.222828681E+00 4.934646381E-15 7.601847632E-03 
004_295 004_295.dat 295 39.302 1.000000000E+00 0.000000000E+00 1.797547743E-14 1.000000000E+20 1.224984808E+00 1.558308470E-14 8.423915600E-03 
004_295_SRH 004_295_srh.dat 295 39.302 1.000000000E+00 0.000000000E+00 1.781547005E-14 1.000000000E+20 1.225123665E+00 1.558137461E-14 8.487326704E-03 
005_295 005_295.dat 295 39.302 1.000000000E+00 0.000000000E+00 4.249579358E-14 1.000000000E+20 1.230172801E+00 4.916753466E-14 1.080472194E-02 
005_295_SRH 005_295_srh.dat 295 39.302 1.000000000E+00 0.000000000E+00 4.235044933E-14 1.000000000E+20 1.230228686E+00 4.916663549E-14 1.083418989E-02 
006_295 006_295.dat 295 39.302 1.000000000E+00 0.000000000E+00 8.171654267E-14 1.000000000E+20 1.239126698E+00 1.555295407E-13 1.583482503E-02 
006_295_SRH 006_295_srh.dat 295 39.302 1.000000000E+00 0.000000000E+00 8.158788453E-14 1.000000000E+20 1.239155674E+00 1.555307022E-13 1.585259315E-02 
007_295 007_295.dat 295 39.302 1.000000000E+00 0.000000000E+00 1.390363038E-13 1.000000000E+20 1.251555829E+00 4.953020653E-13 2.385901301E-02 
007_295_SRH 007_295_srh.dat 295 39.302 1.000000000E+00 0.000000000E+00 1.389185512E-13 1.000000000E+20 1.251573815E+00 4.953083762E-13 2.387110793E-02 
