N_Fe N_B T d n_FeB n_FeB_SRH
1.000000E+10 1.778E+15 335 2.300E-4 1.007725199E+00 1.009058013E+00
1.468000E+10 1.778E+15 335 2.300E-4 1.008101285E+00 1.009060354E+00
2.154000E+10 1.778E+15 335 2.300E-4 1.008383817E+00 1.009063884E+00
3.162000E+10 1.778E+15 335 2.300E-4 1.008592008E+00 1.009069265E+00
4.642000E+10 1.778E+15 335 2.300E-4 1.008744915E+00 1.009077581E+00
6.813000E+10 1.778E+15 335 2.300E-4 1.008859649E+00 1.009090662E+00
1.000000E+11 1.778E+15 335 2.300E-4 1.008951401E+00 1.009111652E+00
1.468000E+11 1.778E+15 335 2.300E-4 1.009034709E+00 1.009146055E+00
2.154000E+11 1.778E+15 335 2.300E-4 1.009125796E+00 1.009203525E+00
3.162000E+11 1.778E+15 335 2.300E-4 1.009246062E+00 1.009300790E+00
4.642000E+11 1.778E+15 335 2.300E-4 1.009426807E+00 1.009465870E+00
6.813000E+11 1.778E+15 335 2.300E-4 1.022537658E+00 1.022511562E+00
1.000000E+12 1.778E+15 335 2.300E-4 1.045958627E+00 1.045955745E+00
1.468000E+12 1.778E+15 335 2.300E-4 1.069239738E+00 1.069252610E+00
2.154000E+12 1.778E+15 335 2.300E-4 1.089824833E+00 1.089847013E+00
3.162000E+12 1.778E+15 335 2.300E-4 1.106131312E+00 1.106157592E+00
4.642000E+12 1.778E+15 335 2.300E-4 1.118097538E+00 1.118124260E+00
6.813000E+12 1.778E+15 335 2.300E-4 1.126669692E+00 1.126694808E+00
1.000000E+13 1.778E+15 335 2.300E-4 1.132943781E+00 1.132966432E+00
