N_Fe N_B T d n_Fe n_Fe_SRH n_FeB n_FeB_SRH
1.000000E+10 1.000E+15 290 1.900E-4 1.189807090E+00 1.190889037E+00 1.190908095E+00 1.193836010E+00
1.468000E+10 1.000E+15 290 1.900E-4 1.190259990E+00 1.191006506E+00 1.191789685E+00 1.193854897E+00
2.154000E+10 1.000E+15 290 1.900E-4 1.190663218E+00 1.191177011E+00 1.192439163E+00 1.193882538E+00
3.162000E+10 1.000E+15 290 1.900E-4 1.191070084E+00 1.191423290E+00 1.192931727E+00 1.193935978E+00
4.642000E+10 1.000E+15 290 1.900E-4 1.191533644E+00 1.191776476E+00 1.193303103E+00 1.193997398E+00
6.813000E+10 1.000E+15 290 1.900E-4 1.192110598E+00 1.192277799E+00 1.193615318E+00 1.194095727E+00
1.000000E+11 1.000E+15 290 1.900E-4 1.192863627E+00 1.192979106E+00 1.193895528E+00 1.194227473E+00
1.468000E+11 1.000E+15 290 1.900E-4 1.193860423E+00 1.193940597E+00 1.194184615E+00 1.194414102E+00
2.154000E+11 1.000E+15 290 1.900E-4 1.195167325E+00 1.195223442E+00 1.194523378E+00 1.194682556E+00
3.162000E+11 1.000E+15 290 1.900E-4 1.196836139E+00 1.196875899E+00 1.194975035E+00 1.195086376E+00
4.642000E+11 1.000E+15 290 1.900E-4 1.198886637E+00 1.198915287E+00 1.195554530E+00 1.195632838E+00
6.813000E+11 1.000E+15 290 1.900E-4 1.201294556E+00 1.201315663E+00 1.196348716E+00 1.196404455E+00
1.000000E+12 1.000E+15 290 1.900E-4 1.203999471E+00 1.204015451E+00 1.197435880E+00 1.197476205E+00
1.468000E+12 1.000E+15 290 1.900E-4 1.206936672E+00 1.206949134E+00 1.198908066E+00 1.198937854E+00
2.154000E+12 1.000E+15 290 1.900E-4 1.210072038E+00 1.210082052E+00 1.200869925E+00 1.200892503E+00
3.162000E+12 1.000E+15 290 1.900E-4 1.213408928E+00 1.213417197E+00 1.203381222E+00 1.203398811E+00
4.642000E+12 1.000E+15 290 1.900E-4 1.216963162E+00 1.216970142E+00 1.206507220E+00 1.206521314E+00
6.813000E+12 1.000E+15 290 1.900E-4 1.220734948E+00 1.220740928E+00 1.210236219E+00 1.210247792E+00
1.000000E+13 1.000E+15 290 1.900E-4 1.224700651E+00 1.224705816E+00 1.214497413E+00 1.214507089E+00
1.000000E+10 1.000E+15 300 1.900E-4 1.136643985E+00 1.140045733E+00 1.190807134E+00 1.193449111E+00
1.468000E+10 1.000E+15 300 1.900E-4 1.140556526E+00 1.140555026E+00 1.191687025E+00 1.193473886E+00
2.154000E+10 1.000E+15 300 1.900E-4 1.140973322E+00 1.141196745E+00 1.192255861E+00 1.193493104E+00
3.162000E+10 1.000E+15 300 1.900E-4 1.141968861E+00 1.141844574E+00 1.192678389E+00 1.193533862E+00
4.642000E+10 1.000E+15 300 1.900E-4 1.143332523E+00 1.143447061E+00 1.193003378E+00 1.193593450E+00
6.813000E+10 1.000E+15 300 1.900E-4 1.145248471E+00 1.145317334E+00 1.193273791E+00 1.193680101E+00
1.000000E+11 1.000E+15 300 1.900E-4 1.147863577E+00 1.147917263E+00 1.193564188E+00 1.193854433E+00
1.468000E+11 1.000E+15 300 1.900E-4 1.151399241E+00 1.151444711E+00 1.193833192E+00 1.194032705E+00
2.154000E+11 1.000E+15 300 1.900E-4 1.155634689E+00 1.156068834E+00 1.194146815E+00 1.194289157E+00
3.162000E+11 1.000E+15 300 1.900E-4 1.161840405E+00 1.161868399E+00 1.194551601E+00 1.194647119E+00
4.642000E+11 1.000E+15 300 1.900E-4 1.168615356E+00 1.168708241E+00 1.195086103E+00 1.195132130E+00
6.813000E+11 1.000E+15 300 1.900E-4 1.176211527E+00 1.176216267E+00 1.195814378E+00 1.195860835E+00
1.000000E+12 1.000E+15 300 1.900E-4 1.183786966E+00 1.183797325E+00 1.196797374E+00 1.196829196E+00
1.468000E+12 1.000E+15 300 1.900E-4 1.190849806E+00 1.190838624E+00 1.198066605E+00 1.198089312E+00
2.154000E+12 1.000E+15 300 1.900E-4 1.197042390E+00 1.197041125E+00 1.199692447E+00 1.199710466E+00
3.162000E+12 1.000E+15 300 1.900E-4 1.202361224E+00 1.202367141E+00 1.201764801E+00 1.201778470E+00
4.642000E+12 1.000E+15 300 1.900E-4 1.207025116E+00 1.207030077E+00 1.204271179E+00 1.204282363E+00
6.813000E+12 1.000E+15 300 1.900E-4 1.211286498E+00 1.211290706E+00 1.207249893E+00 1.207259015E+00
1.000000E+13 1.000E+15 300 1.900E-4 1.215319928E+00 1.215323725E+00 1.210654177E+00 1.210661870E+00
1.000000E+10 1.000E+15 310 1.900E-4 1.013596583E+00 1.014551108E+00 1.177731536E+00 1.179965401E+00
1.468000E+10 1.000E+15 310 1.900E-4 1.013888666E+00 1.014554943E+00 1.178529260E+00 1.180016071E+00
2.154000E+10 1.000E+15 310 1.900E-4 1.014098612E+00 1.014560827E+00 1.179016147E+00 1.180102119E+00
