N_Fe N_B T d n_Fe n_Fe_SRH n_FeB n_FeB_SRH
1.000000E+10 1.000E+15 295 2.000E-4 1.171909594E+00 1.172767165E+00 1.190470527E+00 1.193024752E+00
3.162000E+10 1.000E+15 295 2.000E-4 1.173665310E+00 1.173941721E+00 1.192247625E+00 1.193113263E+00
1.000000E+11 1.000E+15 295 2.000E-4 1.177206481E+00 1.177296448E+00 1.193119898E+00 1.193406061E+00
3.162000E+11 1.000E+15 295 2.000E-4 1.185190233E+00 1.185221449E+00 1.194173867E+00 1.194269756E+00
1.000000E+12 1.000E+15 295 2.000E-4 1.197617765E+00 1.197630792E+00 1.196564550E+00 1.196599233E+00
3.162000E+12 1.000E+15 295 2.000E-4 1.209712848E+00 1.209719821E+00 1.202146667E+00 1.202161897E+00
1.000000E+13 1.000E+15 295 2.000E-4 1.221037101E+00 1.221041514E+00 1.212279195E+00 1.212287759E+00
1.000000E+10 1.000E+15 305 2.000E-4 1.066533963E+00 1.066244699E+00 1.186804253E+00 1.189114895E+00
3.162000E+10 1.000E+15 305 2.000E-4 1.070530592E+00 1.070430555E+00 1.187539759E+00 1.189147069E+00
1.000000E+11 1.000E+15 305 2.000E-4 1.082513619E+00 1.082483717E+00 1.188081890E+00 1.189194072E+00
3.162000E+11 1.000E+15 305 2.000E-4 1.111292148E+00 1.111286991E+00 1.188495835E+00 1.189262604E+00
1.000000E+12 1.000E+15 305 2.000E-4 1.154735221E+00 1.154738887E+00 1.188834777E+00 1.189362231E+00
3.162000E+12 1.000E+15 305 2.000E-4 1.186687747E+00 1.186692356E+00 1.189143950E+00 1.189506429E+00
1.000000E+13 1.000E+15 305 2.000E-4 1.204007074E+00 1.204010350E+00 1.189478438E+00 1.189736560E+00


1.000000E+10 1.000E+15 295 2.000E-4 1.171909594E+00 1.172767166E+00 1.190470688E+00 1.193024753E+00
1.468000E+10 1.000E+15 295 2.000E-4 1.172437983E+00 1.173026342E+00 1.191250711E+00 1.193043971E+00
2.154000E+10 1.000E+15 295 2.000E-4 1.172998356E+00 1.173401633E+00 1.191822844E+00 1.193072103E+00
3.162000E+10 1.000E+15 295 2.000E-4 1.173665311E+00 1.173941720E+00 1.192247686E+00 1.193113263E+00
4.642000E+10 1.000E+15 295 2.000E-4 1.174522426E+00 1.174712045E+00 1.192586032E+00 1.193186971E+00
6.813000E+10 1.000E+15 295 2.000E-4 1.175666368E+00 1.175796724E+00 1.192862904E+00 1.193276587E+00
1.000000E+11 1.000E+15 295 2.000E-4 1.177206481E+00 1.177296448E+00 1.193120710E+00 1.193406061E+00
1.468000E+11 1.000E+15 295 2.000E-4 1.179255365E+00 1.179317844E+00 1.193396569E+00 1.193593740E+00
2.154000E+11 1.000E+15 295 2.000E-4 1.181905455E+00 1.181949282E+00 1.193724723E+00 1.193861395E+00
3.162000E+11 1.000E+15 295 2.000E-4 1.185190234E+00 1.185221449E+00 1.194173863E+00 1.194269756E+00
4.642000E+11 1.000E+15 295 2.000E-4 1.189041163E+00 1.189063859E+00 1.194742892E+00 1.194810288E+00
6.813000E+11 1.000E+15 295 2.000E-4 1.193270720E+00 1.193287665E+00 1.195516140E+00 1.195564088E+00
1.000000E+12 1.000E+15 295 2.000E-4 1.197617763E+00 1.197630791E+00 1.196564549E+00 1.196599233E+00
1.468000E+12 1.000E+15 295 2.000E-4 1.201852618E+00 1.201862932E+00 1.197965870E+00 1.197991508E+00
2.154000E+12 1.000E+15 295 2.000E-4 1.205872992E+00 1.205881377E+00 1.199797128E+00 1.199816586E+00
3.162000E+12 1.000E+15 295 2.000E-4 1.209712848E+00 1.209719820E+00 1.202146667E+00 1.202161897E+00
4.642000E+12 1.000E+15 295 2.000E-4 1.213470216E+00 1.213476130E+00 1.205001274E+00 1.205013531E+00
6.813000E+12 1.000E+15 295 2.000E-4 1.217230740E+00 1.217235825E+00 1.208405824E+00 1.208415968E+00
1.000000E+13 1.000E+15 295 2.000E-4 1.221037101E+00 1.221041514E+00 1.212279194E+00 1.212287759E+00
1.000000E+10 1.000E+15 305 2.000E-4 1.066533973E+00 1.066244698E+00 1.186804057E+00 1.189114895E+00
1.468000E+10 1.000E+15 305 2.000E-4 1.067373238E+00 1.067166622E+00 1.187539621E+00 1.189147069E+00
